run_id,candidate_id,seed,epoch,training_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate,improved_best_checkpoint,epochs_without_improvement,epoch_seconds
FT_COMPACT_seed_313,FT_COMPACT,313,1,0.5361167187692615,0.4356557068743478,0.925861314751227,0.8909416759865022,0.001,True,0,8.076694756997313
FT_COMPACT_seed_313,FT_COMPACT,313,2,0.4214792628370914,0.40265017222331,0.936781116691427,0.9082983352010274,0.001,True,0,7.3959616370011645
FT_COMPACT_seed_313,FT_COMPACT,313,3,0.3948976631511683,0.3865389030046187,0.9396046570712024,0.9117847277615878,0.001,True,0,7.384642928998801
FT_COMPACT_seed_313,FT_COMPACT,313,4,0.3773376628776367,0.3991065995805374,0.9417575416584778,0.9144734165379445,0.001,True,0,7.379433291000168
FT_COMPACT_seed_313,FT_COMPACT,313,5,0.372850536883957,0.3737793122507455,0.9420987255992804,0.9137123943253048,0.001,False,1,7.396337873000448
FT_COMPACT_seed_313,FT_COMPACT,313,6,0.3645403138749787,0.3650789996875676,0.9433925479191908,0.9165341251921596,0.001,True,0,7.386947599999985
FT_COMPACT_seed_313,FT_COMPACT,313,7,0.3596841600877659,0.3641879721316129,0.9419725510118164,0.9151698928882932,0.001,False,1,7.637149895999755
FT_COMPACT_seed_313,FT_COMPACT,313,8,0.3564639670483587,0.3605698143599354,0.9427011246182958,0.9160783009683366,0.001,False,2,7.379621943000529
FT_COMPACT_seed_313,FT_COMPACT,313,9,0.3542908595366106,0.3582337513528602,0.9440034045206446,0.9168891896494584,0.001,True,0,7.394680182998854
FT_COMPACT_seed_313,FT_COMPACT,313,10,0.3549997517850754,0.3592600760291964,0.9413451065913128,0.9147337979954564,0.001,False,1,7.391385752998758
FT_COMPACT_seed_313,FT_COMPACT,313,11,0.3518582957573877,0.3606267341971003,0.9441956633390276,0.9171037524373348,0.001,True,0,7.386356910003087
FT_COMPACT_seed_313,FT_COMPACT,313,12,0.3501495986719512,0.357134689258524,0.944345186298299,0.9174999629736268,0.001,True,0,7.629298892999941
FT_COMPACT_seed_313,FT_COMPACT,313,13,0.3513968964403133,0.3570822626860371,0.9441774198392436,0.9172663076449136,0.001,False,1,7.37129263099996
FT_COMPACT_seed_313,FT_COMPACT,313,14,0.3486406984535204,0.3566496658312592,0.944405946852352,0.9175640653129856,0.001,True,0,7.42470706399763
FT_COMPACT_seed_313,FT_COMPACT,313,15,0.3479115183148384,0.3586046896121674,0.9445189087285272,0.9171198265823334,0.0005,False,1,7.37034869800118
FT_COMPACT_seed_313,FT_COMPACT,313,16,0.3446840200803294,0.3498468998843713,0.9454734698336488,0.9186898202229244,0.0005,True,0,7.386380826999812
FT_COMPACT_seed_313,FT_COMPACT,313,17,0.3433829381355461,0.3483939051171251,0.9453633937693672,0.9185275767488966,0.0005,False,1,7.504102097002033
FT_COMPACT_seed_313,FT_COMPACT,313,18,0.3440552214763718,0.352041866503005,0.9453835169233452,0.9182415830673896,0.0005,False,2,7.509149418998277
FT_COMPACT_seed_313,FT_COMPACT,313,19,0.3437073668778939,0.3494438388151648,0.946045405016308,0.9191648957188986,0.0005,True,0,7.379269159999239
FT_COMPACT_seed_313,FT_COMPACT,313,20,0.3428783355743124,0.3506450639677533,0.9458966160008376,0.9191189634119596,0.0005,False,1,7.37410061799892
FT_COMPACT_seed_313,FT_COMPACT,313,21,0.3421081481838982,0.3496196152347231,0.9454870943115302,0.9187097599860102,0.0005,False,2,7.38238050200016
FT_COMPACT_seed_313,FT_COMPACT,313,22,0.3419682250483986,0.3529102231680488,0.9454856160866918,0.9186180336895255,0.00025,False,3,7.603282353000395
FT_COMPACT_seed_313,FT_COMPACT,313,23,0.340285975093633,0.349172346867169,0.9462027636009468,0.9193925801219848,0.00025,True,0,7.510307035998267
FT_COMPACT_seed_313,FT_COMPACT,313,24,0.3406764719506983,0.3488618108434439,0.9463169004763524,0.9195046078519968,0.00025,True,0,7.397395968000637
FT_COMPACT_seed_313,FT_COMPACT,313,25,0.340229391246364,0.3481055839776646,0.9463550655539996,0.9195458777667856,0.00025,True,0,7.385790389998874
FT_COMPACT_seed_313,FT_COMPACT,313,26,0.3396603027418497,0.3494851938630877,0.9467309808870146,0.9199112968254112,0.00025,True,0,7.402104267002869
FT_COMPACT_seed_313,FT_COMPACT,313,27,0.3402629772424019,0.3493720819498914,0.9465886078497474,0.9197877823890476,0.00025,False,1,7.500028327998734
FT_COMPACT_seed_313,FT_COMPACT,313,28,0.3396671142658334,0.3476340653733437,0.9468126209361928,0.9201053167028088,0.00025,True,0,7.402735095001844
FT_COMPACT_seed_313,FT_COMPACT,313,29,0.3383470004334358,0.347258029255666,0.9467854925815232,0.9199931381975612,0.00025,False,1,7.52773565499956
FT_COMPACT_seed_313,FT_COMPACT,313,30,0.338829249341273,0.3485342871288934,0.9469273746000506,0.920191450510397,0.00025,True,0,7.43044153899973
FT_COMPACT_seed_313,FT_COMPACT,313,31,0.3384339876171721,0.3476090046473156,0.9469381304947668,0.9201181621076906,0.000125,False,1,7.404457060001732
FT_COMPACT_seed_313,FT_COMPACT,313,32,0.3382760277509122,0.3467428044786348,0.9469546959164704,0.9201861184603092,0.000125,False,2,7.393610974999319
FT_COMPACT_seed_313,FT_COMPACT,313,33,0.3376121082469271,0.3472215210216213,0.9471226742888764,0.9203557125643472,0.000125,True,0,7.545049624000967
FT_COMPACT_seed_313,FT_COMPACT,313,34,0.3371957379195065,0.3470860555344628,0.9467776690162654,0.9200419200839756,0.000125,False,1,7.498282281001593
FT_COMPACT_seed_313,FT_COMPACT,313,35,0.3370330103690874,0.3470458500684922,0.947031661811818,0.920286746424632,0.000125,False,2,7.384868473000097
FT_COMPACT_seed_313,FT_COMPACT,313,36,0.33765655166023,0.3466843705810926,0.9473930688332192,0.920573160843785,0.000125,True,0,7.407446655997774
FT_COMPACT_seed_313,FT_COMPACT,313,37,0.3370514229937428,0.3470797360022159,0.9473278115812308,0.9205509768994212,0.000125,False,1,7.3354114789981395
FT_COMPACT_seed_313,FT_COMPACT,313,38,0.3375550376397595,0.3480544701598666,0.9471447839151604,0.920364775429626,0.000125,False,2,7.530539899998985
FT_COMPACT_seed_313,FT_COMPACT,313,39,0.3369162968503506,0.3464693563671649,0.9471162583106728,0.9203099819531004,6.25e-05,False,3,7.50049109199972
FT_COMPACT_seed_313,FT_COMPACT,313,40,0.3363178346959262,0.3460826864642071,0.9472999906317072,0.9206499385303356,6.25e-05,True,0,7.381307120998827
FT_COMPACT_seed_313,FT_COMPACT,313,41,0.3362676102017856,0.3463887774252712,0.9471146422560128,0.9204485522652136,6.25e-05,False,1,7.378376729997399
FT_COMPACT_seed_313,FT_COMPACT,313,42,0.3365164276397362,0.3460819426829959,0.9472766439827724,0.9206387230856246,3.125e-05,False,2,7.391083015998447
FT_COMPACT_seed_313,FT_COMPACT,313,43,0.3362735789080158,0.3464276472997898,0.9472281502828565,0.9205724795556028,3.125e-05,False,3,7.4837441019990365
FT_COMPACT_seed_313,FT_COMPACT,313,44,0.3360033307858422,0.3460630810479751,0.9471299585949567,0.9204686290442662,3.125e-05,False,4,7.480499647997931
FT_COMPACT_seed_313,FT_COMPACT,313,45,0.3360324291055734,0.3464605040762594,0.947373195495793,0.9206120289103648,1.5625e-05,False,5,7.501304945999436
FT_COMPACT_seed_313,FT_COMPACT,313,46,0.3353036767261447,0.3462883152860276,0.947200698028106,0.9204815337948048,1.5625e-05,False,6,7.517626900000323
FT_COMPACT_seed_997,FT_COMPACT,997,1,0.5460108095900935,0.4233198644227327,0.9290752098607205,0.8951558968086609,0.001,True,0,7.704913756999304
FT_COMPACT_seed_997,FT_COMPACT,997,2,0.4232280488041533,0.3905658842598224,0.9365522227064184,0.9079397385948832,0.001,True,0,7.397337564998452
FT_COMPACT_seed_997,FT_COMPACT,997,3,0.3894640125038813,0.3826872269898058,0.9414159201079914,0.9144080060129804,0.001,True,0,7.562904540998716
FT_COMPACT_seed_997,FT_COMPACT,997,4,0.3734645386304179,0.3689648126372734,0.9394390838291864,0.9121657295762108,0.001,False,1,7.360304401001485
FT_COMPACT_seed_997,FT_COMPACT,997,5,0.3694189253354919,0.3691678742302509,0.9429307921731792,0.9157691669741468,0.001,True,0,7.395794410000235
FT_COMPACT_seed_997,FT_COMPACT,997,6,0.3638031724384994,0.3618870629011222,0.9433590156464275,0.9165360472667666,0.001,True,0,7.502474756001902
FT_COMPACT_seed_997,FT_COMPACT,997,7,0.359870113491266,0.3600663504481426,0.9443960334424216,0.9171980323203944,0.001,True,0,7.384799379000469
FT_COMPACT_seed_997,FT_COMPACT,997,8,0.3573615080067855,0.3585894898117746,0.9441097419510108,0.9168595366452746,0.001,False,1,7.38374049399863
FT_COMPACT_seed_997,FT_COMPACT,997,9,0.3537216678624156,0.3548929891695635,0.9461561616153348,0.9191753076675924,0.001,True,0,7.537309087001631
FT_COMPACT_seed_997,FT_COMPACT,997,10,0.3517974901795518,0.3612475180320291,0.9439849990708205,0.9166301684025926,0.001,False,1,7.384745631999976
FT_COMPACT_seed_997,FT_COMPACT,997,11,0.3529999735418787,0.3540015600309577,0.945574211373251,0.9190374768770776,0.001,False,2,7.504210496001178
FT_COMPACT_seed_997,FT_COMPACT,997,12,0.3503752042657581,0.3606309815908464,0.945279917137814,0.918212339732802,0.0005,False,3,7.370531639997353
FT_COMPACT_seed_997,FT_COMPACT,997,13,0.3460694980205493,0.3479224057458769,0.9471580396982692,0.9208969515982623,0.0005,True,0,7.418221051000728
FT_COMPACT_seed_997,FT_COMPACT,997,14,0.3433214564195682,0.3471333773287061,0.9474827874328255,0.9214667216284386,0.0005,True,0,7.556077817000187
FT_COMPACT_seed_997,FT_COMPACT,997,15,0.3430588974453067,0.3468152408927848,0.94773604800745,0.921400829885792,0.0005,False,1,7.408435623001424
FT_COMPACT_seed_997,FT_COMPACT,997,16,0.3417786189470662,0.3458600248940101,0.9469894893321028,0.9205559788145888,0.0005,False,2,7.513927864001744
FT_COMPACT_seed_997,FT_COMPACT,997,17,0.3411032622257051,0.3455289942759479,0.9476896165862422,0.9213128182041048,0.00025,False,3,7.414044825996825
FT_COMPACT_seed_997,FT_COMPACT,997,18,0.3390996156574003,0.3446152384795994,0.9479390989008776,0.9218578560556484,0.00025,True,0,7.422436920998734
