candidate_id,epoch,training_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate,improved_best_checkpoint,epoch_seconds
FT_COMPACT,16,0.3476829176419627,0.35622678121109536,0.9448503463780575,0.9178158236088678,0.0005,False,7.884331564000149
FT_COMPACT,17,0.3470702165426332,0.3531871885585079,0.9451942455663488,0.9184665927030113,0.00025,False,7.923073494000164
FT_COMPACT,18,0.34504974012626544,0.3518865649216837,0.9452909934868655,0.918440025879084,0.00025,False,7.415605726999729
FT_COMPACT,19,0.3444829111670729,0.34981638131769294,0.9464401582402131,0.9196311204664597,0.00025,True,7.441248537999854
FT_COMPACT,20,0.3448138638386621,0.35079770176259756,0.9462746056726702,0.9193979260183638,0.00025,False,7.456885858000078
FT_COMPACT,21,0.3434592283035011,0.3512343690734693,0.9465383843855681,0.9196047964645224,0.000125,False,7.425988039999993
FT_COMPACT,22,0.3431886165920697,0.3485555260290444,0.9463426608700406,0.919504496966982,0.000125,False,7.6708651779999855
FT_COMPACT,23,0.3418215820026483,0.34882287324002637,0.9465150670254707,0.9196744830490972,6.25e-05,True,7.4194025460001285
FT_COMPACT,24,0.34146962693475774,0.34815665331450196,0.9462505664288814,0.9194388340030177,6.25e-05,False,7.4419332980000945
FT_COMPACT,25,0.3409623689582007,0.3488785336744491,0.9462890330092637,0.9195096403370865,3.125e-05,False,7.437106689000302
FT_COMPACT,26,0.34195612616286103,0.34807723866549417,0.946373174669707,0.9195550357364958,3.125e-05,False,7.434947832000034
FT_COMPACT,27,0.3417816793892947,0.34811090234328845,0.9463598758147793,0.9195263083923552,1.5625e-05,False,7.69584107899982
FT_COMPACT,28,0.34113628343781327,0.3481077839475304,0.9463764601880835,0.9195626648478641,1.5625e-05,False,7.4438816400002
FT_BALANCED,16,0.3427268873636756,0.35245968242121356,0.9462323970126267,0.9189662056782276,0.00025,True,19.2247905549998
FT_BALANCED,17,0.3419975941749586,0.3533978313195811,0.94628123700997,0.9191863933266635,0.00025,True,19.12282005399993
FT_BALANCED,18,0.34090443511847873,0.3486042619145372,0.9463650340958589,0.9192316164863173,0.00025,True,19.17956697799991
FT_BALANCED,19,0.3403054451998085,0.34882512876580063,0.9467240394326158,0.9197600680737275,0.00025,True,19.203290216999903
FT_BALANCED,20,0.3408368648007142,0.34724559188519255,0.9472992067245956,0.9205088727968959,0.00025,True,19.14552179400016
FT_BALANCED,21,0.3388581287507449,0.3509863094355922,0.9467857182778566,0.9200653240465447,0.00025,False,19.166402519000258
FT_BALANCED,22,0.339447840913569,0.3498105072126027,0.946263608575766,0.919016383286685,0.000125,False,19.11611535100019
FT_BALANCED,23,0.3374864515992919,0.34665139601554207,0.949115636656828,0.9222155104858678,0.000125,True,19.192421590000322
FT_BALANCED,24,0.3365557600279617,0.34440268687170345,0.9494317338471959,0.9226795305447728,0.000125,True,19.32784789299967
FT_BALANCED,25,0.33500773691841895,0.344120301671146,0.9501461798969443,0.9236293397595843,0.000125,True,19.148890025999663
FT_BALANCED,26,0.3342065706271301,0.3492323903484831,0.9474481146182874,0.9198907517325736,0.000125,False,19.14258063899979
FT_BALANCED,27,0.3331532585407101,0.3430697556679104,0.9503255240610278,0.9237403591543963,0.000125,True,19.140971170000284
FT_BALANCED,28,0.3317474893007098,0.335881362278647,0.9533749623500613,0.9272883071218994,0.000125,True,19.181801078999797
FT_BALANCED,29,0.330280652750103,0.33769199092620994,0.9531115058143718,0.9271910846576602,0.000125,False,19.140515376000167
FT_BALANCED,30,0.32992814533913284,0.34312721288029324,0.9506270354105073,0.9236433192580067,6.25e-05,False,19.195327083999928
FT_DEEP_REGULARIZED,16,0.34733282181620867,0.353735096830822,0.9441720082958668,0.9173444032278909,0.0005,False,25.517468696999913
FT_DEEP_REGULARIZED,17,0.34633096347676773,0.35379247615780685,0.9446612266338654,0.9179473502910055,0.0005,True,25.467034716999933
FT_DEEP_REGULARIZED,18,0.34528029037591884,0.35302425575284707,0.9438483821514847,0.9162074111270149,0.0005,False,25.457517797000037
FT_DEEP_REGULARIZED,19,0.3453078596291672,0.3516092024911926,0.9445738511412288,0.9180601536388047,0.0005,True,25.46882509099987
FT_DEEP_REGULARIZED,20,0.3463041472595756,0.3525255196795874,0.9449087896682326,0.9177844416883758,0.0005,False,25.447786723999798
FT_DEEP_REGULARIZED,21,0.3445060755863633,0.35319844777823217,0.9448063355930946,0.9180518176404542,0.00025,False,25.446380954999768
FT_DEEP_REGULARIZED,22,0.3420224707352234,0.35120187285271914,0.9451467132294396,0.9183266806314276,0.00025,True,25.46343929500017
FT_DEEP_REGULARIZED,23,0.34176359407924234,0.3535418956436033,0.9452637410853568,0.9186727950357282,0.00025,True,25.521982771000694
FT_DEEP_REGULARIZED,24,0.34148313926603596,0.3494648124711019,0.9456871146717516,0.9189820534903331,0.00025,True,25.439431906999744
FT_DEEP_REGULARIZED,25,0.34090744291814506,0.34939415712754823,0.9457719902759958,0.9189770342226093,0.00025,False,25.450815251000677
FT_DEEP_REGULARIZED,26,0.341048668640896,0.3501969315148068,0.9453756278889217,0.9187693326753574,0.000125,False,25.44783079499939
FT_DEEP_REGULARIZED,27,0.3390675539879415,0.3481199019341515,0.945767717551521,0.9190951241794356,0.000125,True,25.45494170299935
FT_DEEP_REGULARIZED,28,0.33878132001089767,0.34742573978359925,0.9462271164075804,0.9194829567687945,0.000125,True,25.619168998000532
FT_DEEP_REGULARIZED,29,0.33817135401900206,0.3484687829160999,0.94638405288839,0.9194983906409903,0.000125,True,25.480976132999785
FT_DEEP_REGULARIZED,30,0.3382236446691626,0.3466643571239238,0.9463088822264709,0.9195819657397941,0.000125,True,25.480134987999918
