run_id,candidate_id,seed,parameter_count,best_epoch,final_epoch_executed,epoch_ceiling_reached,best_checkpoint_at_epoch_ceiling,threshold,accuracy,precision,recall,f1,f2,fpr,fnr,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,peak_gpu_memory_mb,runtime_seconds
FT_BALANCED_seed_7,FT_BALANCED,7,159169,50,56,False,False,0.6949999999999997,0.9321791991542224,0.9781124970581312,0.7774036662925552,0.866284523189161,0.8106737408808957,0.0068525955126551,0.2225963337074448,0.9547162015744052,0.9291636892316072,26957,186,2380,8312,1127.47021484375,1081.409956034999
FT_COMPACT_seed_7,FT_COMPACT,7,30017,37,40,True,False,0.6799999999999997,0.9309898242368178,0.987570894171594,0.7654320987654321,0.8624268928816059,0.8014885907354813,0.0037947168699112,0.2345679012345679,0.9467657226164636,0.9202821166978415,27040,103,2508,8184,402.65087890625,300.17112344199995
FT_DEEP_REGULARIZED_seed_7,FT_DEEP_REGULARIZED,7,209153,39,40,True,False,0.6999999999999997,0.9311748381128584,0.9886418559690672,0.7652450430228208,0.8627161535217207,0.8014654023979312,0.0034631396676859,0.2347549569771791,0.9465595550461916,0.9198185838380832,27049,94,2510,8182,1466.1455078125,1017.3323919249996
FT_BALANCED_seed_29,FT_BALANCED,29,159169,39,40,True,False,0.6549999999999997,0.9323113519228228,0.9779005524861878,0.7780583613916947,0.8666076358143654,0.8112140419307655,0.0069262793353719,0.2219416386083052,0.9532529226572504,0.9276318068669108,26955,188,2373,8319,1129.4013671875,766.3639151699999
FT_COMPACT_seed_29,FT_COMPACT,29,30017,32,38,False,False,0.6149999999999998,0.9311484075591384,0.9841935097593104,0.7687055742611298,0.8632043270493095,0.8039085271621119,0.0048631322993036,0.2312944257388701,0.9468898521539472,0.9202643802826352,27011,132,2473,8219,403.015625,284.33162207700025
FT_DEEP_REGULARIZED_seed_29,FT_DEEP_REGULARIZED,29,209153,28,34,False,False,0.6799999999999997,0.9312541297740188,0.9887640449438202,0.7654320987654321,0.8628815435710896,0.801645606817514,0.0034262977563275,0.2345679012345679,0.9465456962576128,0.9199331068922202,27050,93,2508,8184,1468.56396484375,861.77358155
FT_BALANCED_seed_101,FT_BALANCED,101,159169,38,40,True,False,0.7299999999999998,0.9314391436500594,0.9867756672276988,0.7676767676767676,0.8635455023671751,0.8033512116822612,0.0040526102494197,0.2323232323232323,0.9523249851050756,0.9262880610645032,27033,110,2484,8208,1131.24267578125,765.6078427199991
FT_COMPACT_seed_101,FT_COMPACT,101,30017,38,40,True,False,0.6599999999999997,0.931306990881459,0.9846688226134866,0.7688926300037411,0.8635050680111339,0.8041356104622728,0.0047157646538702,0.2311073699962589,0.946546747210004,0.9199483412719506,27015,128,2471,8221,403.38037109375,300.1946520640004
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,209153,37,40,True,False,0.6699999999999997,0.931095546451698,0.9851194047761912,0.7677702955480733,0.862969776609724,0.8032132443592102,0.0045683970084367,0.2322297044519266,0.946732073188352,0.920015233598449,27019,124,2483,8209,1459.89208984375,1019.6171720010008
FT_BALANCED_seed_313,FT_BALANCED,313,159169,33,39,False,False,0.6199999999999998,0.9325227963525836,0.9802903340021244,0.7768424990647212,0.8667884163840333,0.8104837922757168,0.0061525991968463,0.2231575009352787,0.9499965122163604,0.9241732577220014,26976,167,2386,8306,1127.56005859375,750.1335759879985
FT_COMPACT_seed_313,FT_COMPACT,313,30017,40,46,False,False,0.6549999999999997,0.9307255186996168,0.9866152176534426,0.7652450430228208,0.8619436397155649,0.8011985664205558,0.0040894521607781,0.2347549569771791,0.9472999906317072,0.9206499385303356,27032,111,2510,8182,402.65087890625,347.41659296999933
FT_DEEP_REGULARIZED_seed_313,FT_DEEP_REGULARIZED,313,209153,33,39,False,False,0.7199999999999998,0.9308048103607772,0.9863855421686748,0.7657126823793491,0.8621524852569503,0.8015782877731652,0.0041631359834948,0.2342873176206509,0.94503793104261,0.918140355836446,27030,113,2505,8187,1462.462890625,987.8567865650002
FT_BALANCED_seed_997,FT_BALANCED,997,159169,34,40,False,False,0.6749999999999997,0.9323113519228228,0.9856647951260304,0.7716984661429106,0.865655982793894,0.8067228533995581,0.0044210293630033,0.2283015338570894,0.9493408747058144,0.9235681828846768,27023,120,2441,8251,1129.4013671875,769.7949587030016
FT_COMPACT_seed_997,FT_COMPACT,997,30017,55,61,False,False,0.6699999999999997,0.9325756574600238,0.9853344461666864,0.7729143284698841,0.8662927826405997,0.8077411787704037,0.0045315550970784,0.2270856715301159,0.949158060675968,0.9230850487710472,27020,123,2428,8264,403.015625,459.0374735749974
FT_DEEP_REGULARIZED_seed_997,FT_DEEP_REGULARIZED,997,209153,48,54,False,False,0.7199999999999998,0.9311484075591384,0.9894685873380946,0.7644968200523756,0.8625547406742996,0.8009171255560564,0.0032052462881774,0.2355031799476244,0.9468634835861705,0.9202037138613438,27056,87,2518,8174,1464.88134765625,1366.7899404130003
