aggregate_rank,candidate_id,parameter_count,seed_count,seed_win_count,mean_best_epoch,maximum_best_epoch,best_checkpoint_ceiling_hits,mean_threshold,threshold_std,mean_accuracy,accuracy_std,mean_precision,precision_std,mean_recall,recall_std,mean_f1,f1_std,minimum_f1,maximum_f1,mean_f2,f2_std,mean_fpr,fpr_std,mean_fnr,fnr_std,mean_roc_auc,roc_auc_std,mean_pr_auc,pr_auc_std,mean_peak_gpu_memory_mb,total_runtime_seconds
1,FT_BALANCED,159169,2,1,33.5,34,0,0.6474999999999997,0.038890872965260066,0.9324170741377031,0.0001495137901280148,0.9829775645640774,0.0038003179059373626,0.7742704826038159,0.003637380561659159,0.8662221995889636,0.0008007514708308974,0.865655982793894,0.8667884163840333,0.8086033228376375,0.002659385382959925,0.005286814279924843,0.0012244047716084342,0.22572951739618408,0.0036373805616591788,0.9496686934610873,0.0004636057297073298,0.923870720303339,0.00042785252059767667,1128.480712890625,1519.928534691
2,FT_COMPACT,30017,2,1,47.5,55,0,0.6624999999999996,0.010606601717798222,0.9316505880798203,0.0013082456636199136,0.9859748319100645,0.0009056422034356104,0.7690796857463524,0.005423003746473724,0.8641182111780823,0.003075308454641642,0.8619436397155649,0.8662927826405997,0.8044698725954798,0.004626325559252364,0.004310503628928269,0.00031261398424045096,0.23092031425364756,0.005423003746473704,0.9482290256538375,0.0013138539282163656,0.9218674936506914,0.0017218829641438465,402.833251953125,806.4540665449967
3,FT_DEEP_REGULARIZED,209153,2,0,40.5,48,0,0.7199999999999998,0.0,0.9309766089599578,0.000242959908957975,0.9879270647533847,0.0021800421460012602,0.7651047512158624,0.0008597444963921891,0.862353612965625,0.0002844375333767037,0.8621524852569503,0.8625547406742996,0.8012477066646109,0.00046751228718194246,0.0036841911358361274,0.0006773302991876446,0.23489524878413767,0.0008597444963921891,0.9459507073143902,0.0012908605829639282,0.9191720348488949,0.0014590144514209698,1463.672119140625,2354.6467269780005
