threshold,seed_count,mean_accuracy,accuracy_std,minimum_accuracy,mean_precision,precision_std,minimum_precision,mean_recall,recall_std,minimum_recall,mean_f1,f1_std,minimum_f1,maximum_f1,mean_f2,f2_std,minimum_f2,mean_fpr,fpr_std,maximum_fpr,mean_fnr,fnr_std,maximum_fnr,distance_to_seed_optimum_mean,distance_to_seed_optimum_median
0.05,5,0.5968917668825162,0.013668207630932351,0.580784987445487,0.41210719716871935,0.008146120844504876,0.4025268715821233,0.9979423868312758,0.00043367089859221164,0.9973812196034418,0.5832869731285726,0.008128138509543142,0.573709248259736,0.5896273360610417,0.7769657884598629,0.0056778234356892575,0.770246669457154,0.5610875732232988,0.01917014613449172,0.5836495597391592,0.00205761316872428,0.00043367089859220465,0.002618780396558174,0.625,0.625
0.055,5,0.5985463195453945,0.014861834785580431,0.5811285846438483,0.4131110167394315,0.00888694358730614,0.4027169811320755,0.9976618032173586,0.0006239087197963921,0.9969135802469136,0.5842357687808413,0.008827968899521779,0.5738868573886857,0.5918180557481626,0.7775301538351513,0.006099795792763345,0.7703412831321822,0.5586707438381904,0.020906818993512353,0.5831337729801422,0.002338196782641227,0.0006239087197964053,0.0030864197530864196,0.62,0.62
0.06,5,0.6018025637637108,0.01596118139726418,0.5842738205365402,0.4150925227706634,0.009648943382707971,0.4044901209753878,0.9973251028806583,0.0005788158790409823,0.996539468761691,0.5861491262722017,0.009576591060053846,0.5755915922398208,0.5943383070701436,0.7787547722381769,0.006638981019188645,0.7713669959645341,0.5539991894779501,0.022405628828081135,0.5785285340603471,0.0026748971193415643,0.0005788158790409949,0.003460531238309016,0.615,0.615
0.065,5,0.6029655081273952,0.0164461601159364,0.5848552927183824,0.41580465606446626,0.009974605010918592,0.40482064907952175,0.9971567527123083,0.0005788158790410172,0.9964459408903853,0.5868260352809165,0.009887623620046124,0.5759105759105759,0.5954283798133347,0.7791679744630529,0.006841974938479444,0.7715625135647419,0.5523118299377371,0.023090763097775736,0.5776811700991047,0.0028432472876917326,0.000578815879040995,0.003554059109614665,0.6100000000000001,0.6100000000000001
0.07,5,0.6048367913307784,0.016938799361655682,0.5861239592969473,0.4169550045446672,0.010325390179515255,0.40557393255009316,0.9969509913954357,0.0006010575762461543,0.996258885147774,0.5879305609643678,0.0101958037525058,0.5767037007001325,0.596802642999132,0.7798672503628048,0.006993912255170305,0.7721988156770766,0.5496223704085768,0.02383027556196081,0.5759864421766201,0.00304900860456416,0.0006010575762461513,0.0037411148522259632,0.605,0.605
0.075,5,0.6064596273291925,0.017059572183104867,0.5873133342143518,0.4179519075804053,0.010461471188682672,0.406247619047619,0.9968013468013467,0.0005742641763190546,0.9959783015338571,0.588893804436585,0.010323626305465428,0.5773374478912889,0.5980400415578581,0.7804889285267124,0.007091930173333545,0.7725520878611377,0.547301329993,0.0239756165169354,0.5742180304314188,0.0031986531986531986,0.0005742641763190705,0.0040216984661429105,0.6000000000000001,0.6000000000000001
0.08,5,0.607892163340822,0.01665867920580772,0.5896127923880006,0.4188197623828243,0.010266882610519019,0.4075843877824076,0.9966142910587354,0.00048778169885539885,0.9959783015338571,0.5897248059335579,0.010121508808594026,0.5786545819652112,0.598712506676412,0.7810058002632317,0.006950974598493244,0.7734269589565772,0.54523081457466,0.02340110221085391,0.5709391003205246,0.0033857089412644968,0.00048778169885541707,0.0040216984661429105,0.5950000000000001,0.5950000000000001
0.085,5,0.6099167437557818,0.016185584257677323,0.5915422228095678,0.42005436135262997,0.010033839717398541,0.4086899831262464,0.9963337074448185,0.0004832776162649926,0.9956041900486345,0.590901561409971,0.00987934083165603,0.579688859878155,0.5993131404121158,0.7817296330106933,0.0067819968339097245,0.7739962814479113,0.5422981984305345,0.022726004020438485,0.5680654312345724,0.003666292555181444,0.00048327761626501363,0.004395809951365507,0.5900000000000001,0.5900000000000001
0.09,5,0.6109211047971456,0.016317559022505677,0.59212369499141,0.42067563896794624,0.010148193246730242,0.40902809765085213,0.9961466517022073,0.00046482505199360103,0.9955106621773289,0.5914819795636855,0.009985321109228439,0.5800130633572828,0.6001014827761177,0.7820658235632418,0.006853496220542799,0.7741935483870968,0.5408245219762,0.022904746959311807,0.5672180672733301,0.0038533482977927422,0.0004648250519936096,0.004489337822671156,0.5850000000000001,0.5850000000000001
0.095,5,0.6142143517906701,0.019565389443544454,0.5928373199418527,0.4228139413093562,0.012321760308826034,0.40945244956772336,0.9955293677515901,0.001716179097525144,0.9925177702955481,0.5934501349186625,0.011903589720334732,0.5804395783969278,0.6076674206201506,0.7831859469858677,0.00781456077082496,0.774497405259256,0.5359908632059831,0.0278057061838712,0.5662233356666544,0.004470632248410026,0.0017161790975251596,0.0074822297044519264,0.5800000000000001,0.5800000000000001
0.1,5,0.6149015461873926,0.019635779384808427,0.593418792123695,0.4232520525235605,0.012392683387109929,0.40979886936122756,0.9955106621773288,0.0017028751829435951,0.9925177702955481,0.5938775941923529,0.011971888657553904,0.5807875732388609,0.6080678432271373,0.7834762454017786,0.007868751041009361,0.7747451687484552,0.535025605128394,0.02789153391885297,0.5654128136167704,0.0044893378226711555,0.0017028751829436142,0.0074822297044519264,0.5750000000000001,0.5750000000000001
0.105,5,0.6157420377956918,0.01955457867802506,0.5945553059336594,0.42377849523708394,0.012373794583224311,0.4104638619201726,0.9953984287317621,0.0017339270266533858,0.9923307145529368,0.5943761965897671,0.011945718879693912,0.5814232700283781,0.6084064453236997,0.7837819806589672,0.007849825862076932,0.7751295035213318,0.5338098220535681,0.02777374837889468,0.5637549276056442,0.004601571268237936,0.0017339270266533808,0.007669285447063225,0.5700000000000001,0.5700000000000001
0.11,5,0.616614246068455,0.019626991778322247,0.5956653891899035,0.42433094916239966,0.012455299079802988,0.41112225995677676,0.995267489711934,0.0017253294063864601,0.9922371866816311,0.5948946476215691,0.011999631908676358,0.582067533602885,0.609152503445108,0.7840927324825108,0.007846222532566647,0.7755532906231799,0.5325424603028406,0.02790328391092062,0.5621707254172347,0.004732510288065844,0.0017253294063864296,0.007762813318368874,0.5650000000000001,0.5650000000000001
0.115,5,0.6174970265627066,0.019814332312160704,0.5963790141403462,0.424895148550389,0.012613887235563902,0.4115169082125604,0.9951552562663674,0.0017046721422557724,0.9921436588103255,0.5954273597866905,0.012163315948639912,0.5823830229441846,0.6097953552540815,0.7844198621235057,0.007992254655442343,0.7756071267281441,0.5312677301698413,0.028125359809618635,0.5609917842537671,0.004844743733632623,0.0017046721422557844,0.007856341189674524,0.56,0.56
0.12,5,0.6227355623100304,0.02127493268894533,0.5975683890577508,0.42829570076637713,0.01362666341626769,0.41223383662408053,0.9945379723157501,0.0016855787992620663,0.9921436588103255,0.5986314902725842,0.013095886909367952,0.5831005969004984,0.6101636421155561,0.7863954111218663,0.008534189252366433,0.7761159217469898,0.5237225067236488,0.03023891304812057,0.5593338982426408,0.005462027684249906,0.0016855787992620744,0.007856341189674524,0.555,0.555
0.125,5,0.6276622175234572,0.024989509187965192,0.5985727500991146,0.4316253125929662,0.016203948786872344,0.41283443195036834,0.9935465768799101,0.002242719567579832,0.991208380097269,0.6016470367871436,0.015428722252304832,0.5836851049832794,0.6145561924613514,0.7880621416530511,0.009839689727539005,0.7764958137635286,0.5164646501860517,0.0356819056402567,0.5578970636996647,0.006453423120089787,0.002242719567579835,0.008791619902731014,0.55,0.55
0.13,5,0.6332549226906303,0.029897468507438442,0.5998942777851196,0.4355540906098633,0.019806485433739703,0.41363636363636364,0.9924429479985036,0.0032804159228717465,0.9892442947998503,0.605166491265995,0.018591715437227124,0.5844861660079052,0.6244466741427138,0.7899913303055779,0.011494554359393113,0.7770625328428796,0.5082341671885937,0.04295413755224374,0.5560549681317467,0.007557052001496446,0.003280415922871739,0.010755705200149644,0.545,0.545
0.135,5,0.6389586361834281,0.024055724581945246,0.6127923880005286,0.439106517994208,0.016334299511996154,0.4215678503487635,0.9911896745230079,0.0026481768927663217,0.9885895997007108,0.6084344003727231,0.015236617759509645,0.5921946331143525,0.6256659168935716,0.7917967721475229,0.00938658830328322,0.7819084666843484,0.49979000110525734,0.03452572060188304,0.5377076962752828,0.008810325476992144,0.0026481768927663213,0.011410400299289188,0.54,0.54
0.14,5,0.642357605391833,0.021487191649137115,0.6138760407030527,0.4413213442990568,0.014711028120892283,0.4222292816582615,0.9905162738496072,0.0026541159961729283,0.9875607931163487,0.610459892114554,0.013626370979193976,0.5927804878048781,0.6262937809543581,0.7929304219370528,0.00825164083046506,0.7824020249885947,0.49478686954279194,0.0309554609754112,0.5360498102641565,0.009483726150392818,0.002654115996172919,0.012439206883651329,0.535,0.535
0.145,5,0.6486639355094489,0.016599401998776735,0.6309501784062376,0.4455205381602726,0.011677038865075508,0.4331165910113279,0.989337822671156,0.0014549522246636928,0.9872802095024317,0.6142943959280446,0.010846526717863106,0.6027030872101296,0.6269897837966262,0.795095137383875,0.006747239356015192,0.7877746537540352,0.48553218140957155,0.023681102543142932,0.5107025752496039,0.010662177328843996,0.0014549522246636779,0.012719790497568275,0.53,0.53
0.15,5,0.6508576714682172,0.014975893194652496,0.6346240253733316,0.44701866541290086,0.010644062086357521,0.43554494567006913,0.9890011223344557,0.0011485283526381554,0.9872802095024317,0.6156671352210625,0.00990042379405343,0.6048931062078426,0.6277168257366277,0.7958944191155275,0.006227874473425928,0.7889478706906836,0.48234167188593746,0.021279646893917252,0.5052499723685665,0.010998877665544332,0.0011485283526381405,0.012719790497568275,0.525,0.525
0.155,5,0.6531148407559139,0.013347777670018497,0.6391436500594687,0.44855739944834855,0.009608700038005725,0.4385659155981576,0.9882528993640106,0.0007232553284392529,0.9872802095024317,0.6169943410408429,0.009012567305748828,0.6075709235147021,0.6284642633882059,0.7965001086665757,0.005865765897417402,0.7903001480550944,0.4789006373650665,0.018756412099913376,0.498471060678628,0.011747100635989525,0.0007232553284392519,0.012719790497568275,0.52,0.52
0.16,5,0.655530593365931,0.011868069130134372,0.6431082331174838,0.45023873090656485,0.008654582424637944,0.44124409514652396,0.9876169098391319,0.0009249334317303309,0.9869996258885148,0.6184702084503191,0.008182126959417385,0.6098864588449426,0.6293414423277583,0.7972427013382054,0.005501488562973827,0.7913598944353641,0.4752827616696754,0.016497086355071806,0.49242898721585676,0.012383090160867938,0.0009249334317303493,0.013000374111485222,0.515,0.515
0.165,5,0.6572115765825294,0.010900506383940193,0.6451698163076517,0.45142384203857777,0.008006524251800852,0.4426490955638561,0.9872053872053872,0.001012522903308965,0.9864384586606809,0.6195126102000307,0.007576061676868493,0.6110837509777225,0.6298606344564146,0.7977782096838772,0.005132979812176403,0.791876266987011,0.47277751169730686,0.01510903808710005,0.48926058283903767,0.012794612794612794,0.001012522903308968,0.013561541339319118,0.51,0.51
0.17,5,0.6592943042156734,0.010070814430236687,0.6480243161094225,0.45289099100133273,0.007471535618078328,0.4445711389839098,0.9862514029180696,0.0015968360530269241,0.9845679012345679,0.620709735357817,0.0071374916928696715,0.6125512786942481,0.6303711229307356,0.7982008967512292,0.005018568413050803,0.7921350851054224,0.4694985815864127,0.013803396242915277,0.4845448181851674,0.013748597081930413,0.0015968360530269246,0.015432098765432098,0.505,0.505
0.175,5,0.6619955068058676,0.008374995469025186,0.6542354962336461,0.45481052395771443,0.006320417218693564,0.448892310324181,0.9851664796109241,0.0026672666576157684,0.9816685372240928,0.6223034406123029,0.006170072945117009,0.6160709045019663,0.6312324175495302,0.7988327111728218,0.004705193840466032,0.7933484504913076,0.4653059720738312,0.011233049835786189,0.47474486976384334,0.014833520389075944,0.0026672666576157493,0.01833146277590722,0.5,0.5
0.18,5,0.6680269591647946,0.005964685601872884,0.6588872736883837,0.45921589045555306,0.0045807631131896225,0.45229681978798586,0.9829218106995885,0.003693226043069832,0.9769921436588104,0.6259700351811075,0.004699612926311001,0.6192695734261608,0.6318976111260977,0.8003573904216255,0.0041687760908601205,0.7954648801042835,0.45601444202925245,0.007689004874282683,0.4682606933647718,0.017078189300411523,0.0036932260430698484,0.023007856341189674,0.49500000000000005,0.49500000000000005
