robust_rank,threshold,seed_count,mean_accuracy,accuracy_std,minimum_accuracy,mean_precision,precision_std,minimum_precision,mean_recall,recall_std,minimum_recall,mean_f1,f1_std,minimum_f1,maximum_f1,mean_f2,f2_std,minimum_f2,mean_fpr,fpr_std,maximum_fpr,mean_fnr,fnr_std,maximum_fnr,distance_to_seed_optimum_mean,distance_to_seed_optimum_median
1,0.73,5,0.9322320602616625,0.0004962332061720368,0.9314391436500594,0.9859272946228013,0.0027580470964224195,0.9810561212408241,0.7712121212121211,0.002725499098174941,0.7676767676767676,0.8654450257424102,0.001142542079354036,0.8635455023671751,0.8664392547887694,0.8063296130739867,0.002114955253361024,0.8033512116822612,0.004339977158014959,0.0008797428782506832,0.005894705817337803,0.22878787878787882,0.002725499098174934,0.23232323232323232,0.05499999999999994,0.05499999999999994
2,0.72,5,0.9322214880401744,0.0004999498354920422,0.9314127130963393,0.9854425716120921,0.003119646120856031,0.9799173065564087,0.7715675271230826,0.0029735391889538863,0.7677702955480733,0.865480323718986,0.0011618664104650603,0.8635144374901383,0.8664044059795436,0.8065746754997773,0.0022765358425508387,0.8034019064769323,0.004494713185720075,0.000998137065478692,0.0062631249309214165,0.22843247287691731,0.0029735391889538776,0.23222970445192667,0.04499999999999993,0.04499999999999993
3,0.71,5,0.9322320602616625,0.0005276189976920094,0.9313862825426192,0.9850048876503517,0.003315693336454845,0.9791248968038684,0.7719603441825665,0.003115615407966633,0.7680508791619902,0.8655576206390794,0.0012160085069194125,0.8635120925341745,0.8665513082690998,0.8068589127335246,0.0023801246444175826,0.8035854078597149,0.0046347124488818475,0.0010631301521327717,0.006521018310429945,0.22803965581743363,0.003115615407966622,0.23194912083800973,0.03499999999999992,0.03499999999999992
4,0.725,5,0.9322162019294303,0.0005009967058409124,0.9314127130963393,0.9856723457410033,0.0029265329253504095,0.9804849201655825,0.7713617658062102,0.002845768960722629,0.7676767676767676,0.86544027929603,0.0011579038787217855,0.8635000789016883,0.8664218258132215,0.8064259859886329,0.0021952887312835898,0.8033354865229901,0.004421029363003352,0.0009349428980178698,0.00607891537412961,0.22863823419378976,0.0028457689607226328,0.23232323232323232,0.04999999999999993,0.04999999999999993
5,0.705,5,0.9322003435971983,0.0005194124993058271,0.9313598519888991,0.9847942642457379,0.003251235894679694,0.9790143834001415,0.7720164609053498,0.0031844832423523813,0.7680508791619902,0.8655114351051335,0.0012269955489124127,0.8634666947058515,0.8664604414617522,0.8068796177988699,0.0024388115825482123,0.8035696811945906,0.0047010278893268986,0.0010441936234517296,0.006557860221788306,0.22798353909465022,0.0031844832423523497,0.23194912083800973,0.029999999999999916,0.029999999999999916
6,0.745,5,0.9322426324831505,0.00047889654414598606,0.9314391436500594,0.9864835677207544,0.002282810721832475,0.9824415707675881,0.7708005985783764,0.0027416591158517813,0.7671156004489338,0.865400708016838,0.0011681363674070828,0.8634593115064744,0.8663202645252714,0.8060443978283184,0.0021649945499745945,0.8029525786114265,0.004163135983494824,0.0007285016370071545,0.005452602881037469,0.22919940142162365,0.002741659115851774,0.2328843995510662,0.06999999999999995,0.06999999999999995
7,0.7,5,0.9321897713757104,0.0005211579772746441,0.931333421435179,0.9845633866978775,0.0033876417031794732,0.9785579641847314,0.7721661054994388,0.0031799476243920674,0.7681444070332959,0.865515968352703,0.001210456960465055,0.8634356602186711,0.8663241769763054,0.806979213180486,0.0024205662256622388,0.8036203522504892,0.004774711712043621,0.001088427540224244,0.006705227867221751,0.22783389450056118,0.0031799476243920665,0.23185559296670408,0.02499999999999991,0.02499999999999991
8,0.68,5,0.9319783269459496,0.0005831517006167527,0.9312541297740188,0.9820889689135731,0.005493763062334683,0.9723518432104526,0.7734380845491957,0.0038865304076124377,0.7689861578750468,0.8653458698311018,0.0011252597867938933,0.8634287214491994,0.8661532819948662,0.8077513436838941,0.002742600654355005,0.804170497447233,0.005570496997384224,0.0017828211651965298,0.008731532991931622,0.22656191545080434,0.00388653040761245,0.23101384212495324,0.0050000000000000044,0.0050000000000000044
9,0.715,5,0.9322056297079424,0.0005335437885076386,0.9313598519888991,0.9852571451508634,0.0032651662326658665,0.9794593318380357,0.7716610549943883,0.00303684868509639,0.7677702955480733,0.8654672054520365,0.0012147848600147016,0.8634236129371549,0.8664638623728101,0.8066313654683803,0.0023255475070291303,0.803370456636198,0.004553660243893453,0.001045168078782575,0.006410492576354862,0.2283389450056117,0.003036848685096362,0.23222970445192667,0.039999999999999925,0.039999999999999925
10,0.695,5,0.9321844852649663,0.000521425993737347,0.931306990881459,0.9840784189993664,0.003352082838512447,0.9781124970581313,0.7725402169846614,0.003325175614409129,0.7682379349046016,0.86556294899573,0.001250557661395886,0.8634046355179481,0.866366208992768,0.8072406005926857,0.0025407228867932188,0.8036710173571023,0.004929447739748739,0.0010805425476438342,0.0068525955126551965,0.2274597830153386,0.003325175614409121,0.23176206509539843,0.019999999999999907,0.019999999999999907
11,0.685,5,0.9320576186071097,0.0005271553896210817,0.9312805603277389,0.9828881284936273,0.004734094021181943,0.9744909899368125,0.773063973063973,0.0037925522983396722,0.7685185185185185,0.8654246089542813,0.0011614526815564598,0.8634023326678575,0.8662300235787267,0.8075344296428394,0.0027578847861788863,0.8038544316180786,0.005312603617875695,0.001532685504854923,0.008031536676122757,0.22693602693602694,0.0037925522983396683,0.23148148148148148,0.010000000000000009,0.010000000000000009
12,0.74,5,0.9322373463724066,0.0005040549827263189,0.9313862825426192,0.9862981360791079,0.002438437328291893,0.981984117577338,0.7709315375982043,0.0028685777263664793,0.7671156004489338,0.8654112796092159,0.0012218645270162393,0.8633684210526317,0.8663797627794689,0.8061338748338258,0.002261781459254049,0.8029211371289844,0.004222083041668202,0.000778751211914105,0.005599970526470913,0.22906846240179574,0.0028685777263664594,0.2328843995510662,0.06499999999999995,0.06499999999999995
13,0.735,5,0.9322426324831504,0.0005154296817534051,0.9313862825426192,0.9861599834123341,0.0026139673031002056,0.9815209665955935,0.7710624766180322,0.002901173662587515,0.7671156004489338,0.8654401957259343,0.0012303485275060662,0.8633684210526317,0.8663797627794689,0.8062297439202633,0.002276945357264302,0.8029211371289844,0.004266293335298235,0.0008346136382651362,0.005747338171904358,0.2289375233819678,0.002901173662587529,0.2328843995510662,0.05999999999999994,0.05999999999999994
14,0.69,5,0.9321369102682702,0.0005234984688342753,0.9312805603277389,0.9836418664148695,0.0038169443925643344,0.9768616396523373,0.7727272727272728,0.0034875990164579397,0.7682379349046016,0.8655095705847276,0.0012302964551332038,0.863359260037839,0.866303436714166,0.8073442388271028,0.0026215447520856385,0.8036552911709456,0.005069447002910512,0.0012320300927763568,0.007257856537597171,0.22727272727272724,0.003487599016457931,0.23176206509539843,0.014999999999999902,0.014999999999999902
