seed,winning_candidate_id,winning_f1,winning_pr_auc,winning_recall,winning_threshold
7,FT_DEEP_REGULARIZED,0.8627161535217207,0.9198185838380832,0.7652450430228208,0.6999999999999997
29,FT_BALANCED,0.8666076358143654,0.9276318068669107,0.7780583613916947,0.6549999999999997
101,FT_BALANCED,0.8635455023671751,0.9262880610645033,0.7676767676767676,0.7299999999999998
