candidate_id,epoch,training_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate,epoch_seconds
FT_COMPACT,1,0.5471447569354493,0.4261529613938564,0.9310784801764674,0.8974435973899688,0.001,8.034438884999872
FT_COMPACT,2,0.4202475052955915,0.3997312061274967,0.9368738141380566,0.9085708262844063,0.001,7.346763314999862
FT_COMPACT,3,0.39482873535251195,0.3819425575284516,0.9379636000813141,0.9093246552001223,0.001,7.381303449999905
FT_COMPACT,4,0.3812862036893809,0.37011220797658106,0.9412899626024965,0.9129943821418395,0.001,7.365662258000157
FT_COMPACT,5,0.37500604398057025,0.36615562260395096,0.941261809138528,0.9117760342640275,0.001,7.355088060000071
FT_COMPACT,6,0.37164377879400073,0.36362741751495653,0.9421113318593536,0.9146314890386147,0.001,7.33913464699981
FT_COMPACT,7,0.36473421012066876,0.3674777011268281,0.9422732457196019,0.914869324740875,0.001,7.625436153999999
FT_COMPACT,8,0.3600364255023986,0.36376140823732267,0.9437930228035719,0.9167165706823025,0.001,7.37582681899994
FT_COMPACT,9,0.35689369566519835,0.3573890288463432,0.9439093408359067,0.9166537822297448,0.001,7.357092644000204
FT_COMPACT,10,0.3538424947923401,0.35999228922728743,0.9430105818570002,0.9159285445471518,0.0005,7.347798716999932
FT_COMPACT,11,0.3522032949070523,0.3544513403447755,0.9447611170743183,0.9175618263514419,0.0005,7.371490232000269
FT_COMPACT,12,0.35003153364180367,0.35469347396157797,0.9443489335465781,0.9172666674656945,0.0005,7.612729510000008
FT_COMPACT,13,0.3492306526920592,0.35399452554702254,0.9449264697886197,0.9179239270052009,0.0005,7.352475803000289
FT_COMPACT,14,0.3490976562658662,0.3542849031924508,0.9451087118247057,0.9180857836173848,0.0005,7.352933040000153
FT_COMPACT,15,0.34831885370388155,0.35319080283072474,0.9456791153734707,0.9185686342779837,0.0005,7.328595615999802
FT_BALANCED,1,0.5491754825035395,0.4305184107783355,0.9252026225872564,0.8927794310123628,0.0005,19.135368566000125
FT_BALANCED,2,0.407719040674583,0.3850110067367491,0.9376981260616084,0.9104848314577815,0.0005,19.106112494000172
FT_BALANCED,3,0.3714365526453311,0.3747511511531455,0.9406582764692284,0.9138055821254669,0.0005,19.051712812999995
FT_BALANCED,4,0.3633702683098992,0.3650472211108366,0.9411908440090454,0.9142322477021968,0.0005,19.050849965999987
FT_BALANCED,5,0.35859194902203373,0.36337563198971057,0.942149193711393,0.914712810437547,0.0005,19.060944284000016
FT_BALANCED,6,0.35417870379628047,0.3582957241562598,0.9431596120746587,0.9164967029763713,0.0005,19.122741357999985
FT_BALANCED,7,0.35249026923866555,0.36250118357873395,0.943919967515165,0.9168794097655328,0.0005,19.181235116999687
FT_BALANCED,8,0.3501120386882535,0.35752749853362903,0.9443914885040489,0.9171858087446468,0.0005,19.07315792999998
FT_BALANCED,9,0.34908003728954445,0.3578699820002587,0.9438137627460023,0.9159742499395375,0.0005,19.063427409999804
FT_BALANCED,10,0.349214844527318,0.35708214578468483,0.9444684371706686,0.9176220685202623,0.0005,19.074131651999778
FT_BALANCED,11,0.34770794082712586,0.3546671737094245,0.9436933322163605,0.9170356075967033,0.0005,19.130062898999768
FT_BALANCED,12,0.3471941023592222,0.35465660656839154,0.944468940249518,0.917087135510502,0.00025,19.068137963000027
FT_BALANCED,13,0.34415034487984736,0.3549159412790797,0.9450307001455855,0.9176451490827928,0.00025,19.118163201999778
FT_BALANCED,14,0.3431397564815633,0.35170411105922844,0.9450879804966393,0.9177277488549168,0.00025,19.065926176000175
FT_BALANCED,15,0.3433369825112987,0.35438806735194783,0.9445647681559743,0.9179547103497577,0.00025,19.08473869799991
FT_DEEP_REGULARIZED,1,0.5570036693967227,0.44158903642518055,0.9275557256651215,0.8887576265895637,0.0005,25.35386320200041
FT_DEEP_REGULARIZED,2,0.43244550923764585,0.4089099317328278,0.9351189631244444,0.903587658529045,0.0005,25.216465111999696
FT_DEEP_REGULARIZED,3,0.4052784320949566,0.3891483522373634,0.9388024427138255,0.9113272628622364,0.0005,25.215710129999934
FT_DEEP_REGULARIZED,4,0.38344124988093864,0.4236221721311912,0.936334393010352,0.9075558086524077,0.0005,25.212798351999936
FT_DEEP_REGULARIZED,5,0.3721561710213942,0.38656836111195514,0.939946271730198,0.9135146640353428,0.0005,25.203218045000085
FT_DEEP_REGULARIZED,6,0.3629426182525531,0.36944084992666487,0.9408444966185452,0.9128598153054285,0.0005,25.23127847800015
FT_DEEP_REGULARIZED,7,0.3597097316506117,0.3616195873617417,0.9425936414775362,0.915572365698149,0.0005,25.236938489000295
FT_DEEP_REGULARIZED,8,0.35638445867001434,0.36129819335829744,0.9424968504852003,0.9152599949442196,0.0005,25.197370093000245
FT_DEEP_REGULARIZED,9,0.35574568584955346,0.3594400875434797,0.9430378325356363,0.9159727910376689,0.0005,25.204918268000256
FT_DEEP_REGULARIZED,10,0.3530746167992737,0.3611888610278503,0.9435574630238079,0.9154779236279096,0.0005,25.21514138600014
FT_DEEP_REGULARIZED,11,0.35184311375776983,0.36371091339962164,0.9435522134304714,0.9163874964433152,0.0005,25.246149420000165
FT_DEEP_REGULARIZED,12,0.3501298566037374,0.36008816282106737,0.9432885794388861,0.9165284813136705,0.0005,25.215751161999833
