aggregate_rank,candidate_id,parameter_count,seed_count,seed_win_count,mean_best_epoch,maximum_best_epoch,best_checkpoint_ceiling_hits,mean_threshold,threshold_std,mean_accuracy,accuracy_std,mean_precision,precision_std,mean_recall,recall_std,mean_f1,f1_std,minimum_f1,maximum_f1,mean_f2,f2_std,mean_fpr,fpr_std,mean_fnr,fnr_std,mean_roc_auc,roc_auc_std,mean_pr_auc,pr_auc_std,mean_peak_gpu_memory_mb,total_runtime_seconds
1,FT_BALANCED,159169,3,2,39.0,40,1,0.6783333333333331,0.04481443219916255,0.9314920047574997,0.0007942370398475973,0.9825601362740684,0.0044541893323534415,0.771293178700586,0.005863483970729384,0.8641820553183144,0.002178217156171591,0.8623930277734025,0.8666076358143654,0.805941353601176,0.004566515773898801,0.005403480332559653,0.0014445287013258286,0.2287068212994139,0.005863483970729375,0.9528681873642241,0.0004838397045489551,0.9269290149821972,0.0006740038174934187,1129.52294921875,2300.7221625059983
2,FT_COMPACT,30017,3,0,35.666666666666664,38,0,0.6516666666666664,0.033291640592396934,0.9311484075591383,0.00015858332232060457,0.9854777421814637,0.001828235356204556,0.7676767676767676,0.0019461889306663903,0.8630454293140164,0.0005563737684274256,0.8624268928816059,0.8635050680111339,0.8031775761199554,0.0014671044366466133,0.0044578712743617134,0.0005790160868548691,0.23232323232323235,0.0019461889306663597,0.946734107326805,0.00017372361826975113,0.9201649460841425,0.00018779477789495323,403.015625,884.6973975830006
3,FT_DEEP_REGULARIZED,209153,3,1,34.666666666666664,39,0,0.683333333333333,0.01527525231651948,0.9311748381128585,7.929166116033004e-05,0.9875084352296929,0.0020698628981666435,0.7661491457787754,0.0014070687238304889,0.8628558245675114,0.00012875273997421132,0.8627161535217207,0.862969776609724,0.802108084524885,0.0009613283012391406,0.0038192781441501182,0.0006490174390806129,0.23385085422122456,0.0014070687238304908,0.9466124414973857,0.00010383555565339424,0.9199223081095841,9.876863035796496e-05,1464.8671875,2898.7231454760004
