condition_id,execution_index,target_id,comparison_group,hardware_mode,physical_gpu_index,batch_size,iteration_index,elapsed_ns,batch_latency_ms,flows_per_second
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,38,826591,0.826591,1209.7881539963537
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,39,779712,0.779712,1282.5248296807026
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,40,862825,0.862825,1158.9835714078754
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,41,829981,0.829981,1204.8468579401215
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,42,809588,0.809588,1235.1961738563318
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,43,755723,0.755723,1323.236159280583
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,44,777094,0.777094,1286.8456068377827
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,45,760940,0.76094,1314.1640602412806
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,46,847986,0.847986,1179.2647520124153
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,47,807778,0.807778,1237.9638960209365
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,48,764884,0.764884,1307.3877869062499
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,49,787902,0.787902,1269.1933768412823
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,50,832471,0.832471,1201.2430463043156
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,51,824616,0.824616,1212.6856621748789
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,52,773364,0.773364,1293.0521720690385
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,53,759856,0.759856,1316.0388284095934
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,54,842391,0.842391,1187.0972030802798
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,55,757023,0.757023,1320.9638280474965
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,56,842914,0.842914,1186.3606488918206
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,57,786944,0.786944,1270.7384515289525
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,58,767429,0.767429,1303.0521390252388
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,59,785465,0.785465,1273.1312025360774
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,60,832821,0.832821,1200.7382138538774
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,61,874327,0.874327,1143.736839877986
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,62,887357,0.887357,1126.9421439172734
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,63,755519,0.755519,1323.5934503301703
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,64,752922,0.752922,1328.1588265451135
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,65,754406,0.754406,1325.5461913081285
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,66,806557,0.806557,1239.8379779730385
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,67,788373,0.788373,1268.4351189094502
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,68,751162,0.751162,1331.2707511828341
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,69,786491,0.786491,1271.4703664759038
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,70,858647,0.858647,1164.6229474976328
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,71,848224,0.848224,1178.9338665258233
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,72,820329,0.820329,1219.023099268708
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,73,764904,0.764904,1307.3536025435872
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,74,759813,0.759813,1316.1133068268114
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,75,838883,0.838883,1192.061348245226
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,76,872076,0.872076,1146.6890500369234
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,77,808942,0.808942,1236.1825693312994
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,78,747787,0.747787,1337.2791984883395
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,79,748515,0.748515,1335.9785709037228
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,80,823555,0.823555,1214.2479858661534
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,81,961844,0.961844,1039.669634576917
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,82,877693,0.877693,1139.3505474009705
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,83,814649,0.814649,1227.522528107197
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,84,783426,0.783426,1276.4447439834778
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,85,758180,0.75818,1318.9480070695613
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,86,853264,0.853264,1171.9702225805847
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,87,816211,0.816211,1225.1733926643967
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,88,796775,0.796775,1255.0594584418436
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,89,812722,0.812722,1230.433038603606
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,90,756620,0.75662,1321.6674156115355
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,91,848027,0.848027,1179.2077374894902
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,92,801751,0.801751,1247.2700377049732
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,93,757607,0.757607,1319.9455654448811
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,94,747659,0.747659,1337.5081420808149
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,95,752705,0.752705,1328.5417261742648
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,96,828958,0.828958,1206.3337346403557
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,97,822516,0.822516,1215.781820657592
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,98,751516,0.751516,1330.6436589507077
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,99,784763,0.784763,1274.2700662493007
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,100,754505,0.754505,1325.3722639346327
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,101,880751,0.880751,1135.3946802217654
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,102,971735,0.971735,1029.0871482451491
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,103,962601,0.962601,1038.8520269561325
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,104,790059,0.790059,1265.7282557378626
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,105,746965,0.746965,1338.7508116176796
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,106,821619,0.821619,1217.1091466969483
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,107,828859,0.828859,1206.477820714983
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,108,802999,0.802999,1245.3315633020713
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,109,818746,0.818746,1221.3800128489177
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,110,765676,0.765676,1306.0354510262825
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,111,776640,0.77664,1287.5978574371652
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,112,727116,0.727116,1375.2963763691075
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,113,754071,0.754071,1326.13507216164
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,114,756512,0.756512,1321.8560974578063
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,115,740288,0.740288,1350.8256246217688
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,116,746012,0.746012,1340.461011351024
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,117,800712,0.800712,1248.8884892445724
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,118,776913,0.776913,1287.1454075295433
