split,subset,attack_family,interpretation_status,support_attack,support_benign,PR_AUC,ROC_AUC,precision_at_0_50,recall_at_0_50,f1_at_0_50,fpr_at_0_50,fnr_at_0_50,delta_f1_FULL_minus_ablated,delta_recall_FULL_minus_ablated
RANDOM_NATURAL,FULL,Brute Force -Web,INTERPRETABLE,117,2488021,0.6770840948884425,0.9755589394965429,0.5057471264367817,0.7521367521367521,0.6048109965635738,3.456562464705885e-05,0.24786324786324787,0.0,0.0
RANDOM_NATURAL,FULL,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.8652955342087698,0.9992711265777289,0.31746031746031744,0.9523809523809523,0.47619047619047616,3.456562464705885e-05,0.047619047619047616,0.0,0.0
RANDOM_NATURAL,FULL,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9999999998323424,0.999999999990986,0.9993575041276624,1.0,0.9996786488304311,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9999840628243913,0.9999999977292324,0.8045454545454546,1.0,0.8916876574307304,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9999997303711868,0.9999999874930983,0.9992544429995666,0.9999219244749421,0.9995880723084861,3.456562464705885e-05,7.807552505790601e-05,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9999747282022751,0.9999998943481274,0.9896696696696696,0.9998786407766991,0.9947479625716873,3.456562464705885e-05,0.00012135922330097087,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999999973533417,0.9999999999075321,0.999011710086303,1.0,0.9995056107431936,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,1.0,1.0,0.978299268231138,1.0,0.989030612244898,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.9999666799862954,0.9999999717410791,0.9607485166590598,1.0,0.9799813780260708,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,FTP-BruteForce,INTERPRETABLE,7914,2488021,1.0000000000000002,1.0,0.98925,1.0,0.9945959532487119,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,Infilteration,INTERPRETABLE,12507,2488021,0.23184000739675165,0.9568672666195362,0.5634517766497462,0.008875029983209402,0.017474811083123425,3.456562464705885e-05,0.9911249700167906,0.0,0.0
RANDOM_NATURAL,FULL,SQL Injection,DESCRIPTIVE_ONLY,14,2488021,0.25933959944244916,0.9856797688949226,0.09473684210526316,0.6428571428571429,0.1651376146788991,3.456562464705885e-05,0.35714285714285715,0.0,0.0
RANDOM_NATURAL,FULL,SSH-Bruteforce,INTERPRETABLE,23317,2488021,0.9999999944820736,0.9999999999482876,0.9963252574456266,1.0,0.9981592465753424,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,NO_DST_PORT,Brute Force -Web,INTERPRETABLE,117,2488021,0.4202591995809883,0.9750159685662642,0.23897058823529413,0.5555555555555556,0.33419023136246784,8.319865467373467e-05,0.4444444444444444,0.270620765201106,0.19658119658119655
RANDOM_NATURAL,NO_DST_PORT,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.5477150899078921,0.99829660467764,0.13389121338912133,0.7619047619047619,0.2277580071174377,8.319865467373467e-05,0.23809523809523808,0.24843246907303845,0.19047619047619047
RANDOM_NATURAL,NO_DST_PORT,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9999999125478468,0.9999999952976893,0.9984549240897488,1.0,0.9992268647685636,8.319865467373467e-05,0.0,0.00045178406186752174,0.0
RANDOM_NATURAL,NO_DST_PORT,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9999284470047904,0.9999999897815457,0.6310160427807486,1.0,0.7737704918032787,8.319865467373467e-05,0.0,0.11791716562745169,0.0
RANDOM_NATURAL,NO_DST_PORT,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9999905613360058,0.9999995073093109,0.998207342103212,0.9999219244749421,0.99906389765281,8.319865467373467e-05,7.807552505790601e-05,0.0005241746556761129,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9998952650505265,0.9999976749271421,0.9754913568553161,0.9998786407766991,0.9875344600263694,8.319865467373467e-05,0.00012135922330097087,0.00721350254531794,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999999898115655,0.9999999996439983,0.9976245122790911,1.0,0.9988108437264825,8.319865467373467e-05,0.0,0.0006947670167110065,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,1.0,1.0,0.9493143976493633,1.0,0.9739982414269563,8.319865467373467e-05,0.0,0.01503237081794162,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.98862654150528,0.9990660015174793,0.9098039215686274,0.9919239904988123,0.9490909090909091,8.319865467373467e-05,0.008076009501187649,0.030890468935161675,0.008076009501187698
RANDOM_NATURAL,NO_DST_PORT,FTP-BruteForce,INTERPRETABLE,7914,2488021,0.9999999202182395,0.9999999997460666,0.9745105282600665,1.0,0.9870907390084191,8.319865467373467e-05,0.0,0.0075052142402927124,0.0
RANDOM_NATURAL,NO_DST_PORT,Infilteration,INTERPRETABLE,12507,2488021,0.20845812040251294,0.9522950716105838,0.382089552238806,0.010234268809466698,0.019934589627783834,8.319865467373467e-05,0.9897657311905333,-0.00245977854466041,-0.0013592388262572957
RANDOM_NATURAL,NO_DST_PORT,SQL Injection,DESCRIPTIVE_ONLY,14,2488021,0.0566554324096681,0.9589662828408603,0.041666666666666664,0.6428571428571429,0.0782608695652174,8.319865467373467e-05,0.35714285714285715,0.0868767451136817,0.0
RANDOM_NATURAL,NO_DST_PORT,SSH-Bruteforce,INTERPRETABLE,23317,2488021,0.999999952231236,0.9999999995518261,0.9912004761095052,1.0,0.9955807946030187,8.319865467373467e-05,0.0,0.0025784519723236476,0.0
RANDOM_NATURAL,NO_PORTS,Brute Force -Web,INTERPRETABLE,117,2488021,0.4398075018076766,0.9733339792316384,0.2480916030534351,0.5555555555555556,0.34300791556728233,7.91793959938441e-05,0.4444444444444444,0.2618030809962915,0.19658119658119655
RANDOM_NATURAL,NO_PORTS,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.5473530579853475,0.998295542444989,0.13973799126637554,0.7619047619047619,0.23616236162361623,7.91793959938441e-05,0.23809523809523808,0.24002811456685993,0.19047619047619047
RANDOM_NATURAL,NO_PORTS,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9999999110371778,0.9999999952165632,0.9985294556746589,1.0,0.9992641868143771,7.91793959938441e-05,0.0,0.0004144620160539958,0.0
RANDOM_NATURAL,NO_PORTS,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9999521877100968,0.9999999931876972,0.6424682395644283,1.0,0.7823204419889503,7.91793959938441e-05,0.0,0.10936721544178007,0.0
RANDOM_NATURAL,NO_PORTS,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9999913031223729,0.9999995509858386,0.9982937961735997,0.9999219244749421,0.9991071970320802,7.91793959938441e-05,7.807552505790601e-05,0.0004808752764059454,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9998955004784673,0.9999976932674487,0.9766477003319108,0.9998786407766991,0.9881266490765171,7.91793959938441e-05,0.00012135922330097087,0.006621313495170145,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999999890173786,0.999999999616258,0.997739010673706,1.0,0.9988682258722416,7.91793959938441e-05,0.0,0.0006373848709519958,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,1.0000000000000002,1.0,0.9516445753559155,1.0,0.9752232423594516,7.91793959938441e-05,0.0,0.013807369885446397,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.9887091444838798,0.9991002825480616,0.9137855579868709,0.9919239904988123,0.95125284738041,7.91793959938441e-05,0.008076009501187649,0.02872853064566072,0.008076009501187698
RANDOM_NATURAL,NO_PORTS,FTP-BruteForce,INTERPRETABLE,7914,2488021,0.9999999680752015,0.9999999998984266,0.9757119960547405,1.0,0.9877067082683307,7.91793959938441e-05,0.0,0.006889244980381126,0.0
RANDOM_NATURAL,NO_PORTS,Infilteration,INTERPRETABLE,12507,2488021,0.20877875352491704,0.9523811205260693,0.39009287925696595,0.010074358359318782,0.019641465315666407,7.91793959938441e-05,0.9899256416406812,-0.002166654232542982,-0.0011993283761093793
RANDOM_NATURAL,NO_PORTS,SQL Injection,DESCRIPTIVE_ONLY,14,2488021,0.05988524160346603,0.9595078205299944,0.043689320388349516,0.6428571428571429,0.08181818181818182,7.91793959938441e-05,0.35714285714285715,0.08331943286071727,0.0
RANDOM_NATURAL,NO_PORTS,SSH-Bruteforce,INTERPRETABLE,23317,2488021,0.999999950391927,0.9999999995345885,0.9916220124181339,1.0,0.9957933847237941,7.91793959938441e-05,0.0,0.002365861851548301,0.0
