Operating Point Key,Model,Objective,Threshold,Accuracy,Precision,Recall,F1-score,F2-score,FPR,FNR,Specificity,ROC-AUC,PR-AUC,TP,TN,FP,FN
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,0.9935833333333334,0.9801912125472036,0.9776433333080397,21161,35769,231,3025
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,0.9939166666666667,0.9801912125472036,0.9776433333080397,21148,35781,219,3038
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,0.9540555555555555,0.9801912125472036,0.9776433333080397,21899,34346,1654,2287
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,0.9938888888888889,0.9802072525887335,0.9776909621341594,21141,35780,220,3045
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,0.9347024224902801,0.9290071162317859,0.90680559001075,0.9177721052851823,0.9111605955862802,0.04655555555555556,0.09319440998924998,0.9534444444444444,0.9802072525887335,0.9776909621341594,21932,34324,1676,2254
