Comparison,First Operating Point,Second Operating Point,Difference Convention,Metric,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates,Proportion Above Zero,Proportion Below Zero,CI Interpretation
Threshold-independent: XGBoost minus LightGBM,xgboost_balanced,lightgbm_balanced,First minus second,ROC-AUC,-1.6040041529885585e-05,-1.9922520604207462e-05,-1.814755092477416e-05,0.00011896028761057719,-0.00024764577705660147,0.00021001995817131192,0.0004576657352279134,2000,0.433,0.567,CI includes zero
Threshold-independent: XGBoost minus LightGBM,xgboost_balanced,lightgbm_balanced,First minus second,PR-AUC,-4.7628826119749945e-05,-5.168701968624367e-05,-5.1763140866911694e-05,0.00011551874634331336,-0.00028140425739711915,0.00017457929182801118,0.0004559835492251303,2000,0.3205,0.6795,CI includes zero
