Operating Point Key,Model,Objective,Threshold,Metric,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,Accuracy,0.9459010401089955,0.9458821071345497,0.9458511946299804,0.0008773155281165523,0.9442229089821553,0.9476626624131858,0.0034397534310304234,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,Precision,0.9892015706806283,0.9891968442381549,0.9891899480555946,0.0006837496433788189,0.9878696094456787,0.9905411003125513,0.0026714908668725723,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,Recall,0.8749276440916233,0.8748846233358141,0.8748862978582651,0.002082987326353518,0.8708746795666915,0.8791873397833457,0.008312660216654222,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,F1-score,0.928562025538637,0.9285343382788264,0.9284884357511902,0.0012281454197725675,0.92621450974072,0.9310495690598065,0.004835059319086565,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,F2-score,0.8956203020247852,0.8955826728729505,0.895568803445715,0.0017562833672183696,0.8921989807557533,0.8991957269352496,0.006996746179496305,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,FPR,0.006416666666666667,0.006419416666666667,0.006416666666666667,0.0004101200437742584,0.005611111111111111,0.007222222222222222,0.001611111111111111,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,FNR,0.12507235590837676,0.1251153766641859,0.1251137021417349,0.0020829873263535185,0.12081266021665427,0.12912532043330852,0.00831266021665425,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,Specificity,0.9935833333333334,0.9935805833333334,0.9935833333333334,0.0004101200437742591,0.9927777777777778,0.9943888888888889,0.0016111111111111187,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,ROC-AUC,0.9801912125472036,0.980174831014786,0.9801834153366962,0.00047227433720416017,0.9792644199439299,0.9810936453423469,0.0018292253984170115,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,PR-AUC,0.9776433333080397,0.9776272725041519,0.9776384199150892,0.0005030886717135242,0.9766565132154921,0.9786209257097731,0.0019644124942810315,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,TP,21161.0,21159.9595,21160.0,50.3791314751862,21062.975,21264.025,201.0500000000029,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,TN,35769.0,35768.901,35769.0,14.764321575873302,35740.0,35798.0,58.0,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,FP,231.0,231.099,231.0,14.7643215758733,202.0,260.0,58.0,2000
xgboost_standard,XGBoost Tuned,Standard Reference,0.5,FN,3025.0,3026.0405,3026.0,50.3791314751862,2921.975,3123.0249999999996,201.04999999999973,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,Accuracy,0.9458844249493238,0.9458668793407106,0.9458511946299804,0.0008774091561539961,0.9442224936031636,0.9476456318745223,0.003423138271358761,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,Precision,0.9897505499134179,0.9897461896591211,0.9897467108984418,0.0006757652587515326,0.9884530742514935,0.9910693725022429,0.0026162982507493826,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,Recall,0.8743901430579675,0.8743502852890102,0.8743487968246093,0.0020838886485429757,0.8703382121888696,0.8786488050938559,0.008310592904986258,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,F1-score,0.9285008671218141,0.9284751012722611,0.9284467709809101,0.0012292131937136558,0.9261466572912648,0.9309893343217902,0.004842677030525433,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,F2-score,0.8952595439882822,0.8952246149617658,0.8952051952890175,0.0017577783016478128,0.8919079291078139,0.8988344806963714,0.0069265515885574835,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,FPR,0.006083333333333333,0.006085888888888888,0.006083333333333333,0.0004046209029288109,0.0053055555555555555,0.006861111111111111,0.0015555555555555557,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,FNR,0.12560985694203258,0.12564971471098982,0.12565120317539072,0.0020838886485429753,0.12135119490614404,0.1296617878111304,0.00831059290498637,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,Specificity,0.9939166666666667,0.9939141111111112,0.9939166666666667,0.00040462090292881105,0.9931388888888889,0.9946944444444444,0.0015555555555555323,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,ROC-AUC,0.9801912125472036,0.980174831014786,0.9801834153366962,0.00047227433720416017,0.9792644199439299,0.9810936453423469,0.0018292253984170115,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,PR-AUC,0.9776433333080397,0.9776272725041519,0.9776384199150892,0.0005030886717135242,0.9766565132154921,0.9786209257097731,0.0019644124942810315,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,TP,21148.0,21147.036,21147.0,50.40093085366041,21050.0,21251.0,201.0,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,TN,35781.0,35780.908,35781.0,14.566352505437193,35753.0,35809.0,56.0,2000
