cell_id,source_stage,family,direction,bridge,variant,identity_duplicate_of,operating_point,threshold,tpr,fpr,frozen_f1,frozen_precision,observed_prevalence,projection_prevalence,stage25_1_ppv,stage25_1_npv,benign_flows_per_day,projected_attack_flows_per_day,projected_total_flows_per_day,tp_per_day,fn_per_day,fp_per_day,tn_per_day,total_alerts_per_day,false_alert_fraction,true_alert_processing_hours_per_day,false_alert_processing_hours_per_day,total_alert_processing_hours_per_day,analyst_days_required,capacity_1_analyst_alerts_per_day,capacity_1_analyst_hours_per_day,aci_1,fp_only_aci_1,capacity_exceeded_1,fp_only_capacity_exceeded_1,alert_headroom_1,hour_headroom_1,exact_total_alert_fpr_ceiling_1,feasible_even_at_fpr_zero_1,actual_fpr_meets_total_capacity_1,fp_only_fpr_ceiling_1,actual_fpr_meets_fp_only_capacity_1,capacity_3_analyst_alerts_per_day,capacity_3_analyst_hours_per_day,aci_3,fp_only_aci_3,capacity_exceeded_3,fp_only_capacity_exceeded_3,alert_headroom_3,hour_headroom_3,exact_total_alert_fpr_ceiling_3,feasible_even_at_fpr_zero_3,actual_fpr_meets_total_capacity_3,fp_only_fpr_ceiling_3,actual_fpr_meets_fp_only_capacity_3,capacity_10_analyst_alerts_per_day,capacity_10_analyst_hours_per_day,aci_10,fp_only_aci_10,capacity_exceeded_10,fp_only_capacity_exceeded_10,alert_headroom_10,hour_headroom_10,exact_total_alert_fpr_ceiling_10,feasible_even_at_fpr_zero_10,actual_fpr_meets_total_capacity_10,fp_only_fpr_ceiling_10,actual_fpr_meets_fp_only_capacity_10
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,0.1,0.9996788805731186,0.9965074688587382,1000000,111111.11111111111,1111111.111111111,107606.46059028657,3504.65052082453,34.56562464705885,999965.4343753529,107641.02621493363,0.0003211194268813406,3586.882019676219,1.152187488235295,3588.0342071644545,448.5042758955568,240,8.0,448.5042758955568,0.14402343602941187,True,False,-107401.02621493363,-3580.0342071644545,-0.10736646059028658,False,False,0.00024,True,720,24.0,149.50142529851894,0.04800781200980395,True,False,-106921.02621493363,-3564.0342071644545,-0.10688646059028659,False,False,0.00072,True,2400,80.0,44.85042758955568,0.014402343602941186,True,False,-105241.02621493363,-3508.0342071644545,-0.10520646059028659,False,False,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,0.03,0.9988473083781341,0.9990253957803588,1000000,30927.835051546394,1030927.8350515463,29952.313772554,975.521278992395,34.56562464705885,999965.4343753529,29986.879397201057,0.0011526916218659673,998.4104590851333,1.152187488235295,999.5626465733686,124.94533082167108,240,8.0,124.94533082167108,0.14402343602941187,True,False,-29746.879397201057,-991.5626465733686,-0.029712313772553994,False,False,0.00024,True,720,24.0,41.64844360722369,0.04800781200980395,True,False,-29266.879397201057,-975.5626465733686,-0.029232313772553996,False,False,0.00072,True,2400,80.0,12.494533082167107,0.014402343602941186,True,False,-27586.879397201057,-919.5626465733686,-0.027552313772553995,False,False,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,0.01,0.9964789929419905,0.9996814858776204,1000000,10101.0101010101,1010101.0101010101,9782.40550820787,318.60459280222994,34.56562464705885,999965.4343753529,9816.97113285493,0.0035210070580096145,326.080183606929,1.152187488235295,327.2323710951643,40.90404638689554,240,8.0,40.90404638689554,0.14402343602941187,True,False,-9576.97113285493,-319.2323710951643,-0.009542405508207872,False,False,0.00024,True,720,24.0,13.63468212896518,0.04800781200980395,True,False,-9096.97113285493,-303.2323710951643,-0.009062405508207872,False,False,0.00072,True,2400,80.0,4.090404638689554,0.014402343602941186,True,False,-7416.971132854929,-247.2323710951643,-0.007382405508207873,False,False,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,0.003,0.9882776034072802,0.9999050954320378,1000000,3009.027081243731,1003009.0270812437,2914.1167862966277,94.91029494710361,34.56562464705885,999965.4343753529,2948.6824109436866,0.011722396592719722,97.13722620988759,1.152187488235295,98.28941369812289,12.28617671226536,240,8.0,12.28617671226536,0.14402343602941187,True,False,-2708.6824109436866,-90.28941369812289,-0.0026741167862966275,False,False,0.00024,True,720,24.0,4.095392237421787,0.04800781200980395,True,False,-2228.6824109436866,-74.28941369812289,-0.0021941167862966275,False,False,0.00072,True,2400,80.0,1.228617671226536,0.014402343602941186,True,False,-548.6824109436866,-18.289413698122885,-0.0005141167862966279,False,False,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,0.001,0.9655718537416295,0.9999684264774102,1000000,1001.001001001001,1001001.001001001,969.4275728854647,31.573428115536302,34.56562464705885,999965.4343753529,1003.9931975325235,0.03442814625837056,32.31425242951549,1.152187488235295,33.46643991775078,4.183304989718848,240,8.0,4.183304989718848,0.14402343602941187,True,False,-763.9931975325235,-25.466439917750783,-0.0007294275728854648,False,False,0.00024,True,720,24.0,1.3944349965729492,0.04800781200980395,True,False,-283.9931975325235,-9.466439917750783,-0.00024942757288546474,False,False,0.00072,True,2400,80.0,0.4183304989718848,0.014402343602941186,False,False,1396.0068024674765,46.53356008224922,0.001430572427114535,True,True,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,0.0001,0.7369857797327997,0.9999968453999917,1000000,100.0100010001,1000100.0100010001,96.85550008126604,3.15450091883396,34.56562464705885,999965.4343753529,131.42112472832488,0.26301422026720034,3.228516669375535,1.152187488235295,4.38070415761083,0.5475880197013537,240,8.0,0.5475880197013537,0.14402343602941187,False,False,108.57887527167512,3.61929584238917,0.00014314449991873396,True,True,0.00024,True,720,24.0,0.18252933990045123,0.04800781200980395,False,False,588.5788752716751,19.61929584238917,0.000623144499918734,True,True,0.00072,True,2400,80.0,0.05475880197013537,0.014402343602941186,False,False,2268.5788752716753,75.61929584238916,0.0023031444999187336,True,True,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,0.1,0.9994438775249933,0.9965275218109085,1000000,111111.11111111111,1111111.111111111,107626.74148061767,3484.369630493441,59.8869543303694,999940.1130456696,107686.62843494804,0.0005561224750066928,3587.5580493539223,1.9962318110123134,3589.5542811649348,448.69428514561685,240,8.0,448.69428514561685,0.24952897637653917,True,False,-107446.62843494804,-3581.5542811649348,-0.10738674148061768,False,False,0.00024,True,720,24.0,149.5647617152056,0.08317632545884639,True,False,-106966.62843494804,-3565.5542811649348,-0.10690674148061768,False,False,0.00072,True,2400,80.0,44.86942851456168,0.024952897637653917,True,False,-105286.62843494804,-3509.5542811649348,-0.10522674148061768,False,False,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,0.03,0.9980049549696649,0.9990310056915714,1000000,30927.835051546394,1030927.8350515463,29957.958968831725,969.8760827146692,59.8869543303694,999940.1130456696,30017.845923162095,0.001995045030335104,998.5986322943908,1.9962318110123134,1000.5948641054032,125.0743580131754,240,8.0,125.0743580131754,0.24952897637653917,True,False,-29777.845923162095,-992.5948641054032,-0.029717958968831722,False,False,0.00024,True,720,24.0,41.691452671058464,0.08317632545884639,True,False,-29297.845923162095,-976.5948641054032,-0.029237958968831725,False,False,0.00072,True,2400,80.0,12.50743580131754,0.024952897637653917,True,False,-27617.845923162095,-920.5948641054032,-0.027557958968831724,False,False,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,0.01,0.9939164845714948,0.9996833204712129,1000000,10101.0101010101,1010101.0101010101,9784.249225510697,316.7608754994037,59.8869543303694,999940.1130456696,9844.136179841067,0.006083515428505203,326.14164085035657,1.9962318110123134,328.13787266136893,41.017234082671116,240,8.0,41.017234082671116,0.24952897637653917,True,False,-9604.136179841067,-320.13787266136893,-0.009544249225510696,False,False,0.00024,True,720,24.0,13.67241136089037,0.08317632545884639,True,False,-9124.136179841067,-304.13787266136893,-0.009064249225510697,False,False,0.00072,True,2400,80.0,4.1017234082671115,0.024952897637653917,True,False,-7444.136179841067,-248.13787266136893,-0.007384249225510698,False,False,0.0024,True
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,0.003,0.9798669060908226,0.9999056421896885,1000000,3009.027081243731,1003009.0270812437,2914.6660180307695,94.36106321296178,59.8869543303694,999940.1130456696,2974.552972361139,0.02013309390917734,97.15553393435898,1.9962318110123134,99.15176574537129,12.393970718171412,240,8.0,12.393970718171412,0.24952897637653917,True,False,-2734.552972361139,-91.15176574537129,-0.002674666018030769,False,False,0.00024,True,720,24.0,4.1313235727238045,0.08317632545884639,True,False,-2254.552972361139,-75.15176574537129,-0.002194666018030769,False,False,0.00072,True,2400,80.0,1.2393970718171412,0.024952897637653917,True,False,-574.5529723611389,-19.151765745371293,-0.0005146660180307696,False,False,0.0024,True
