feature,random_pr_auc,chronological_pr_auc,random_minus_chronological_pr_auc,random_roc_auc,chronological_roc_auc,random_minus_chronological_roc_auc,random_f1_at_0_50,chronological_f1_at_0_50,random_minus_chronological_f1,random_recall_at_0_50,chronological_recall_at_0_50,random_fpr_at_0_50,chronological_fpr_at_0_50,random_training_median,chronological_training_median,random_split_threshold,chronological_split_threshold,random_attack_branch,chronological_attack_branch
Dst Port,0.2574500989398031,0.10882933385627773,0.14862076508352534,0.7691529949798699,0.5195997943938458,0.24955320058602404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.5,80.5,NEITHER,NEITHER
Init Fwd Win Byts,0.3001650481017988,0.10424636833559628,0.1959186797662025,0.6868200827837668,0.49589477411022054,0.1909253086735463,0.47197603379959846,0.03939877854034352,0.43257725525925494,0.4419358109821021,0.02595733744538679,0.06829564541456845,0.03416778922494563,279.0,288.0,26881.5,26881.5,RIGHT,RIGHT
Fwd Seg Size Min,0.279444272619476,0.10538524793010758,0.17405902468936846,0.6470116136589396,0.5022618868401763,0.1447497268187633,0.42013416000787307,0.03349712199915766,0.3866370380087154,0.33549916341327385,0.019162811616551013,0.04147593609539469,0.014639037936198553,20.0,20.0,30.0,30.0,RIGHT,RIGHT
