subset,feature_count,random_pr_auc,chronological_pr_auc,random_pr_auc_minus_prevalence,chronological_pr_auc_minus_prevalence,random_roc_auc,chronological_roc_auc,random_f1_at_0_50,chronological_f1_at_0_50,random_recall_at_0_50,chronological_recall_at_0_50,random_fpr_at_0_50,chronological_fpr_at_0_50
FULL,70,0.9955900418992819,0.10621515513397227,0.8587426524455439,0.0013682421358921781,0.9986245647735994,0.5149184263937692,0.983867395346681,6.421679590296842e-05,0.9684581453125792,3.2125417630429196e-05,3.456562464705885e-05,5.8322860303579896e-05
NO_DST_PORT,69,0.9952601987504079,0.1024736864086395,0.85841280929667,-0.0023732265894405857,0.9984732105129365,0.488864390760758,0.9836735534742627,0.00022459292532285232,0.9683795568625463,0.00011243896170650219,8.319865467373467e-05,0.00013545954651154041
NO_PORTS,68,0.9952674376454212,0.10247348738779015,0.8584200481916833,-0.002373425610289942,0.998475655105827,0.4888639373534769,0.9836836019684745,0.00022459292532285232,0.9683744866399635,0.00011243896170650219,7.91793959938441e-05,0.00013545954651154041
NO_INIT_FWD_WIN_BYTS,69,0.9934174488313721,0.10603168460405868,0.8565700593776341,0.0011847716059785879,0.9981920140389745,0.5092116827910099,0.9740989552734425,0.0025459058651306366,0.9667646909699336,0.0012850167052171678,0.002881808473481534,0.0009595051211234111
NO_FWD_SEG_SIZE_MIN,69,0.9955761360933137,0.10545475606303602,0.8587287466395758,0.0006078430649559263,0.9986087874098385,0.5116821102055087,0.9838599599782636,0.00012840473171436367,0.9684682857577448,6.425083526085839e-05,3.858488332694941e-05,8.089945138883663e-05
NO_SUSPICIOUS_GROUP,67,0.9896012454413095,0.10466692608841616,0.8527538559875715,-0.0001799869096639345,0.997408519130376,0.48939250766117265,0.9630074676062886,0.019142650428071867,0.9609897074481569,0.01019982009766127,0.005520451796829689,0.006496414084782625
BEHAVIOR_ONLY,63,0.9815880038573721,0.09553980786517301,0.8447406144036341,-0.009307105132907084,0.9961412400519862,0.47648177846945416,0.9465465006746607,0.029455282147003256,0.9425391674694519,0.02078514520688769,0.007767619324756503,0.04574017353873014
