split,family,subset,component,feature,mean_abs_shap,normalized_importance_share,rank
CHRONOLOGICAL_NATURAL,PRIMARY,BEHAVIOR_ONLY,XGBoost,Tot Fwd Pkts,0.2648676080697216,0.0171194816058904,17
CHRONOLOGICAL_NATURAL,PRIMARY,BEHAVIOR_ONLY,XGBoost,Flow Duration,0.2573366650184267,0.0166327258187966,18
CHRONOLOGICAL_NATURAL,PRIMARY,BEHAVIOR_ONLY,XGBoost,Bwd Pkt Len Max,0.2563987646424793,0.0165721054645328,19
CHRONOLOGICAL_NATURAL,PRIMARY,BEHAVIOR_ONLY,XGBoost,Flow IAT Mean,0.2287206531570147,0.0147831554154333,20
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Dst Port,1.6844645122562742,0.2156687043584775,1
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Fwd Header Len,1.0942981547222868,0.1401073536982431,2
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Init Fwd Win Byts,0.984267505178674,0.1260196911478418,3
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Bwd Pkt Len Min,0.4118738273249666,0.0527338474939794,4
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,TotLen Fwd Pkts,0.2905422473620491,0.0371992817860209,5
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Fwd IAT Min,0.2713685824996333,0.0347444010636351,6
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Flow IAT Std,0.2116614854228181,0.0270998634827784,7
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Flow Pkts/s,0.2030261630008502,0.0259942487399846,8
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Init Bwd Win Byts,0.1804625243003844,0.0231053361575378,9
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Fwd Seg Size Min,0.1736282893921867,0.0222303218267471,10
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Flow IAT Min,0.1690575023034153,0.0216451057404709,11
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Fwd Pkt Len Std,0.1463156127076162,0.0187333709855369,12
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Fwd IAT Tot,0.1340956324342122,0.017168798212602,13
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Bwd Pkt Len Max,0.1337046299086631,0.0171187366010498,14
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Fwd IAT Mean,0.12161794244658,0.0155712298379411,15
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Fwd IAT Std,0.1201126999627864,0.0153785076441144,16
CHRONOLOGICAL_NATURAL,FULL,FULL,LightGBM,Tot Bwd Pkts,0.1058167946302644,0.0135481459129749,17
