split,subset,attack_family,interpretation_status,support_attack,support_benign,PR_AUC,ROC_AUC,precision_at_0_50,recall_at_0_50,f1_at_0_50,fpr_at_0_50,fnr_at_0_50,delta_f1_FULL_minus_ablated,delta_recall_FULL_minus_ablated
RANDOM_NATURAL,FULL,Brute Force -Web,INTERPRETABLE,117,2488021,0.6770840948884425,0.9755589394965428,0.5057471264367817,0.7521367521367521,0.6048109965635738,3.456562464705885e-05,0.2478632478632478,0.0,0.0
RANDOM_NATURAL,FULL,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.8652955342087698,0.9992711265777288,0.3174603174603174,0.9523809523809524,0.4761904761904761,3.456562464705885e-05,0.0476190476190476,0.0,0.0
RANDOM_NATURAL,FULL,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9999999998323424,0.999999999990986,0.9993575041276624,1.0,0.9996786488304312,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9999840628243912,0.9999999977292324,0.8045454545454546,1.0,0.8916876574307304,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9999997303711868,0.9999999874930984,0.9992544429995666,0.999921924474942,0.999588072308486,3.456562464705885e-05,7.807552505790601e-05,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9999747282022752,0.9999998943481274,0.9896696696696696,0.9998786407766992,0.9947479625716872,3.456562464705885e-05,0.0001213592233009,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999999973533416,0.999999999907532,0.999011710086303,1.0,0.9995056107431936,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,1.0,1.0,0.978299268231138,1.0,0.989030612244898,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.9999666799862954,0.9999999717410792,0.9607485166590598,1.0,0.9799813780260708,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,FTP-BruteForce,INTERPRETABLE,7914,2488021,1.0000000000000002,1.0,0.98925,1.0,0.994595953248712,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,FULL,Infilteration,INTERPRETABLE,12507,2488021,0.2318400073967516,0.9568672666195362,0.5634517766497462,0.0088750299832094,0.0174748110831234,3.456562464705885e-05,0.9911249700167906,0.0,0.0
RANDOM_NATURAL,FULL,SQL Injection,DESCRIPTIVE_ONLY,14,2488021,0.2593395994424491,0.9856797688949226,0.0947368421052631,0.6428571428571429,0.1651376146788991,3.456562464705885e-05,0.3571428571428571,0.0,0.0
RANDOM_NATURAL,FULL,SSH-Bruteforce,INTERPRETABLE,23317,2488021,0.9999999944820736,0.9999999999482876,0.9963252574456266,1.0,0.9981592465753424,3.456562464705885e-05,0.0,0.0,0.0
RANDOM_NATURAL,NO_DST_PORT,Brute Force -Web,INTERPRETABLE,117,2488021,0.4202591995809883,0.9750159685662642,0.2389705882352941,0.5555555555555556,0.3341902313624678,8.319865467373467e-05,0.4444444444444444,0.270620765201106,0.1965811965811965
RANDOM_NATURAL,NO_DST_PORT,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.5477150899078921,0.99829660467764,0.1338912133891213,0.7619047619047619,0.2277580071174377,8.319865467373467e-05,0.238095238095238,0.2484324690730384,0.1904761904761904
RANDOM_NATURAL,NO_DST_PORT,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9999999125478468,0.9999999952976892,0.9984549240897488,1.0,0.9992268647685636,8.319865467373467e-05,0.0,0.0004517840618675,0.0
RANDOM_NATURAL,NO_DST_PORT,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9999284470047904,0.9999999897815456,0.6310160427807486,1.0,0.7737704918032787,8.319865467373467e-05,0.0,0.1179171656274516,0.0
RANDOM_NATURAL,NO_DST_PORT,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9999905613360058,0.9999995073093108,0.998207342103212,0.999921924474942,0.99906389765281,8.319865467373467e-05,7.807552505790601e-05,0.0005241746556761,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9998952650505264,0.999997674927142,0.975491356855316,0.9998786407766992,0.9875344600263694,8.319865467373467e-05,0.0001213592233009,0.0072135025453179,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999999898115656,0.9999999996439984,0.9976245122790912,1.0,0.9988108437264824,8.319865467373467e-05,0.0,0.000694767016711,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,1.0,1.0,0.9493143976493632,1.0,0.9739982414269563,8.319865467373467e-05,0.0,0.0150323708179416,0.0
RANDOM_NATURAL,NO_DST_PORT,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.98862654150528,0.9990660015174792,0.9098039215686274,0.9919239904988124,0.9490909090909092,8.319865467373467e-05,0.0080760095011876,0.0308904689351616,0.0080760095011876
RANDOM_NATURAL,NO_DST_PORT,FTP-BruteForce,INTERPRETABLE,7914,2488021,0.9999999202182396,0.9999999997460666,0.9745105282600665,1.0,0.9870907390084191,8.319865467373467e-05,0.0,0.0075052142402927,0.0
RANDOM_NATURAL,NO_DST_PORT,Infilteration,INTERPRETABLE,12507,2488021,0.2084581204025129,0.9522950716105838,0.382089552238806,0.0102342688094666,0.0199345896277838,8.319865467373467e-05,0.9897657311905332,-0.0024597785446604,-0.0013592388262572
RANDOM_NATURAL,NO_DST_PORT,SQL Injection,DESCRIPTIVE_ONLY,14,2488021,0.0566554324096681,0.9589662828408604,0.0416666666666666,0.6428571428571429,0.0782608695652174,8.319865467373467e-05,0.3571428571428571,0.0868767451136817,0.0
RANDOM_NATURAL,NO_DST_PORT,SSH-Bruteforce,INTERPRETABLE,23317,2488021,0.999999952231236,0.999999999551826,0.9912004761095052,1.0,0.9955807946030188,8.319865467373467e-05,0.0,0.0025784519723236,0.0
RANDOM_NATURAL,NO_PORTS,Brute Force -Web,INTERPRETABLE,117,2488021,0.4398075018076766,0.9733339792316384,0.2480916030534351,0.5555555555555556,0.3430079155672823,7.91793959938441e-05,0.4444444444444444,0.2618030809962915,0.1965811965811965
RANDOM_NATURAL,NO_PORTS,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.5473530579853475,0.998295542444989,0.1397379912663755,0.7619047619047619,0.2361623616236162,7.91793959938441e-05,0.238095238095238,0.2400281145668599,0.1904761904761904
RANDOM_NATURAL,NO_PORTS,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9999999110371778,0.9999999952165632,0.9985294556746588,1.0,0.9992641868143772,7.91793959938441e-05,0.0,0.0004144620160539,0.0
RANDOM_NATURAL,NO_PORTS,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9999521877100968,0.9999999931876972,0.6424682395644283,1.0,0.7823204419889503,7.91793959938441e-05,0.0,0.10936721544178,0.0
RANDOM_NATURAL,NO_PORTS,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9999913031223728,0.9999995509858386,0.9982937961735996,0.999921924474942,0.9991071970320802,7.91793959938441e-05,7.807552505790601e-05,0.0004808752764059,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9998955004784672,0.9999976932674488,0.9766477003319108,0.9998786407766992,0.9881266490765171,7.91793959938441e-05,0.0001213592233009,0.0066213134951701,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999999890173786,0.999999999616258,0.997739010673706,1.0,0.9988682258722416,7.91793959938441e-05,0.0,0.0006373848709519,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,1.0000000000000002,1.0,0.9516445753559156,1.0,0.9752232423594516,7.91793959938441e-05,0.0,0.0138073698854463,0.0
RANDOM_NATURAL,NO_PORTS,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.9887091444838798,0.9991002825480616,0.9137855579868708,0.9919239904988124,0.95125284738041,7.91793959938441e-05,0.0080760095011876,0.0287285306456607,0.0080760095011876
RANDOM_NATURAL,NO_PORTS,FTP-BruteForce,INTERPRETABLE,7914,2488021,0.9999999680752016,0.9999999998984266,0.9757119960547403,1.0,0.9877067082683308,7.91793959938441e-05,0.0,0.0068892449803811,0.0
RANDOM_NATURAL,NO_PORTS,Infilteration,INTERPRETABLE,12507,2488021,0.208778753524917,0.9523811205260692,0.3900928792569659,0.0100743583593187,0.0196414653156664,7.91793959938441e-05,0.9899256416406812,-0.0021666542325429,-0.0011993283761093
RANDOM_NATURAL,NO_PORTS,SQL Injection,DESCRIPTIVE_ONLY,14,2488021,0.059885241603466,0.9595078205299944,0.0436893203883495,0.6428571428571429,0.0818181818181818,7.91793959938441e-05,0.3571428571428571,0.0833194328607172,0.0
RANDOM_NATURAL,NO_PORTS,SSH-Bruteforce,INTERPRETABLE,23317,2488021,0.999999950391927,0.9999999995345884,0.991622012418134,1.0,0.995793384723794,7.91793959938441e-05,0.0,0.0023658618515483,0.0
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,Brute Force -Web,INTERPRETABLE,117,2488021,0.1203733656710661,0.9148669482641744,0.0073376713277031,0.452991452991453,0.0144414168937329,0.0028818084734815,0.5470085470085471,0.5903695796698408,0.2991452991452991
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,Brute Force -XSS,DESCRIPTIVE_ONLY,42,2488021,0.2676410190234768,0.9664533818339192,0.0038899694359544,0.6666666666666666,0.0077348066298342,0.0028818084734815,0.3333333333333333,0.4684556695606419,0.2857142857142857
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,DDOS attack-HOIC,INTERPRETABLE,133767,2488021,0.9874196744999484,0.9993974444731542,0.9489705139245732,0.9967854553066152,0.9722904832393884,0.0028818084734815,0.0032145446933847,0.0273881655910428,0.0032145446933847
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,DDOS attack-LOIC-UDP,INTERPRETABLE,354,2488021,0.9740815472461825,0.999998781733174,0.0470494417862838,1.0,0.0898705255140898,0.0028818084734815,0.0,0.8018171319166405,0.0
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,DDoS attacks-LOIC-HTTP,INTERPRETABLE,115273,2488021,0.9987917383282692,0.999942165690802,0.9413338569920716,0.9980394368152126,0.9688576361109942,0.0028818084734815,0.0019605631847874,0.0307304361974919,0.0018824876597295
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,DoS attacks-GoldenEye,INTERPRETABLE,8240,2488021,0.9993818498270785,0.9999988103677192,0.5347177157689812,1.0,0.6968287526427062,0.0028818084734815,0.0,0.2979192099289811,-0.0001213592233009
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,DoS attacks-Hulk,INTERPRETABLE,86933,2488021,0.9999932277087756,0.9999997826332496,0.9238068924476373,1.0,0.9603946176451092,0.0028818084734815,0.0,0.0391109930980843,0.0
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,DoS attacks-SlowHTTPTest,INTERPRETABLE,3877,2488021,0.999313747634918,0.9999994032795212,0.3509550104100661,1.0,0.519565800053605,0.0028818084734815,0.0,0.469464812191293,0.0
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,DoS attacks-Slowloris,INTERPRETABLE,2105,2488021,0.9880211511488788,0.9999771332821912,0.2268708216519301,0.9995249406175772,0.3698040249582564,0.0028818084734815,0.0004750593824228,0.6101773530678143,0.0004750593824227
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,FTP-BruteForce,INTERPRETABLE,7914,2488021,0.9996685634207426,0.9999994033071744,0.5246618933969769,1.0,0.6882337594573441,0.0028818084734815,0.0,0.3063621937913677,0.0
RANDOM_NATURAL,NO_INIT_FWD_WIN_BYTS,Infilteration,INTERPRETABLE,12507,2488021,0.1226765622350075,0.950890646026794,0.0191518467852257,0.0111937315103542,0.0141292829388908,0.0028818084734815,0.9888062684896458,0.0033455281442325,-0.0023187015271447
