comparison,family,random_pr_auc_removal_penalty,random_pr_auc_ci_low,random_pr_auc_ci_high,chronological_pr_auc_removal_penalty,chronological_pr_auc_ci_low,chronological_pr_auc_ci_high,pr_auc_interaction,pr_auc_interaction_ci_low,pr_auc_interaction_ci_high,random_roc_auc_removal_penalty,random_roc_auc_ci_low,random_roc_auc_ci_high,chronological_roc_auc_removal_penalty,chronological_roc_auc_ci_low,chronological_roc_auc_ci_high,roc_auc_interaction,roc_auc_interaction_ci_low,roc_auc_interaction_ci_high,pr_auc_interaction_ci_excludes_zero,roc_auc_interaction_ci_excludes_zero
NO_DST_PORT,PRIMARY,0.00032984314887396504,0.0001698831288928282,0.0007940842687093024,0.003741468725332764,0.001959606159472882,0.005744408265310856,-0.003411625576458799,-0.005267564063870375,-0.0015165995640013267,0.00015135426066292812,0.0001533007531018482,0.0005142040844624357,0.026054035633011174,0.021811614647179976,0.03173947323167867,-0.025902681372348246,-0.03139288726970821,-0.02148060714233315,True,True
NO_PORTS,PRIMARY,0.00032260425386065883,0.0001721911461683906,0.0007846471864412061,0.00374166774618212,0.00195982038321412,0.005744814516019507,-0.0034190634923214613,-0.005286186787670953,-0.0015476733267593347,0.0001489096677723678,0.0001520621277799644,0.0005151428744065184,0.026054489040292284,0.021811222579423604,0.031740064769699955,-0.025905579372519916,-0.031383798992310086,-0.021501918940749622,True,True
NO_INIT_FWD_WIN_BYTS,PRIMARY,0.002172593067909845,0.0014170261240420896,0.002335802960643324,0.00018347052991359025,-0.002121285931441744,0.0011902216007453486,0.0019891225379962546,0.0006494786706753828,0.004066168610987353,0.00043255073462489246,0.00021982140963344997,0.00045631947418101336,0.0057067436027592455,-5.3415142766358105e-05,0.011270238698479254,-0.005274192868134353,-0.010978204403835934,0.0004392081922844664,True,False
NO_FWD_SEG_SIZE_MIN,PRIMARY,1.3905805968161822e-05,-2.295120965745412e-05,0.00018323750245296527,0.0007603990709362518,0.00024634464715258853,0.0015681088256354985,-0.00074649326496809,-0.0014991129068541297,-0.00017537466024770032,1.5777363760904883e-05,1.5079056840203164e-05,0.00015529749670415704,0.0032363161882604796,0.001926305712748261,0.007549470564999868,-0.0032205388244995747,-0.007461092543399267,-0.0018735338020635245,True,True
NO_SUSPICIOUS_GROUP,PRIMARY,0.005988796457972456,0.004598577822339797,0.0064184924496480614,0.0015482290455561126,-0.0025539865163677895,0.00310479515108542,0.0044405674124163436,0.00221174786153164,0.00810378345684727,0.001216045643223418,0.0008720932723237124,0.001489534787771657,0.02552591873259652,0.019040015913123962,0.030563780465907568,-0.024309873089373102,-0.02932549128948949,-0.017802274418892497,True,True
BEHAVIOR_ONLY,PRIMARY,0.014002038041909803,0.011323931343983412,0.014618400482256566,0.010675347268799262,0.00807237832947763,0.01263975725460395,0.003326690773110541,-2.9204045875997815e-05,0.005382771146658513,0.002483324721613167,0.0019496373183142512,0.0026846718729636983,0.038436647924315004,0.03032844641697618,0.04271457638678841,-0.03595332320270184,-0.04039986869427763,-0.028058423480978055,False,True
