split,subset,attack_prevalence,pr_auc,pr_auc_minus_attack_prevalence,roc_auc,f1_at_0_50,recall_at_0_50,fpr_at_0_50,fnr_at_0_50
RANDOM_NATURAL,FULL,0.13684738945373795,0.9955900418992819,0.8587426524455439,0.9986245647735994,0.983867395346681,0.9684581453125792,3.456562464705885e-05,0.03154185468742077
RANDOM_NATURAL,BEHAVIOR_ONLY,0.13684738945373795,0.9815880038573721,0.8447406144036341,0.9961412400519862,0.9465465006746607,0.9425391674694519,0.007767619324756503,0.05746083253054809
CHRONOLOGICAL_NATURAL,FULL,0.10484691299808009,0.10621515513397227,0.0013682421358921781,0.5149184263937692,6.421679590296842e-05,3.2125417630429196e-05,5.8322860303579896e-05,0.9999678745823696
CHRONOLOGICAL_NATURAL,BEHAVIOR_ONLY,0.10484691299808009,0.09553980786517301,-0.009307105132907084,0.47648177846945416,0.029455282147003256,0.02078514520688769,0.04574017353873014,0.9792148547931123
