target_id,group,cpu_mode,component,n_observations,p50_ms,p95_ms,status
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,framework_import_ns,20,1303.8997055,1437.5987189,PASS
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,input_preparation_ns,20,6.1049690000000005,7.1184335,PASS
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,model_deserialization_load_ns,20,8.392285000000001,9.2241655,PASS
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,first_prediction_ns,20,4.486299499999999,4.9251819999999995,PASS
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,spawn_to_first_output_ns,20,1399.252552,1548.58006385,PASS
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,parent_process_total_ns,20,1799.9466445,2198.6213818,PASS
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,process_spawn_to_worker_ready_ns,20,75.415762,82.127584,PASS
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,framework_import_ns,20,1930.729798,2011.5429784500002,PASS
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,input_preparation_ns,20,0.6294095,0.6796235,PASS
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,model_deserialization_load_ns,20,82.830363,85.98839244999999,PASS
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,first_prediction_ns,20,4.653365,5.44781,PASS
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,spawn_to_first_output_ns,20,2093.9150085,2179.742083,PASS
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,parent_process_total_ns,20,2525.8369620000003,2638.0943938500004,PASS
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,process_spawn_to_worker_ready_ns,20,74.9443775,81.53695295,PASS
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,framework_import_ns,20,1280.8762310000002,1406.45231315,PASS
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,input_preparation_ns,20,5.468249999999999,6.5030779999999995,PASS
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,model_deserialization_load_ns,20,23.2065445,24.477001450000003,PASS
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,first_prediction_ns,20,3.04273,3.3666940000000003,PASS
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,spawn_to_first_output_ns,20,1388.9788105,1524.0428267,PASS
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,parent_process_total_ns,20,1786.8976955,2093.9344741,PASS
