target_id,comparison_group,batch_size,gpu_status,gpu_p50_latency_ms,gpu_p50_ci95_low_ms,gpu_p50_ci95_high_ms,gpu_p95_latency_ms,gpu_p95_ci95_low_ms,gpu_p95_ci95_high_ms,gpu_median_throughput_samples_per_s,gpu_throughput_ci95_low_samples_per_s,gpu_throughput_ci95_high_samples_per_s,cpu_status,cpu_p50_latency_ms,cpu_p50_ci95_low_ms,cpu_p50_ci95_high_ms,cpu_p95_latency_ms,cpu_p95_ci95_low_ms,cpu_p95_ci95_high_ms,cpu_median_throughput_samples_per_s,cpu_throughput_ci95_low_samples_per_s,cpu_throughput_ci95_high_samples_per_s,p50_latency_speedup_cpu_over_gpu,p95_latency_speedup_cpu_over_gpu,throughput_ratio_gpu_over_cpu,ratio_uncertainty_available,ratio_interpretation,comparison_boundary
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,64,PASS,1.4259855,1.40836,1.4430635,1.57102005,1.539549,1.605279,44881.27585417264,44352.668472021,45441.32218617475,PASS,0.3324344999999999,0.328725,0.336445,0.4033615,0.3812334999999999,0.41089,192519.1937305641,190224.2918974218,194691.6119347757,0.23312614328827322,0.25675133808763295,0.23312624047753505,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,256,PASS,1.665963,1.6561969625,1.68544,1.75858135,1.7417542499999998,1.8127958,153664.87876422866,151804.09681306273,154635.8747980975,PASS,0.5996049999999999,0.59623,0.6061455,0.647632,0.63471645,0.6830629999999999,426948.3476912744,422341.5498617705,429364.5069855592,0.35991495609446306,0.3682695713792256,0.3599144477198995,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,1024,PASS,2.8869205,2.834505,2.9218365000000004,3.1461138,3.030173,3.26606905,354706.1131180686,350144.7285042773,361262.3720896594,PASS,1.983915,1.90386,2.0339395,3.10194,2.6826774999999983,4.287559499999997,516160.6540022997,503467.0192964169,537979.7547967385,0.6872080474678814,0.9859592491536701,0.6872009913341598,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,8192,PASS,10.7871085,10.6817125,10.9151115,11.2015076,10.994647,11.297241,759427.1592770051,750544.6208712922,768085.9374178878,PASS,13.64376,13.594555,13.75947,13.910149,13.7742,13.97606,600421.1060736813,595372.4517310839,602594.3341607898,1.2648208739163047,1.2418104327313941,1.2648242235239,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,1,PASS,1.7093660000000002,1.657065,2.194882,2.2911625,2.2654786,2.389201,585.0197346144234,455.66078788306834,604.1752802809622,PASS,0.439665,0.43558175,0.44464,0.5937109499999996,0.51552,0.69675,2274.459048084583,2249.01043540842,2295.78117911425,0.25720939810432636,0.25913087788404343,0.25721269200564106,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,64,PASS,2.347544,2.33273,2.360948,3.54891465,3.5235545,3.5707008,27262.535247556352,27085.452911093693,27440.217841029385,PASS,0.923595,0.92011,0.92855,1.0600849999999995,0.9934262624999992,1.13108,69294.4418298883,68924.66749232674,69556.90080533849,0.3934303254805874,0.29870681730821547,0.39343033189420096,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,256,PASS,2.571603,2.56181825,2.5861015,2.67306785,2.640862,2.7071931,99548.80308675797,99001.78357900729,99955.4885714955,PASS,2.42636,2.4045845000000003,2.454975,2.73380905,2.62527205,3.108884499999998,105508.00019642623,104278.26140969987,106463.51062536128,0.9435204423077744,1.0227234037474957,0.943519002364049,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,1024,PASS,2.852116,2.83893,2.859074,2.8939304,2.87893885,2.948785,359031.7357032866,358244.0026490465,360695.9741538791,PASS,7.79601,7.71157,7.84032,9.42552305,8.10604,10.31061095,131349.55579561362,130606.91400351009,132787.48685416847,2.733412666244991,3.25699714478275,2.733406546588994,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE16_XGBOOST_TUNED,GROUP_A_DUPSAFE70,8192,PASS,4.556527,4.5438345,4.5698360000000005,4.6088334,4.5711581,4.659742,1797860.569530968,1792624.5556664057,1802882.5667286343,PASS,54.8363635,54.4647095,55.8751595,57.170432,56.431009,57.187969,149389.949639929,146612.88555501,150409.4639018764,12.034684201366522,12.40453430145685,12.03468221165017,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,1,PASS,0.791709,0.7834464999999999,0.803033,0.8778458999999998,0.86841,0.91598796875,1263.0907269750303,1246.3008005035222,1276.3779457207515,PASS,7.5736545,7.50146,7.63203,9.532039499999998,8.779499999999993,9.922140499999992,132.03665745731684,131.02673876714326,133.30738282947587,9.566209933195152,10.858442808697973,9.566212529905542,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,64,PASS,12.465088,12.462337,12.4676915625,12.48816075,12.481347,12.4957568,5134.340008985704,5133.259606083592,5135.474865069137,PASS,1081.205047,1078.895312875,1085.737132,1122.7371835,1111.174555,1128.20570145,59.19321350856008,58.946128039397294,59.31993515670892,86.7386613716646,89.9041264743489,86.73865979996532,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,256,PASS,49.5738875,49.566623,49.579746,49.6262302,49.61501065,49.64029245,5164.008975512605,5163.359000793531,5164.742161888351,PASS,4580.802071,4566.676604,4590.8601535,4987.9483890500005,4670.9842428825,5184.457397149998,55.88540974266916,55.76297068936387,56.05827217451021,92.40352738122465,100.51032224184542,92.40352713330513,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,1,PASS,1.8336565,1.823833,1.849274,2.0079754,1.9746454875,2.053029,545.358416401908,541.159827932849,548.4052674458992,PASS,1.91786,1.9088088875,1.9300736375,2.1051985,2.07433,2.18989,521.4145194484133,518.1149615199995,523.8869169240758,1.0459210871829048,1.0484184716605593,1.0459210399028092,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,64,PASS,3.8814775,3.8782335,3.8866218,4.9415059,4.932638,4.94926645,16488.56654363947,16468.597472482004,16502.590925537435,PASS,105.0176195,99.758049,107.6815645,132.188061,127.435599,134.07868495,609.4236485845488,594.345095179535,641.5522420651992,27.05609384570695,26.75056221221956,27.05600050463404,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,256,PASS,15.8971775,15.8903665,15.90678685,16.03908765,16.024857,16.0748128,16103.48756006017,16094.362099109989,16110.61262869984,PASS,626.6558415,621.4636915,633.3798165000001,680.02904195,661.90855805,687.30002945,408.5176986728557,404.1822993518025,411.93120233102434,39.41931462361793,42.398237155964416,39.41931429745954,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,1024,PASS,58.715826500000006,58.6366435375,58.8168755,59.5537633,59.2374622,59.7461259,17439.931636034395,17413.59786095257,17460.76379569211,PASS,3394.4751425,3375.5145725,3421.9111225,3497.188846,3466.94246705,3559.2533212,301.66675854959783,299.24804805835925,303.3613952680747,57.81192814342824,58.72322171116263,57.81191046665173,False,POINT_ESTIMATE_ONLY__GT1_GPU_ADVANTAGE__LT1_CPU_ADVANTAGE,MATCHED_PREPARED_INPUT_TO_MATERIALIZED_PROBABILITY_COMPONENT_LEVEL_ONLY
