target_id,group,cpu_mode,batch_size,status,n_timed_observations,p50_latency_ms,p50_ci95_low_ms,p50_ci95_high_ms,p95_latency_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_latency_ms,p99_ci95_low_ms,p99_ci95_high_ms,median_throughput_samples_per_s,throughput_ci95_low_samples_per_s,throughput_ci95_high_samples_per_s,resource_limit_outcome
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,1024,PASS,50,25.09686,24.785534625,25.3421755,26.426792,25.898175,26.815619,,,,40801.999383258124,40407.038437564916,41314.42051842204,NONE
STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,8192,PASS,20,193.48129,192.767305,195.16737,198.87641695,195.67067995,200.465994,,,,42340.01420302493,41974.29898971769,42496.833163694435,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,PASS,200,0.20542,0.203185,0.207195625,0.23919549999999995,0.23436749999999995,0.24431099999999997,0.2700422999999999,0.2427396124999993,0.31638,4868.080746724058,4826.357561796475,4921.623297351722,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,64,PASS,150,0.33243449999999997,0.328725,0.336445,0.4033615,0.38123349999999995,0.41089,0.4290150999999999,0.4058849,0.44687,192519.19373056412,190224.2918974218,194691.61193477572,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,256,PASS,100,0.5996049999999999,0.59623,0.6061455,0.647632,0.63471645,0.6830629999999999,0.7438663000000004,0.6477350000000002,0.8326,426948.34769127436,422341.5498617705,429364.50698555924,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1024,PASS,50,1.983915,1.9038599999999999,2.0339395,3.10194,2.6826774999999983,4.287559499999997,,,,516160.65400229965,503467.0192964169,537979.7547967385,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,8192,PASS,20,13.64376,13.594555,13.75947,13.910149,13.7742,13.97606,,,,600421.1060736813,595372.4517310839,602594.3341607898,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,1,PASS,200,0.22873549999999998,0.22608050000000002,0.231441,0.27346344999999994,0.25388,0.3253650499999999,0.37020719999999985,0.29454279999999927,0.42553,4371.861922392712,4320.755613741731,4423.203320056738,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,64,PASS,150,0.40193,0.39292,0.41427,0.7671999999999987,0.55917,1.0367594999999963,1.3667022999999983,0.8568676999999998,1.56704,159231.7464402116,154488.61853380647,162883.029624351,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,256,PASS,100,0.62933,0.617671775,0.64246,0.903731,0.7633319999999999,0.964428999999999,1.302828100000001,0.9074127000000021,1.51252,406781.81568435836,398469.5981227417,414465.35810676246,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,1024,PASS,50,2.272715,2.0305748625,2.484141112499999,3.3533479999999996,3.065820999999999,3.7124589999999986,,,,450568.493168962,412995.9622394926,504626.5770713974,NONE
STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,8192,PASS,20,7.494775,7.16212,8.521635,11.011481,8.850145500000002,11.2642,,,,1093103.8065002223,961855.4206194617,1143807.0651100671,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,PASS,200,8.88064,8.8218,8.940945,11.302716,10.75722,11.713259,13.018521299999998,11.6162786,14.205739,112.60450582569108,111.84500231109415,113.35555102133353,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,64,PASS,150,349.24230650000004,345.3479865,354.194536,402.56819104999994,394.22763312499984,411.6027634999999,425.29346348999997,406.6276167,459.647066,183.2539686336733,180.69166374717875,185.32035431957183,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,256,PASS,100,1725.547919,1706.673759,1738.427659,1799.1141565,1780.1943519499998,1810.027492,1817.941622,1799.19455009,1837.464818,148.3588442472987,147.2595069887806,149.99937665298103,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1024,PASS,50,8014.44269,7974.008739,8066.879318,8281.73527095,8181.7322785,8337.6961565,,,,127.7693591617391,126.93880243319143,128.41721567117534,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,8192,TIMEOUT_RESOURCE_LIMIT,0,,,,,,,,,,,,,TIMEOUT_RESOURCE_LIMIT
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,1,PASS,200,8.549405,8.370479,8.768243374999999,10.77292655,10.039072549999998,11.41695,12.022796799999991,11.32017,13.38363,116.9673502518223,114.04795050563797,119.46747611456883,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,64,PASS,150,247.79952350000002,245.191174,250.674583,281.6069055,274.3796024999999,305.65209049999993,312.90637100999993,283.88148751,317.503771,258.2733728090253,255.31108592688872,261.02081472149564,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,256,PASS,100,924.4779960000001,913.346504025,931.4562847625,1017.0431605,974.66563645,1023.1010559999999,1052.9646587900002,1017.0344114,1078.537922,276.91302687464923,274.83845325754396,280.28880015639635,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,1024,PASS,50,4705.968333,4656.8472973749995,4744.130264,8359.608535749992,4824.394352,10113.03378115,,,,217.597014893922,215.84567518527987,219.89134868507165,NONE
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,8192,TIMEOUT_RESOURCE_LIMIT,0,,,,,,,,,,,,,TIMEOUT_RESOURCE_LIMIT
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,PASS,200,7.5736545,7.50146,7.63203,9.532039499999998,8.779499999999993,9.922140499999992,10.681361889999996,9.83482342974998,12.10229,132.03665745731684,131.02673876714326,133.30738282947587,NONE
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,64,PASS,150,1081.205047,1078.895312875,1085.737132,1122.7371835,1111.174555,1128.2057014499999,1138.1144252,1125.6284125,1213.556338,59.19321350856008,58.946128039397294,59.31993515670892,NONE
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,256,PASS,100,4580.802071,4566.676604,4590.8601535,4987.9483890500005,4670.9842428824995,5184.457397149998,5854.8477214600125,4986.126764600001,8216.654137,55.88540974266916,55.76297068936387,56.05827217451021,NONE
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1024,TIMEOUT_RESOURCE_LIMIT,0,,,,,,,,,,,,,TIMEOUT_RESOURCE_LIMIT
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,8192,RESOURCE_LIMIT_OOM,0,,,,,,,,,,,,,RESOURCE_LIMIT_OOM
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,1,PASS,200,8.7756045,8.69654,8.88417575,10.996530499999999,10.331719549999995,11.41073,11.99431539999999,11.244944799999983,14.36593,113.95265342023463,112.55981935099408,114.98825969868476,NONE
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,64,PASS,150,658.524848,650.628053,674.638012,874.5717144999999,852.028048,890.5511139500001,908.8217726999999,879.7801919,916.689896,97.18693788054995,94.86568924610197,98.36649327507554,NONE
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,256,PASS,100,2845.3492054999997,2830.753225,2864.243951,3036.8875554499996,2965.95271105,3130.06361405,3136.97859779,3035.89961648,3148.750766,89.97138566395915,89.37786179512472,90.43536465863997,NONE
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,1024,TIMEOUT_RESOURCE_LIMIT,0,,,,,,,,,,,,,TIMEOUT_RESOURCE_LIMIT
STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,8192,RESOURCE_LIMIT_OOM,0,,,,,,,,,,,,,RESOURCE_LIMIT_OOM
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,PASS,200,1.9178600000000001,1.9088088875,1.9300736375,2.1051984999999998,2.07433,2.18989,2.5322494999999994,2.145298099999996,2.996,521.4145194484133,518.1149615199995,523.8869169240758,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,64,PASS,150,105.0176195,99.758049,107.68156450000001,132.188061,127.435599,134.07868495,136.9043697,133.01021240999998,138.179199,609.4236485845488,594.345095179535,641.5522420651992,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,256,PASS,100,626.6558415,621.4636915,633.3798165000001,680.02904195,661.90855805,687.30002945,705.3476320999999,680.0440043,711.15122,408.5176986728557,404.1822993518025,411.93120233102434,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1024,PASS,50,3394.4751425,3375.5145725,3421.9111224999997,3497.188846,3466.94246705,3559.2533212,,,,301.66675854959783,299.24804805835925,303.3613952680747,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,8192,TIMEOUT_RESOURCE_LIMIT,0,,,,,,,,,,,,,TIMEOUT_RESOURCE_LIMIT
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,1,PASS,200,1.86188,1.84569,1.873990375,2.1142205,2.037995,2.19424,2.2687550099999987,2.1863318002499996,2.414511,537.091543757092,533.6223356748299,541.8027946188146,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,64,PASS,150,80.176624,77.124559,83.20725472499998,98.55976349999999,93.704659,101.95632254999998,105.46197019999997,99.77289729,112.233299,798.2414849525264,769.1655097858186,829.826462929921,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,256,PASS,100,386.0946955,384.450156,391.323711,424.13822605,416.22545799999995,431.459862,437.5523997,424.11754721000005,444.331296,663.0497941258443,654.1898507370661,665.8860609228105,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,1024,PASS,50,2126.8256445,2106.16279,2141.8179695,2193.49449855,2171.344462,2201.12222005,,,,481.4702738085688,478.09903567989096,486.19223778044244,NONE
STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,8192,PASS,20,15011.109631,14766.102933499998,15082.09214,15215.292829850001,15098.71205265,15299.518858,,,,545.7291435038658,543.1610873123855,554.78422152793,NONE
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,PASS,200,1.1218805,1.1145,1.13499,1.3107035999999999,1.26271,1.4116958637499997,1.5579616999999997,1.3590866999999982,2.07718,891.3605384061377,881.0653476682274,897.263349392816,NONE
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,64,PASS,150,6.427255000000001,6.343841,6.523625,8.048948999999999,7.72532,8.6291845,9.145757489999996,8.1618482,11.25417,9957.622531756499,9810.496474459971,10088.525232583856,NONE
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,256,PASS,100,17.011844500000002,16.896821125,17.12349,17.80770195,17.689025,18.121039,18.158578700000003,17.798680290000004,18.73562,15048.34140103248,14950.245556120335,15150.807489626444,NONE
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1024,PASS,50,60.1963935,59.653869,60.70085400000001,64.777233,61.717869,68.025638,,,,17011.026970775467,16869.614396368408,17165.69297458309,NONE
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,8192,PASS,20,440.7160255,438.05654549999997,442.474455,463.294661,443.10159600000003,473.108845,,,,18587.949130377237,18514.06314518202,18700.851775752664,NONE
ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,1,PASS,200,5.9970444999999994,5.99212,6.000947375,6.1775135,6.059533500000001,7.577373499999992,9.9873207,7.177304192499992,10.03502,166.74880460568224,166.64035496932647,166.8858437218747,NONE
