target_id,hardware_mode,batch_size,condition_id,status,median_throughput_flows_per_second,median_amortized_latency_ms_per_flow,throughput_multiplier_vs_B1,amortized_latency_improvement_vs_B1,claim_boundary,uncertainty_propagated
STAGE16_CATBOOST_TUNED,CPU_2_PHYSICAL_CORE,8192,CPUCOND_030,PASS,1093103.8065002223,0.0009148895263671875,250.0316400436473,250.01433878935657,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_1_PHYSICAL_CORE,1,CPUCOND_031,PASS,112.60450582569108,8.88064,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_1_PHYSICAL_CORE,64,CPUCOND_032,PASS,183.2539686336733,5.456911039062501,1.627412396066511,1.6274115404171399,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_1_PHYSICAL_CORE,256,CPUCOND_033,PASS,148.3588442472987,6.74042155859375,1.3175213829982473,1.317519968565996,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_1_PHYSICAL_CORE,1024,CPUCOND_034,PASS,127.7693591617391,7.826604189453125,1.1346735925427605,1.1346734528835964,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_1_PHYSICAL_CORE,8192,CPUCOND_035,TIMEOUT_RESOURCE_LIMIT,,,,,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_2_PHYSICAL_CORE,1,CPUCOND_036,PASS,116.9673502518223,8.549405,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_2_PHYSICAL_CORE,64,CPUCOND_037,PASS,258.2733728090253,3.8718675546875003,2.2080809067913507,2.2080830191749743,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_2_PHYSICAL_CORE,256,CPUCOND_038,PASS,276.91302687464923,3.6112421718750003,2.3674386594077355,2.367441615127419,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_2_PHYSICAL_CORE,1024,CPUCOND_039,PASS,217.597014893922,4.595672200195312,1.8603226834279076,1.8603165385983484,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,CPU_2_PHYSICAL_CORE,8192,CPUCOND_040,TIMEOUT_RESOURCE_LIMIT,,,,,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_1_PHYSICAL_CORE,1,CPUCOND_041,PASS,132.03665745731684,7.5736545,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_1_PHYSICAL_CORE,64,CPUCOND_042,PASS,59.19321350856008,16.893828859375,0.4483089366882475,0.448308939497579,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_1_PHYSICAL_CORE,256,CPUCOND_043,PASS,55.88540974266916,17.89375808984375,0.4232567744358047,0.4232567838445688,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_1_PHYSICAL_CORE,1024,CPUCOND_044,TIMEOUT_RESOURCE_LIMIT,,,,,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_1_PHYSICAL_CORE,8192,CPUCOND_045,RESOURCE_LIMIT_OOM,,,,,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_2_PHYSICAL_CORE,1,CPUCOND_046,PASS,113.95265342023463,8.7756045,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_2_PHYSICAL_CORE,64,CPUCOND_047,PASS,97.18693788054995,10.28945075,0.8528712141712395,0.8528739495643147,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_2_PHYSICAL_CORE,256,CPUCOND_048,PASS,89.97138566395915,11.114645333984374,0.7895505981081692,0.7895532638515713,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_2_PHYSICAL_CORE,1024,CPUCOND_049,TIMEOUT_RESOURCE_LIMIT,,,,,INFERENCE_COMPONENT_ONLY,False
STAGE20_MASKED_CNN_V1,CPU_2_PHYSICAL_CORE,8192,CPUCOND_050,RESOURCE_LIMIT_OOM,,,,,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_1_PHYSICAL_CORE,1,CPUCOND_051,PASS,521.4145194484133,1.9178600000000001,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_1_PHYSICAL_CORE,64,CPUCOND_052,PASS,609.4236485845488,1.6409003046875,1.1687891799201091,1.1687852056101882,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_1_PHYSICAL_CORE,256,CPUCOND_053,PASS,408.5176986728557,2.447874380859375,0.7834797141917197,0.7834797467534659,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_1_PHYSICAL_CORE,1024,CPUCOND_054,PASS,301.66675854959783,3.314917131347656,0.5785545804683783,0.5785544325870697,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_1_PHYSICAL_CORE,8192,CPUCOND_055,TIMEOUT_RESOURCE_LIMIT,,,,,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_2_PHYSICAL_CORE,1,CPUCOND_056,PASS,537.091543757092,1.86188,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_2_PHYSICAL_CORE,64,CPUCOND_057,PASS,798.2414849525264,1.25275975,1.4862298508157923,1.486222717484338,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_2_PHYSICAL_CORE,256,CPUCOND_058,PASS,663.0497941258443,1.508182404296875,1.234519146377994,1.2345191103512583,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_2_PHYSICAL_CORE,1024,CPUCOND_059,PASS,481.4702738085688,2.0769781684570314,0.8964398702697154,0.8964369622542417,INFERENCE_COMPONENT_ONLY,False
STAGE21_MASKED_VIT_V1,CPU_2_PHYSICAL_CORE,8192,CPUCOND_060,PASS,545.7291435038658,1.8324108436279296,1.016082174160389,1.0160821774628475,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_1_PHYSICAL_CORE,1,CPUCOND_061,PASS,891.3605384061377,1.1218805,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_1_PHYSICAL_CORE,64,CPUCOND_062,PASS,9957.622531756499,0.10042585937500001,11.171262472042965,11.1712312643578,INFERENCE_COMPONENT_ONLY,False
