seed,epoch,train_weighted_bce,validation_pr_auc,validation_roc_auc,improved,patience_counter,epoch_seconds
7,1,1.0475615575645796,0.11780194272653449,0.14548660621631845,True,0,22.187103509902954
7,2,5.117515503653485,0.2414192353081565,0.6572915908279107,True,0,21.4602108001709
7,3,3.0747573672094344,0.7411339621756026,0.958228665977135,True,0,21.35928177833557
7,4,0.5039715183287824,0.9770569717539633,0.9959308209979364,True,0,21.411438941955566
7,5,0.022585098931267786,0.9893156198567619,0.9980827190058705,True,0,21.321031093597412
7,6,0.0009463519666461317,0.9897030823743767,0.9982035869936492,True,0,21.3268826007843
7,7,0.0005586479364840854,0.9898614265351052,0.9982677678962983,True,0,21.233449459075928
7,8,0.00035951452464601117,0.98961638835552,0.9982357451555145,False,1,21.277683973312378
7,9,0.00028322424613051636,0.9895873222797889,0.9982393229250776,False,2,21.146345376968384
7,10,0.00021891798854588174,0.9895166834040687,0.998242632687692,False,3,21.20983052253723
7,11,0.0001864375743414959,0.9895047907388914,0.9982440821809236,False,4,21.207733154296875
29,1,0.9690765828148011,0.11120488356831261,0.0690213674899911,True,0,21.240718364715576
29,2,4.354095397638563,0.12338735490368181,0.21124776362230885,True,0,21.179548978805542
29,3,3.488425296971218,0.2537838274269162,0.67113988819169,True,0,21.212269067764282
29,4,0.4180587875476512,0.8214509126616782,0.9686675953284339,True,0,21.180758714675903
29,5,0.013203099097364314,0.9715293111428098,0.9954781679663941,True,0,21.199670791625977
29,6,0.000725837815333338,0.9740405281631099,0.9958512539657345,True,0,21.265129327774048
29,7,0.0004579396415611513,0.9756958018637528,0.9960982632872334,True,0,21.203293561935425
29,8,0.0003457765361690155,0.9771639308258586,0.9963207862807283,True,0,21.18046998977661
29,9,0.00026390756923572205,0.9781719862700248,0.9964668754248652,True,0,21.214712142944336
29,10,0.00021766162493359154,0.9793562771037482,0.9966560346167102,True,0,21.210068702697754
29,11,0.00018481954851647995,0.9806036680591742,0.9968539274089857,True,0,21.172965049743652
29,12,0.00015307189130281474,0.9810437583860349,0.9969224248460697,True,0,21.164052724838257
29,13,0.0001312829834684308,0.9818469646578912,0.9970528504513073,True,0,21.26909852027893
29,14,0.0001173276583706486,0.9824080831658405,0.9971447454983617,True,0,21.173197031021118
29,15,9.917216021396504e-05,0.9826152834963126,0.997179247353881,True,0,21.198679208755493
29,16,9.240338890812084e-05,0.9832028912211813,0.9972744706554294,True,0,21.187875032424927
29,17,8.392286747998218e-05,0.9836976422982807,0.9973592062593511,True,0,21.2021803855896
29,18,8.170131817519673e-05,0.9844338964466395,0.997479857461644,True,0,21.217397212982178
29,19,7.367772447571823e-05,0.9848391876855066,0.9975471100996692,True,0,21.170398473739624
29,20,6.736026451677705e-05,0.9852343921879876,0.9976111298658614,True,0,21.291093111038208
101,1,1.0654069330214322,0.14829010479294105,0.3580255569973969,True,0,21.190722942352295
101,2,4.577010936774264,0.27896218729048927,0.7186141879242732,True,0,21.222578048706055
101,3,3.6362646049422676,0.6998227626284061,0.9553513895829189,True,0,21.229305028915405
101,4,0.5914679366492667,0.9702053297838551,0.9959257459530518,True,0,21.34315252304077
101,5,0.04340299620175339,0.9763562013275432,0.9976486577106566,True,0,21.208515405654907
101,6,0.0017952090742853432,0.9749291224221497,0.997394145317571,False,1,21.1913959980011
101,7,0.0005539747307879134,0.9736540716008354,0.9971130300619717,False,2,21.136978149414062
101,8,0.0003928859286194224,0.9722076762757609,0.9968998135859639,False,3,21.125200271606445
101,9,0.00029767434997554653,0.971323637496591,0.9967603720381106,False,4,21.165669679641724
