Model,Outcome,Cases,Decision agreement,Median local R2,Median fidelity gap,SHAP–LIME top-10 Jaccard,Absolute attribution cosine,Signed attribution cosine,Qualified,Decision mismatches
LightGBM,FN,8,0.0,0.2843694013203864,0.2594347132665727,0.308531746031746,0.6964215810174116,0.3635069303890753,0,8
LightGBM,FP,8,1.0,0.3838732864134653,0.1182950151449035,0.3249815952021834,0.5383270896436281,0.029812953109135,1,0
LightGBM,TN,8,0.25,0.2941425874542598,0.283481598680144,0.2733942936148818,0.571964070756343,0.3514904478809426,0,6
LightGBM,TP,8,0.875,0.3890165842941873,0.5525432731888305,0.3154761904761904,0.8123888257899401,-0.2208586389534808,1,1
XGBoost,FN,8,1.0,0.1828613138228722,0.1838478782241682,0.2770191409897292,0.5277325792480206,0.1623685424207041,0,0
XGBoost,FP,8,0.0,0.2556410279944233,0.2367530945596062,0.2824754901960784,0.5587555036766554,0.2440017624722893,0,8
XGBoost,TN,8,1.0,0.1857455316925533,0.1776542674612962,0.271147561588738,0.4690421752316819,0.2328975109125531,0,0
XGBoost,TP,8,0.0,0.2591986347954344,0.5742903705056095,0.2512254901960784,0.7385771278678636,-0.0300663931685075,0,8
