Rank,Configuration,Decision agreement,Mean local R2,Median local R2,Minimum local R2,Median fidelity gap,P90 fidelity gap,Maximum fidelity gap
1,continuous_wide_10k,0.875,0.2692737941958159,0.2801647400783644,0.0917218085654311,0.1417284305816041,0.3572327388223608,0.4671734426912921
2,continuous_local_10k,0.875,0.2689192726486198,0.2789598028993045,0.0917121669922622,0.1418167707033293,0.3574436348069378,0.4671735919403293
3,continuous_narrow_10k,0.875,0.2682372151256533,0.2756494840477362,0.0916288066226876,0.1420098396495306,0.3579211346997092,0.4670326601129587
4,quartile_local_10k,0.625,0.2185162891085568,0.2126244481186903,0.1569803710935222,0.1614449602338363,0.3825571061507589,0.6059629048213129
5,baseline_quartile_5k,0.7083333333333334,0.2198186442594252,0.2040500801982791,0.1484646483060152,0.1666025373274867,0.4478002157159071,0.5603302790080054
6,decile_local_10k,0.5833333333333334,0.1554934069252695,0.1450059043906194,0.0935409231216068,0.2001660913230376,0.4045717288869759,0.4908643640959791
