Model,Feature,Selections,Selection frequency,Unique cases,Mean absolute weight,Mean signed weight,Mean rank
LightGBM,Init Fwd Win Byts,60,1.0,12,0.1103145171496155,-0.1103145171496155,1.3
LightGBM,Fwd Pkts/s,59,0.9833333333333332,12,0.023743938137509,0.023743938137509,5.186440677966102
LightGBM,ECE Flag Cnt,52,0.8666666666666667,12,0.0258497238443802,0.0258479336468634,5.269230769230769
LightGBM,Fwd Pkt Len Max,49,0.8166666666666667,10,0.0518850529038878,-0.0518850529038878,4.530612244897959
LightGBM,Dst Port,49,0.8166666666666667,11,0.0264419821706812,0.0028990130220544,5.204081632653061
LightGBM,RST Flag Cnt,46,0.7666666666666667,11,0.0210805580249092,0.0210805580249092,6.260869565217392
LightGBM,Pkt Size Avg,42,0.7,11,0.0085010786106867,0.007218652069721,10.80952380952381
LightGBM,Fwd Seg Size Min,36,0.6,8,0.0484994173055591,0.0484994173055591,6.166666666666667
LightGBM,Flow IAT Max,36,0.6,10,0.0236967604394076,-0.023564190839536,5.916666666666667
LightGBM,Bwd Pkt Len Mean,34,0.5666666666666667,9,0.0093641921842476,0.0091614885723273,11.088235294117649
XGBoost,Init Fwd Win Byts,60,1.0,12,0.0568966021635046,-0.0568966021635046,2.45
XGBoost,Fwd Pkt Len Max,52,0.8666666666666667,11,0.0262839574941128,-0.0262839574941128,7.076923076923077
XGBoost,Pkt Size Avg,51,0.85,11,0.0175723920560439,0.0159901939601752,8.333333333333334
XGBoost,Bwd Pkt Len Max,50,0.8333333333333334,10,0.024293175733398,-0.024293175733398,5.8
XGBoost,Dst Port,45,0.75,10,0.0295635519611684,0.0057775574843746,4.266666666666667
XGBoost,Fwd Seg Size Min,36,0.6,8,0.0341686277212325,0.0341686277212325,6.111111111111111
XGBoost,Flow IAT Std,32,0.5333333333333333,7,0.0262602604577878,-0.0262602604577878,4.78125
XGBoost,Pkt Len Std,32,0.5333333333333333,8,0.0056733904626732,-0.000196400268241,12.625
XGBoost,Fwd IAT Std,30,0.5,9,0.0159963314518007,0.0151983735074588,7.766666666666667
XGBoost,Fwd IAT Tot,30,0.5,6,0.0159360266734109,0.0159360266734109,7.133333333333334
