Case,Model,Outcome,Traffic class,Models disagree,Attack probability,Local R2,Fidelity gap,Top-10 Jaccard,Absolute cosine,Signed cosine
LIGHTGBM_FP_01,LightGBM,FP,Benign,True,0.2601407421303954,0.3858244760425479,0.0347331213084017,0.4285714285714285,0.6411995127271322,-0.2777597189034878
LIGHTGBM_TP_01,LightGBM,TP,Infilteration,True,0.2601225640627319,0.3866601334756228,0.0444241598351213,0.4285714285714285,0.5648863586119246,-0.3217321161546294
