run_id,candidate_id,seed,threshold,accuracy,precision,recall,f1,f2,fpr,fnr,true_negative,false_positive,false_negative,true_positive
FT_BALANCED_seed_7,FT_BALANCED,7,0.05,0.6007400555041628,0.41431122845162294,0.9980359147025814,0.5855465320456541,0.7786323040102737,0.5557602328408798,0.001964085297418631,12058,15085,21,10671
FT_BALANCED_seed_7,FT_BALANCED,7,0.055,0.603938152504295,0.4162210686546193,0.9973812196034418,0.5873378679811638,0.779657547266373,0.5510444681870096,0.002618780396558174,12186,14957,28,10664
FT_BALANCED_seed_7,FT_BALANCED,7,0.06,0.6058675829258623,0.41740389884913487,0.9972876917321362,0.5884982614934599,0.7804403197002079,0.5483181667464908,0.002712308267863823,12260,14883,29,10663
FT_BALANCED_seed_7,FT_BALANCED,7,0.065,0.6086163605127527,0.4191101328511909,0.9972876917321362,0.5901920628770687,0.7816302594927429,0.5444866079652212,0.002712308267863823,12364,14779,29,10663
FT_BALANCED_seed_7,FT_BALANCED,7,0.06999999999999999,0.612607374124488,0.42157522053878715,0.9967265245043023,0.592532873703817,0.783061707349332,0.5387024278819585,0.0032734754956977178,12521,14622,35,10657
FT_BALANCED_seed_7,FT_BALANCED,7,0.07499999999999998,0.614483943438615,0.4227503570861768,0.996539468761691,0.5936594606641408,0.7837786147237097,0.5360129683527981,0.003460531238309016,12594,14549,37,10655
FT_BALANCED_seed_7,FT_BALANCED,7,0.07999999999999999,0.6159111933395005,0.4236519802767616,0.9964459408903853,0.59453125,0.7843512574356558,0.5339866632280883,0.003554059109614665,12649,14494,38,10654
FT_BALANCED_seed_7,FT_BALANCED,7,0.08499999999999999,0.6172327210255055,0.4244839403841556,0.996258885147774,0.5953166042586486,0.7848280333618226,0.5320708838374535,0.0037411148522259632,12701,14442,40,10652
FT_BALANCED_seed_7,FT_BALANCED,7,0.08999999999999998,0.6183163737280296,0.42517264779849107,0.9961653572764684,0.5959768346249614,0.7852519205532373,0.5305235235604023,0.0038346427235316123,12743,14400,41,10651
FT_BALANCED_seed_7,FT_BALANCED,7,0.09499999999999997,0.6193207347693934,0.4258126424373276,0.9960718294051627,0.5965885219729434,0.7856415703979108,0.5290866890174262,0.003928170594837262,12782,14361,42,10650
FT_BALANCED_seed_7,FT_BALANCED,7,0.09999999999999998,0.6200607902735562,0.4262898771164392,0.9960718294051627,0.5970567624386826,0.785966258800608,0.5280551154993921,0.003928170594837262,12810,14333,42,10650
