bridge,operating_point,threshold,tp,tn,fp,fn,precision,recall,f1,f2,fpr,fnr
bridge62,STANDARD,0.5,24,530728,796,62232,0.02926829268292683,0.00038550501156515033,0.0007609867461475046,0.0004802997070171787,0.0014975805419886966,0.9996144949884348
bridge62,BALANCED,0.17000000178813934,38,530458,1066,62218,0.034420289855072464,0.0006103829349781547,0.0011994949494949494,0.0007596110791274868,0.0020055538414069734,0.9993896170650218
bridge62,SECURITY,0.05000000074505806,84,529914,1610,62172,0.049586776859504134,0.0013492675404780262,0.002627052384675528,0.00167518885760097,0.0030290259706052783,0.998650732459522
bridge70,STANDARD,0.5,24,530812,712,62232,0.03260869565217391,0.00038550501156515033,0.000762001524003048,0.0004804612427930814,0.0013395444043918995,0.9996144949884348
bridge70,BALANCED,0.18000000715255737,38,530481,1043,62218,0.03515263644773358,0.0006103829349781547,0.0011999305303377172,0.0007596809340077168,0.001962282041826898,0.9993896170650218
bridge70,SECURITY,0.05000000074505806,51,530194,1330,62205,0.036929761042722664,0.0008191981495759444,0.0016028411144459985,0.0010183502725584553,0.002502238845282621,0.999180801850424
