baseline_id,baseline_display,baseline_count,model,model_display,mean_attack_probability,minimum_attack_probability,maximum_attack_probability,mean_attack_logit,minimum_attack_logit,maximum_attack_logit
zero_scaled,Zero standardized vector / overall training mean,1,mlp,MLP,0.9305940270423889,0.9305940270423889,0.9305940270423889,2.5958499908447266,2.5958499908447266,2.5958499908447266
zero_scaled,Zero standardized vector / overall training mean,1,cnn,CNN,1.7336470037321305e-09,1.7336470037321305e-09,1.7336470037321305e-09,-20.173038482666016,-20.173038482666016,-20.173038482666016
benign_median,Feature-wise benign training median,1,mlp,MLP,0.03866760432720184,0.03866760432720184,0.03866760432720184,-3.213318109512329,-3.213318109512329,-3.213318109512329
benign_median,Feature-wise benign training median,1,cnn,CNN,0.045085515826940536,0.045085515826940536,0.045085515826940536,-3.05306077003479,-3.05306077003479,-3.05306077003479
benign_reference_32,Thirty-two deterministic benign training references,32,mlp,MLP,0.06072540403447135,5.101361693959916e-06,0.26347869634628296,-5.404723573476076,-12.18599796295166,-1.0279656648635864
benign_reference_32,Thirty-two deterministic benign training references,32,cnn,CNN,0.06062055430015789,1.425816117262002e-05,0.33780986070632935,-5.219524288550019,-11.158166885375977,-0.6730696558952332
