model,model_display,feature_index,feature_name,stable_top10_case_count,mean_absolute_attribution,mean_attribution,positive_case_fraction,mean_reference_sign_consistency,scope,selected_outcome,available_case_count,stable_top10_case_rate,dominant_direction
mlp,MLP,7,Fwd Pkt Len Max,5,2.2352439265536233,2.2352439265536233,1.0,0.8,Model and outcome,FP,8,0.625,Predominantly increases attack logit
mlp,MLP,54,Fwd Seg Size Avg,4,1.4284744826184619,-1.4284744826184619,0.0,0.796875,Model and outcome,FP,8,0.5,Predominantly decreases attack logit
mlp,MLP,11,Bwd Pkt Len Max,4,1.0757728259234396,1.0757728259234396,1.0,0.75,Model and outcome,FP,8,0.5,Predominantly increases attack logit
mlp,MLP,40,Pkt Len Max,4,1.0097425795317845,1.0097425795317845,1.0,0.796875,Model and outcome,FP,8,0.5,Predominantly increases attack logit
mlp,MLP,33,Fwd URG Flags,2,3.1246530448439174,3.1246530448439174,1.0,1.0,Model and outcome,FP,8,0.25,Predominantly increases attack logit
mlp,MLP,50,CWE Flag Count,2,2.2990012228183287,2.2990012228183287,1.0,0.96875,Model and outcome,FP,8,0.25,Predominantly increases attack logit
mlp,MLP,41,Pkt Len Mean,2,1.161409604357409,1.161409604357409,1.0,0.8125,Model and outcome,FP,8,0.25,Predominantly increases attack logit
mlp,MLP,40,Pkt Len Max,4,0.7334450687978448,0.12808524914343733,0.75,0.8359375,Model and outcome,TN,8,0.5,Predominantly increases attack logit
mlp,MLP,11,Bwd Pkt Len Max,3,0.7389285441782429,0.006680249209465305,0.6666666666666666,0.8020833333333334,Model and outcome,TN,8,0.375,Direction varies across cases
mlp,MLP,7,Fwd Pkt Len Max,2,1.8754575127274298,-0.49863914463878156,0.5,0.765625,Model and outcome,TN,8,0.25,Direction varies across cases
mlp,MLP,54,Fwd Seg Size Avg,2,0.6349180388244755,-0.6349180388244755,0.0,0.78125,Model and outcome,TN,8,0.25,Predominantly decreases attack logit
mlp,MLP,74,Idle Mean,2,0.3718165325977483,-0.3718165325977483,0.0,0.75,Model and outcome,TN,8,0.25,Predominantly decreases attack logit
mlp,MLP,7,Fwd Pkt Len Max,6,4.192982298791161,4.192982298791161,1.0,0.8020833333333334,Model and outcome,TP,8,0.75,Predominantly increases attack logit
mlp,MLP,69,Fwd Seg Size Min,5,10.706996037402956,10.706996037402956,1.0,0.96875,Model and outcome,TP,8,0.625,Predominantly increases attack logit
mlp,MLP,54,Fwd Seg Size Avg,5,2.951312238800728,-2.951312238800728,0.0,0.8,Model and outcome,TP,8,0.625,Predominantly decreases attack logit
mlp,MLP,66,Init Fwd Win Byts,4,5.6482834885004145,5.6482834885004145,1.0,1.0,Model and outcome,TP,8,0.5,Predominantly increases attack logit
mlp,MLP,11,Bwd Pkt Len Max,4,1.9080330204841347,0.32780998195391464,0.75,0.75,Model and outcome,TP,8,0.5,Predominantly increases attack logit
mlp,MLP,41,Pkt Len Mean,4,1.3620842363389918,0.5904746118597002,0.75,0.796875,Model and outcome,TP,8,0.5,Predominantly increases attack logit
mlp,MLP,38,Bwd Pkts/s,3,8.389596410400108,8.389596410400108,1.0,1.0,Model and outcome,TP,8,0.375,Predominantly increases attack logit
mlp,MLP,37,Fwd Pkts/s,3,4.356301475439391,-4.356301475439391,0.0,1.0,Model and outcome,TP,8,0.375,Predominantly decreases attack logit
mlp,MLP,40,Pkt Len Max,3,1.2563823576010884,1.2563823576010884,1.0,0.7916666666666666,Model and outcome,TP,8,0.375,Predominantly increases attack logit
mlp,MLP,0,Dst Port,2,3.2538526240722736,3.2538526240722736,1.0,0.96875,Model and outcome,TP,8,0.25,Predominantly increases attack logit
