model,model_display,selected_outcome,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,outcome_absolute_rank
cnn,CNN,FN,77,Idle Min,8,-0.015017068644881247,0.06733518852686442,0.04870578540990789,0.20927247952793268,0,0.0,0.125,0.76953125,39
cnn,CNN,FN,74,Idle Mean,8,0.015169440935734952,0.05838699064235707,0.015894333871574125,0.29295207508812254,0,0.0,0.25,0.76171875,40
cnn,CNN,FN,27,Bwd IAT Mean,8,0.01742700081806775,0.055186885222240606,0.04176448931173241,0.14988508018342248,0,0.0,0.75,0.66015625,41
cnn,CNN,FN,39,Pkt Len Min,8,0.015696979523360865,0.0395748803864336,0.025374962482833115,0.11752130406025435,0,0.0,0.5,0.81640625,42
cnn,CNN,FN,76,Idle Max,8,-0.018931522352783878,0.03830383714878524,0.04002442983241669,0.07192262940602914,0,0.0,0.25,0.73828125,43
cnn,CNN,FN,43,Pkt Len Var,8,0.015134985086978548,0.03592312556024798,0.03473906772128192,0.07963516163767116,0,0.0,0.5,0.7265625,44
cnn,CNN,FN,37,Fwd Pkts/s,8,-0.002021574661518484,0.026663726932172102,0.013666735477754696,0.11120471180299107,0,0.0,0.625,0.71875,45
cnn,CNN,FN,36,Bwd Header Len,8,0.004875814995044938,0.026167086601692497,0.02133889853775489,0.09352903662668655,0,0.0,0.375,0.75390625,46
cnn,CNN,FN,28,Bwd IAT Std,8,0.015309247223676587,0.026125509825881306,0.022141568513250894,0.06077732271006036,0,0.0,0.875,0.578125,47
cnn,CNN,FN,4,Tot Bwd Pkts,8,0.0032778186356062825,0.01679396203399275,0.01074197074994688,0.050974084638487814,0,0.0,0.75,0.6171875,48
cnn,CNN,FN,16,Flow Pkts/s,8,0.011325218768460635,0.01669515736534582,0.012053971096159164,0.0558119234433187,0,0.0,0.75,0.70703125,49
cnn,CNN,FN,72,Active Max,8,-0.015095076616403556,0.015095076616403556,0.014299208846856747,0.02330434713135297,0,0.0,0.0,0.84375,50
cnn,CNN,FN,15,Flow Byts/s,8,-0.010331823885272018,0.013319541818057033,0.01148575841934661,0.0274386824460682,0,0.0,0.125,0.69921875,51
cnn,CNN,FN,64,Subflow Bwd Pkts,8,0.0076938045582584744,0.013067429204767736,0.008011667189247215,0.041165957878874664,0,0.0,0.5,0.64453125,52
cnn,CNN,FN,71,Active Std,8,-0.008862149774360216,0.008862149774360216,0.005820952227899058,0.029959263971342624,0,0.0,0.0,0.8359375,53
cnn,CNN,FN,38,Bwd Pkts/s,8,0.005450648923417955,0.0073618992565753355,0.004777080398933466,0.027796906640722204,0,0.0,0.75,0.58203125,54
cnn,CNN,FN,75,Idle Std,8,-0.006063795159384595,0.006084573572682544,0.0003838954469454293,0.04625723827721131,0,0.0,0.125,0.8125,55
cnn,CNN,FN,65,Subflow Bwd Byts,8,0.002500770996689201,0.005512454682655711,0.005588275751700584,0.01121649352888285,0,0.0,0.75,0.60546875,56
cnn,CNN,FN,70,Active Mean,8,0.0035717761967428417,0.004021964887707624,0.0036438097754272493,0.007175854431766677,0,0.0,0.75,0.84765625,57
cnn,CNN,FN,6,TotLen Bwd Pkts,8,-0.0014631642907698074,0.0038225968430502496,0.0041130714821661,0.00797378068065556,0,0.0,0.25,0.65625,58
cnn,CNN,FN,30,Bwd IAT Min,8,-0.0006180264934055024,0.002502267636059095,0.0014853842207662683,0.010743491572910888,0,0.0,0.75,0.609375,59
cnn,CNN,FN,73,Active Min,8,-0.0005205981059640016,0.0013169360279905956,0.0005987205891334064,0.007350136535818389,0,0.0,0.875,0.8515625,60
cnn,CNN,FN,63,Subflow Fwd Byts,8,-0.000486258423176735,0.0007050853344444559,0.0005555886782969296,0.0026623077958720827,0,0.0,0.125,0.72265625,61
cnn,CNN,FN,5,TotLen Fwd Pkts,8,-3.9273323435850735e-05,0.0003547603245506676,0.00020979864678325697,0.0010056273213384266,0,0.0,0.375,0.6015625,62
