model,model_display,case_id,baseline_id,baseline_display,integration_steps,reference_steps,signed_cosine_to_reference,absolute_cosine_to_reference,top10_jaccard_to_reference,maximum_absolute_attribution_difference,mean_absolute_attribution_difference
mlp,MLP,NEURAL_DISAGREE_09,benign_median,Benign training median,32,128,0.9999552138914913,0.9999552138914913,1.0,0.04744971942926046,0.001896653683463047
mlp,MLP,NEURAL_DISAGREE_09,benign_median,Benign training median,64,128,0.9999773257966083,0.9999773257966083,1.0,0.032084914589204594,0.001012190883128221
mlp,MLP,NEURAL_DISAGREE_09,benign_median,Benign training median,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_09,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999887073442861,0.9999887097790208,1.0,0.021915055527241156,0.0017727236593834722
mlp,MLP,NEURAL_DISAGREE_09,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999984619754713,0.9999984629529852,1.0,0.006938873609119378,0.0008476929611968351
mlp,MLP,NEURAL_DISAGREE_09,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999997463222098,0.9999997466657167,1.0,0.003110988721355179,0.0002458203849272043
mlp,MLP,NEURAL_DISAGREE_09,benign_reference_32,Mean IG over 32 benign training references,128,128,0.9999999999999998,0.9999999999999998,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_10,zero_scaled,Zero standardized vector,16,128,0.998812073863748,0.9988122281817922,1.0,0.7073156932795435,0.026347192439471027
mlp,MLP,NEURAL_DISAGREE_10,zero_scaled,Zero standardized vector,32,128,0.9998276296462527,0.9998278733677504,1.0,0.2274173805465538,0.010441483132470446
mlp,MLP,NEURAL_DISAGREE_10,zero_scaled,Zero standardized vector,64,128,0.9999193151772782,0.9999193151772782,1.0,0.16645234806733455,0.007101039362115988
mlp,MLP,NEURAL_DISAGREE_10,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_10,benign_median,Benign training median,16,128,0.999759261121317,0.999759261121317,1.0,0.05798811140776294,0.004086304677702789
mlp,MLP,NEURAL_DISAGREE_10,benign_median,Benign training median,32,128,0.9999647875024421,0.9999647875024421,1.0,0.03629971182615632,0.0013977504148211433
mlp,MLP,NEURAL_DISAGREE_10,benign_median,Benign training median,64,128,0.9999962793764227,0.9999962793764227,1.0,0.014970922851519575,0.0008911346307823028
mlp,MLP,NEURAL_DISAGREE_10,benign_median,Benign training median,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_10,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999943957850089,0.9999943957850089,1.0,0.01902365841759268,0.0019111484969059078
mlp,MLP,NEURAL_DISAGREE_10,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999985331985514,0.9999985331985514,1.0,0.006702873194447179,0.0008358343325887585
mlp,MLP,NEURAL_DISAGREE_10,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999995745705558,0.9999995745705558,1.0,0.0032426971270247407,0.0003091264307937215
mlp,MLP,NEURAL_DISAGREE_10,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0,1.0,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_11,zero_scaled,Zero standardized vector,16,128,0.9997391038563568,0.9997392180355174,1.0,0.08064620952126766,0.00993422313006879
mlp,MLP,NEURAL_DISAGREE_11,zero_scaled,Zero standardized vector,32,128,0.9999662829678344,0.9999663462917072,1.0,0.024841665676454558,0.004042347634968307
mlp,MLP,NEURAL_DISAGREE_11,zero_scaled,Zero standardized vector,64,128,0.9999928727041612,0.9999928727041612,1.0,0.011828618527366525,0.001538478747880097
mlp,MLP,NEURAL_DISAGREE_11,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_11,benign_median,Benign training median,16,128,0.9998246664077941,0.9998246664077941,1.0,0.011579491074177772,0.000651271934071749
mlp,MLP,NEURAL_DISAGREE_11,benign_median,Benign training median,32,128,0.999953488584447,0.999953488584447,1.0,0.006046311856451936,0.0003207416535983272
mlp,MLP,NEURAL_DISAGREE_11,benign_median,Benign training median,64,128,0.9999957069029739,0.9999957069029739,1.0,0.003071248197838994,0.00014979117622606575
mlp,MLP,NEURAL_DISAGREE_11,benign_median,Benign training median,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_11,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999297571102506,0.9999297571102506,1.0,0.022662807482744574,0.0017821457341681214
mlp,MLP,NEURAL_DISAGREE_11,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999938961450627,0.9999938961450627,1.0,0.003928249203756895,0.0006387807978995521
mlp,MLP,NEURAL_DISAGREE_11,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999981264849372,0.9999981264849372,1.0,0.002436771509453539,0.00033681810731610594
mlp,MLP,NEURAL_DISAGREE_11,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_12,zero_scaled,Zero standardized vector,16,128,0.9986281428608081,0.9986281428608081,1.0,0.6776564966927339,0.025755617895149883
mlp,MLP,NEURAL_DISAGREE_12,zero_scaled,Zero standardized vector,32,128,0.9998351927015701,0.9998351927015701,1.0,0.19995471648444574,0.009981410119370164
mlp,MLP,NEURAL_DISAGREE_12,zero_scaled,Zero standardized vector,64,128,0.9999626785031593,0.9999626785031593,1.0,0.11483337813010053,0.004563301097603631
mlp,MLP,NEURAL_DISAGREE_12,zero_scaled,Zero standardized vector,128,128,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_12,benign_median,Benign training median,16,128,0.9998176864690405,0.9998176864690405,1.0,0.08318079699750003,0.002600638093852561
mlp,MLP,NEURAL_DISAGREE_12,benign_median,Benign training median,32,128,0.9999883550674696,0.9999883550674696,1.0,0.022303761685959378,0.0008322478278521917
mlp,MLP,NEURAL_DISAGREE_12,benign_median,Benign training median,64,128,0.9999930608700797,0.9999930608700797,1.0,0.02362386159288965,0.0007919259632745387
mlp,MLP,NEURAL_DISAGREE_12,benign_median,Benign training median,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
mlp,MLP,NEURAL_DISAGREE_12,benign_reference_32,Mean IG over 32 benign training references,16,128,0.999989689718513,0.999989689718513,1.0,0.022138854799039986,0.0020063104230114656
mlp,MLP,NEURAL_DISAGREE_12,benign_reference_32,Mean IG over 32 benign training references,32,128,0.999998496250051,0.999998496250051,1.0,0.004567274050668257,0.0006049246828124711
mlp,MLP,NEURAL_DISAGREE_12,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999994924639314,0.9999994924639314,1.0,0.007455304868960511,0.0003972590422471057
mlp,MLP,NEURAL_DISAGREE_12,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,16,128,0.999931644961332,0.999931644961332,1.0,0.24150632412798068,0.015500421486515684
cnn,CNN,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,32,128,0.9999945820166138,0.9999945820166138,1.0,0.04599462432792478,0.003550834288941863
cnn,CNN,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,64,128,0.9999991812104866,0.9999991812104866,1.0,0.08037795008657689,0.005221016961552434
cnn,CNN,NEURAL_DISAGREE_01,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_01,benign_median,Benign training median,16,128,0.999967375160514,0.9999673757325938,1.0,0.12510931787386959,0.010621081653967756
cnn,CNN,NEURAL_DISAGREE_01,benign_median,Benign training median,32,128,0.9999833435337668,0.9999833435337668,1.0,0.12220155486211226,0.007685909578715364
cnn,CNN,NEURAL_DISAGREE_01,benign_median,Benign training median,64,128,0.99999794641485,0.99999794641485,1.0,0.034360161021071534,0.0027583531546357823
cnn,CNN,NEURAL_DISAGREE_01,benign_median,Benign training median,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999911840900833,0.9999911840900833,1.0,0.038727632958829084,0.00352489403053477
cnn,CNN,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999954075637325,0.9999954075637325,1.0,0.04293797824309031,0.002247931520723365
cnn,CNN,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999996670819007,0.9999996670819007,1.0,0.009607862798844735,0.0007978327168664384
cnn,CNN,NEURAL_DISAGREE_01,benign_reference_32,Mean IG over 32 benign training references,128,128,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,16,128,0.9998758215140972,0.9998758215140972,1.0,0.11776540383898748,0.0070595116181623235
cnn,CNN,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,32,128,0.9999401891296853,0.9999401891296853,1.0,0.11508170401221118,0.004524063324838334
