model,model_display,selected_outcome,case_count,completeness_pass_rate,mean_absolute_completeness_error,median_absolute_completeness_error,maximum_absolute_completeness_error,mean_normalized_completeness_error,maximum_normalized_completeness_error,mean_attribution_l1_norm,mean_positive_attribution_sum,mean_negative_attribution_sum,mean_top10_absolute_concentration,mean_reference_cosine,minimum_reference_cosine,mean_reference_top10_jaccard,minimum_reference_top10_jaccard,mean_reference_top10_sign_agreement
cnn,CNN,FN,8,1.0,0.004449228754386747,0.002338001034378978,0.014435690633654907,0.0013676785905502086,0.0045154300760543,10.6818093031475,6.810502962340697,-3.8713063408068034,0.6371994934373341,0.49771340412734466,-0.5394806294337458,0.328630061378465,0.0,0.61171875
cnn,CNN,FP,8,1.0,0.009774511835411448,0.007691580802094755,0.025058062371480005,0.0015046498882003165,0.0041242889696347425,18.621738725345814,13.072007370428953,-5.549731354916863,0.6158530199935832,0.6288918034411929,-0.03399235492826756,0.34783685909302686,0.0,0.67578125
cnn,CNN,TN,8,1.0,0.004345359996588555,0.004182664719059925,0.010088308278128899,0.0015880878509332418,0.0044285771785996745,12.178068714181448,6.350812321899357,-5.82725639228209,0.6373233981723341,0.5691755530816462,-0.09576400322578361,0.344450838884735,0.0,0.653125
cnn,CNN,TP,8,1.0,0.004768257686110999,0.004652167851936895,0.009920536640086297,0.0003959260008697032,0.0012340611165083115,28.118838697866895,21.841849806643033,-6.276988891223862,0.6836678310890107,0.6691776936651846,-0.030145671629710876,0.40477788498964484,0.05263157894736842,0.683984375
mlp,MLP,FN,8,1.0,0.001666525319619666,0.0011549967217019397,0.005070277007034774,0.0009146311269264228,0.005070277007034774,8.958610207808757,6.1461860940050075,-2.8124241138037496,0.6474631648037066,0.49194134539458007,-0.41063469552208076,0.2874180769431592,0.0,0.610546875
mlp,MLP,FP,8,1.0,0.003114673483654684,0.0017880657963700308,0.010993791513453033,0.0004634261862197515,0.001843489024873723,19.794088728823425,13.734200407930526,-6.0598883208929,0.7095101490628183,0.6855040351454329,-0.030012246827085844,0.370271654756707,0.05263157894736842,0.684765625
mlp,MLP,TN,8,1.0,0.0015232730675767692,0.0014045596099829805,0.0031072847537050308,0.0003806818961750272,0.0007678078259576375,13.754022080634787,6.6284516588311675,-7.125570421803618,0.619249518747731,0.5122385738942518,-0.5401477396154732,0.3106189365410776,0.0,0.615234375
mlp,MLP,TP,8,1.0,0.003086516432089903,0.003203582167111918,0.006254650265777428,0.00021915863046008356,0.000570534500011542,53.445682691213484,35.60200209267666,-17.84368059853682,0.6443971754802964,0.676582236446005,0.07239772838194111,0.43371592556480326,0.0,0.7359375
