model,model_display,selected_outcome,reference_reliability_class,case_count,mean_reference_cosine,minimum_reference_cosine,mean_top10_jaccard,mean_top10_sign_agreement,negative_cosine_case_count
cnn,CNN,FN,Moderately reference-stable,3,0.5905981802561132,-0.0684991716739901,0.3835045503244032,0.728125,1
cnn,CNN,FN,Reference-sensitive,5,0.4419825384500835,-0.5394806294337458,0.29570536801090197,0.5418749999999999,4
cnn,CNN,FP,Reference-robust,1,0.8560397879695828,0.569559195880189,0.405591804029304,0.890625,0
cnn,CNN,FP,Moderately reference-stable,6,0.6201997622214273,-0.0339923549282675,0.3452931760183114,0.6442708333333332,2
cnn,CNN,FP,Reference-sensitive,1,0.4538960662313969,0.1067084450321674,0.305344012605042,0.65,0
cnn,CNN,TN,Reference-robust,2,0.7184062952882306,0.2146930703220509,0.42457190481087537,0.7625,0
cnn,CNN,TN,Moderately reference-stable,2,0.6115666075228849,-0.0126246320830807,0.34898451409916187,0.659375,1
cnn,CNN,TN,Reference-sensitive,4,0.4733646547577346,-0.0957640032257836,0.30212346831445125,0.5953125,1
cnn,CNN,TP,Reference-robust,2,0.7610538057699645,0.1056799817514025,0.47550442816986926,0.7609375,0
cnn,CNN,TP,Moderately reference-stable,5,0.668240557196445,-0.0301456716297108,0.3894430469556244,0.6681250000000001,1
cnn,CNN,TP,Reference-sensitive,1,0.4901111517993229,0.1110731911422219,0.3399989887992983,0.609375,0
mlp,MLP,FN,Moderately reference-stable,2,0.5702347765637479,-0.064930612992488,0.32582738307873754,0.6453125,2
mlp,MLP,FN,Reference-sensitive,6,0.4658435350048575,-0.4106346955220807,0.2746149748979663,0.5989583333333334,5
mlp,MLP,FP,Reference-robust,1,0.9726000412794992,0.7858543650452,0.4178601729153199,0.715625,0
mlp,MLP,FP,Moderately reference-stable,6,0.678495371517271,0.0229257544099439,0.3629247604068617,0.7005208333333334,0
mlp,MLP,FP,Reference-sensitive,1,0.4404600107803378,-0.0300122468270858,0.3667645026971652,0.559375,1
mlp,MLP,TN,Reference-robust,1,0.900968480068032,0.5823188672906826,0.558927438982586,0.85,0
mlp,MLP,TN,Moderately reference-stable,1,0.6073786668316711,0.2963779473112318,0.343467932888405,0.7406250000000001,0
mlp,MLP,TN,Reference-sensitive,6,0.4315935740423851,-0.5401477396154732,0.26375935340960494,0.5552083333333333,4
mlp,MLP,TP,Reference-robust,3,0.8217504478605949,0.4834569915643258,0.5072448486970546,0.8229166666666666,0
mlp,MLP,TP,Moderately reference-stable,4,0.6121963842332865,0.0723977283819411,0.39506117726657586,0.7171875000000001,0
mlp,MLP,TP,Reference-sensitive,1,0.4986210110531098,0.2183500051366486,0.3677481493609589,0.55,0
