case_id,model,model_display,selected_outcome,reference_number,reference_original_row_index,reference_probability,reference_logit,target_logit_difference,attribution_sum,absolute_completeness_error,signed_cosine_to_mean_attribution,top10_jaccard_to_mean_attribution,top10_sign_agreement_with_mean
CNN_FN_01,cnn,CNN,FN,1,276817,0.0011331631103530526,-6.781608581542969,6.697971194982529,6.676222803784372,0.02174839119815708,0.3111703493888237,0.17647058823529413,0.6
CNN_FN_01,cnn,CNN,FN,2,214177,0.10486417263746262,-2.1443095207214355,2.0606721341609955,2.1006355776583288,0.03996344349733327,0.5047265660292596,0.25,0.6
CNN_FN_01,cnn,CNN,FN,3,271605,0.029957886785268784,-3.4775469303131104,3.3939095437526703,3.3825316263410348,0.011377917411635519,0.5341986996091073,0.17647058823529413,0.6
CNN_FN_01,cnn,CNN,FN,4,284786,3.0974788387538865e-05,-10.382306098937988,10.298668712377548,10.315528850407182,0.016860138029633376,0.576712559414499,0.5384615384615384,0.7
CNN_FN_01,cnn,CNN,FN,5,278772,0.15003538131713867,-1.7343236207962036,1.6506862342357635,1.646783238662939,0.0039029955728244747,0.2583357679077364,0.25,0.7
CNN_FN_01,cnn,CNN,FN,6,65755,0.0447944775223732,-3.0598416328430176,2.9762042462825775,2.9720584105225645,0.004145835760013039,0.8290840299357158,0.5384615384615384,0.9
CNN_FN_01,cnn,CNN,FN,7,262731,8.94562472240068e-05,-9.321671485900879,9.238034099340439,9.247855235941,0.00982113660056072,0.6294286219257725,0.3333333333333333,0.6
CNN_FN_01,cnn,CNN,FN,8,21449,0.055750586092472076,-2.8295023441314697,2.7458649575710297,2.7527499008817813,0.006884943310751623,0.7926464503932574,0.5384615384615384,0.9
CNN_FN_01,cnn,CNN,FN,9,198454,2.520293855923228e-05,-10.58852481842041,10.50488743185997,10.498616529434024,0.00627090242594619,0.8380706928495804,0.42857142857142855,1.0
CNN_FN_01,cnn,CNN,FN,10,295346,5.769411291112192e-05,-9.760297775268555,9.676660388708115,9.644990438169755,0.03166995053835997,0.8218762093216206,0.5384615384615384,1.0
CNN_FN_01,cnn,CNN,FN,11,87343,0.00010499916243134066,-9.161453247070312,9.077815860509872,9.06360185411632,0.014214006393553191,0.6329807224131969,0.5384615384615384,0.8
CNN_FN_01,cnn,CNN,FN,12,257740,0.005232546012848616,-5.247611045837402,5.163973659276962,5.173421266083954,0.00944760680699197,0.5358492575767307,0.17647058823529413,0.6
CNN_FN_01,cnn,CNN,FN,13,150246,0.13935862481594086,-1.820627212524414,1.736989825963974,1.732607956952171,0.00438186901180293,0.3237134674021517,0.17647058823529413,0.8
CNN_FN_01,cnn,CNN,FN,14,115022,0.28249409794807434,-0.9321235418319702,0.8484861552715302,0.8472601673859691,0.0012259878855610529,0.2697844238470609,0.42857142857142855,0.6
CNN_FN_01,cnn,CNN,FN,15,163618,0.0015199301997199655,-6.487569808959961,6.403932422399521,6.388764563109704,0.01516785928981701,0.48833094251910864,0.42857142857142855,1.0
CNN_FN_01,cnn,CNN,FN,16,133372,0.13112670183181763,-1.8910331726074219,1.8073957860469818,1.8056453357891549,0.001750450257826941,0.5012719411541515,0.25,0.7
CNN_FN_01,cnn,CNN,FN,17,162071,0.14064912497997284,-1.8099089860916138,1.7262715995311737,1.7273508673457942,0.0010792678146205326,0.30329524052074724,0.17647058823529413,0.7
CNN_FN_01,cnn,CNN,FN,18,90067,0.00158109818585217,-6.448053359985352,6.3644159734249115,6.426018951914843,0.06160297848993146,0.6137663472135655,0.3333333333333333,0.4
CNN_FN_01,cnn,CNN,FN,19,111705,0.145994171500206,-1.766371250152588,1.6827338635921478,1.679648496925953,0.0030853666661947443,0.27997342336366915,0.25,0.7
CNN_FN_01,cnn,CNN,FN,20,34940,0.06991544365882874,-2.58798885345459,2.50435146689415,2.5077472201040933,0.003395753209943564,0.2969120015404459,0.3333333333333333,0.6
CNN_FN_01,cnn,CNN,FN,21,212937,9.353640780318528e-05,-9.277066230773926,9.193428844213486,9.205052588782044,0.011623744568558081,0.6127140606090065,0.42857142857142855,0.7
CNN_FN_01,cnn,CNN,FN,22,214917,0.03187817335128784,-3.4134364128112793,3.3297990262508392,3.362385484202063,0.032586457951223835,0.5396184664587408,0.42857142857142855,0.8
CNN_FN_01,cnn,CNN,FN,23,70482,0.002233611885458231,-6.101899147033691,6.018261760473251,6.02742420150615,0.009162441032898982,0.46624643675892113,0.3333333333333333,0.4
CNN_FN_01,cnn,CNN,FN,24,294868,0.00010112184099853039,-9.19908332824707,9.11544594168663,9.1200485806298,0.004602638943170589,0.6217292074098376,0.42857142857142855,0.6
