condition_id,target_id,comparison_group,hardware_mode,thread_count,batch_size,status,n,p50_point_ms,historical_p50_ci_low_ms,historical_p50_ci_high_ms,corrected_p50_ci_low_ms,corrected_p50_ci_high_ms,p95_point_ms,historical_p95_ci_low_ms,historical_p95_ci_high_ms,corrected_p95_ci_low_ms,corrected_p95_ci_high_ms,p99_point_ms_if_n_gte_100,historical_p99_ci_low_ms_if_n_gte_100,historical_p99_ci_high_ms_if_n_gte_100,corrected_p99_ci_low_ms_if_n_gte_100,corrected_p99_ci_high_ms_if_n_gte_100,median_throughput_point,historical_median_throughput_ci_low,historical_median_throughput_ci_high,corrected_median_throughput_ci_low,corrected_median_throughput_ci_high,historical_ci_status,corrected_ci_status
CPUCOND_011,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,PASS,200,0.5367905,0.5342100000000001,0.538925,0.534249,0.53887,0.6487604499999996,0.60204,0.74044,0.5910002124999998,0.74044,1.038975099999997,0.6865277999999968,1.41452,0.6850991999999989,1.41452,1862.924436096473,1855.5457817232948,1871.6188359932928,1855.7351494794664,1871.7882373778007,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_012,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,PASS,150,4.411989999999999,4.2853863625,4.52848,4.285455499999999,4.52848,6.525756949999999,5.94456,6.997934549999997,5.94456,6.997934549999997,7.502195899999999,6.631032499999999,8.96888,6.631032499999999,8.96888,14505.928848475549,14132.7774440872,14934.496966308941,14132.7774440872,14934.496966308941,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_013,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,PASS,100,13.57273,13.47646,13.7705245,13.47646,13.765359,15.66956845,14.891663499999998,16.60650505,14.891663499999998,16.60650505,16.74295299000001,15.672018600000001,18.257949,15.672018600000001,18.257949,18861.35610864477,18597.40817511552,19000.014505429313,18597.40817511552,18996.08650936522,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_014,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,PASS,50,51.819394,50.9883437375,52.336869,51.0469521,52.336869,56.07643205,54.5457135,59.655053499999994,54.5457135,59.655053499999994,,,,,,19760.946115261853,19565.557121882855,20065.526878116172,19565.557121882855,20060.748474414435,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_015,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,PASS,20,387.7964855,383.2465605,390.2255955,383.2465605,390.2255955,395.42302605,390.61956200000003,402.374766,390.680665,402.374766,,,,,,21124.498156990958,20992.98836040403,21375.273487020295,20992.98836040403,21375.273487020295,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_016,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,PASS,200,0.5950605,0.590291,0.6012505125,0.5902903375,0.6013094999999999,1.4252409999999998,0.9819464499999994,1.5686749999999985,0.99839,1.56452,1.814183499999999,1.5036739999999988,2.23401,1.506301,2.23401,1680.5014060246212,1663.0375577346556,1694.4558243058268,1663.0375577346556,1694.0816078135485,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_017,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,PASS,150,3.07202,3.029355125,3.1068545,3.02937,3.111065,3.877296499999999,3.6218133374999995,4.365784999999998,3.6030479999999985,4.365784999999998,4.5143875,4.11473,5.64266,4.11473,5.64266,20833.204080317722,20577.785637348683,21135.930785110664,20571.73525339436,21126.504850843576,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_018,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,PASS,100,7.790729499999999,7.56896,8.0545395,7.586831749999999,7.994150249999995,10.23321,9.66454105,11.050056549999999,9.6727968625,11.050056549999999,11.216607790000008,10.23067689,12.868699,10.238082090000004,12.868699,32860.134522550354,31889.098018050936,33847.521179278454,32032.61616302816,33743.52757894161,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_019,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,PASS,50,25.09686,24.78558,25.3484805,24.785534625,25.3421755,26.426792,25.90665,26.815619,25.898175,26.815619,,,,,,40801.999383258124,40384.140616280696,41317.370685682734,40407.038437564916,41314.42051842204,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_020,STAGE16_LIGHTGBM_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,PASS,20,193.48129,192.80259999999998,195.16737,192.767305,195.16737,198.87641695,197.556361,200.465994,195.67067995,200.465994,,,,,,42340.01420302493,41974.29898971769,42489.054994748374,41974.29898971769,42496.833163694435,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
