Operating Point,Model,Threshold,"False Alerts per 10,000 Benign Flows","Missed Attacks per 10,000 Attacks","Detected Attacks per 10,000 Attacks",Alerts Generated,False Alert Share of All Alerts,Precision,Recall,FPR,FNR
XGBoost Standard,XGBoost Tuned,0.5,64.16666666666667,1250.7235590837677,8749.276440916232,21392,0.010798429319371727,0.9892015706806283,0.8749276440916233,0.006416666666666667,0.12507235590837676
XGBoost Balanced,XGBoost Tuned,0.51,60.83333333333333,1256.098569420326,8743.901430579675,21367,0.010249450086582113,0.9897505499134179,0.8743901430579675,0.006083333333333333,0.12560985694203258
XGBoost Security,XGBoost Tuned,0.27,459.44444444444446,945.5883569006863,9054.411643099314,23553,0.07022459983866174,0.9297754001613383,0.9054411643099314,0.04594444444444445,0.09455883569006863
LightGBM Balanced,LightGBM Tuned,0.5,61.111111111111114,1258.9928057553957,8741.007194244605,21361,0.010299143298534713,0.9897008567014652,0.8741007194244604,0.006111111111111111,0.12589928057553956
LightGBM Security,LightGBM Tuned,0.26,465.5555555555556,931.9440998924998,9068.0559001075,23608,0.07099288376821417,0.9290071162317859,0.90680559001075,0.04655555555555556,0.09319440998924998
