Operating Point,Model,Threshold,FN to FP Cost Ratio,Accuracy,Precision,Recall,F1-score,F2-score,FPR,FNR,TP,TN,FP,FN,Operational Cost,"Cost per 10,000 Flows"
XGBoost Standard,XGBoost Tuned,0.5,1,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,21161,35769,231,3025,3256,540.9895989100455
XGBoost Standard,XGBoost Tuned,0.5,2,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,21161,35769,231,3025,6281,1043.5981789785
XGBoost Standard,XGBoost Tuned,0.5,5,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,21161,35769,231,3025,15356,2551.4239191838633
XGBoost Standard,XGBoost Tuned,0.5,10,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,21161,35769,231,3025,30481,5064.466819526136
XGBoost Standard,XGBoost Tuned,0.5,20,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,21161,35769,231,3025,60731,10090.55262021068
XGBoost Standard,XGBoost Tuned,0.5,50,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,21161,35769,231,3025,151481,25168.81002226431
XGBoost Standard,XGBoost Tuned,0.5,100,0.9459010401089955,0.9892015706806283,0.8749276440916233,0.928562025538637,0.8956203020247852,0.006416666666666667,0.12507235590837676,21161,35769,231,3025,302731,50299.239025687035
XGBoost Balanced,XGBoost Tuned,0.51,1,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,21148,35781,219,3038,3257,541.1557505067624
XGBoost Balanced,XGBoost Tuned,0.51,2,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,21148,35781,219,3038,6295,1045.9243013325358
XGBoost Balanced,XGBoost Tuned,0.51,5,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,21148,35781,219,3038,15409,2560.229953809856
