seed,epoch,train_weighted_bce,validation_pr_auc,validation_roc_auc,improved,epochs_without_improvement,epoch_seconds
7,1,2.987069368632937,0.41488684542310916,0.8226453346359142,True,0,2.8433079719543457
7,2,11.372045662497216,0.5031924242569458,0.8907263668602451,True,0,2.3595986366271973
7,3,14.617650366704174,0.5598017625183539,0.8965069966575997,True,0,2.3034110069274902
7,4,7.03473900210756,0.62624363486439,0.9040435918955982,True,0,2.3369901180267334
7,5,0.35265822073568387,0.614867419349175,0.8959422146646288,False,1,2.3051602840423584
7,6,0.17794968007501544,0.44432236319492185,0.742727823099828,False,2,2.2915117740631104
7,7,0.09786027141668478,0.4197771619239875,0.7040663052248909,False,3,2.3633763790130615
7,8,0.06710366139330981,0.40303721012565985,0.6944226009383573,False,4,2.5569658279418945
29,1,2.974348898794708,0.24927167029480882,0.5842481483021809,True,0,2.3164522647857666
29,2,7.422141122903191,0.5509532433011927,0.9010710081790246,True,0,2.2895209789276123
29,3,8.722436239594755,0.632442664795742,0.9065579769505355,True,0,2.3240292072296143
29,4,1.5362853441873414,0.6714496709848452,0.9099930452860838,True,0,2.3530125617980957
29,5,0.27662913831422664,0.5479651285567708,0.8326044658635989,False,1,2.3323018550872803
29,6,0.13079531033925745,0.4722275028520006,0.7347482916471002,False,2,2.324693441390991
29,7,0.07778444984398686,0.4506729730111217,0.7235356600230349,False,3,2.3471996784210205
29,8,0.053522428541185635,0.42824268942939264,0.7204145215788602,False,4,2.3128139972686768
101,1,1.4496664235094816,0.48221748654900554,0.8672135464124906,True,0,2.3624815940856934
101,2,7.7245446315816935,0.6266426926343149,0.9192110144225272,True,0,2.314842462539673
101,3,10.224173716527185,0.681088897719007,0.9162677952224845,True,0,2.3195078372955322
101,4,5.279570882674088,0.722501255053215,0.919193383214775,True,0,2.304819345474243
101,5,0.48266769526175507,0.7379943989126211,0.9203531969548453,True,0,2.2919063568115234
101,6,0.19629053034030122,0.7234213957866129,0.9215613790033619,False,1,2.292525053024292
101,7,0.10524764098794706,0.5248216713711841,0.8005591748681328,False,2,2.294487237930298
101,8,0.0745670417455054,0.4856060340828031,0.7562255088965217,False,3,2.3142740726470947
101,9,0.06273506960240328,0.46893454957744546,0.7475148605583757,False,4,2.318876266479492
