mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_strength,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,param_border_count,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.59036652247111,0.030511827549398053,0.16405566533406576,0.00217798190587864,0.5,0.1,5,500,10,64,"{'random_strength': 0.5, 'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 500, 'depth': 10, 'border_count': 64}",0.9280710044583239,0.9258016021746741,0.9273345001544322,0.9270690355958101,0.0009453042738265328,1
20.48087231318156,0.010049935916441995,0.207959254582723,0.0039775362540174185,1.0,0.1,3,700,10,254,"{'random_strength': 1.0, 'learning_rate': 0.1, 'l2_leaf_reg': 3, 'iterations': 700, 'depth': 10, 'border_count': 254}",0.9278536565358271,0.9261764282630595,0.9268002054442732,0.9269434300810532,0.000692174661087956,2
18.312785863876343,0.019310456348180634,0.20437955856323242,0.0018243264139053705,0.5,0.03,5,700,10,128,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 700, 'depth': 10, 'border_count': 128}",0.9279017535183697,0.9256601666701131,0.9268212125590901,0.9267943775825244,0.0009153207039228376,3
5.655685265858968,0.00272940996733134,0.1129149595896403,0.002594711125831752,1.0,0.1,7,500,8,64,"{'random_strength': 1.0, 'learning_rate': 0.1, 'l2_leaf_reg': 7, 'iterations': 500, 'depth': 8, 'border_count': 64}",0.9279054930128219,0.9258624605157214,0.9263665793760438,0.9267115109681957,0.0008689951279113397,4
5.853193442026774,0.0190387559740317,0.1107935905456543,0.002144113565727911,1.0,0.05,3,500,8,128,"{'random_strength': 1.0, 'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 8, 'border_count': 128}",0.9273957344994018,0.9255842812823164,0.9263788473455897,0.9264529543757694,0.0007413769074561251,5
8.291871150334677,0.8932969277527156,0.12383913993835449,0.0033637781416727677,1.0,0.05,5,700,8,64,"{'random_strength': 1.0, 'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 700, 'depth': 8, 'border_count': 64}",0.9276586974443528,0.9254483841639805,0.9261927865061833,0.9264332893715056,0.0009182419508745131,6
4.917120774586995,0.04349878293641634,0.11000625292460124,0.004027906639791368,0.5,0.1,7,700,6,64,"{'random_strength': 0.5, 'learning_rate': 0.1, 'l2_leaf_reg': 7, 'iterations': 700, 'depth': 6, 'border_count': 64}",0.9274532421520969,0.9253435681564938,0.9262619597492576,0.9263529233526161,0.0008636692556694727,7
13.263346195220947,0.024346431573337334,0.16835284233093262,0.000875053503496112,1.0,0.03,3,500,10,128,"{'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 10, 'border_count': 128}",0.9273706140803234,0.9255257492962411,0.9260613572977998,0.9263192402247881,0.0007749233170281188,8
4.959332466125488,0.045933428916553144,0.112458070119222,0.0002838571414392104,2.0,0.05,3,700,6,128,"{'random_strength': 2.0, 'learning_rate': 0.05, 'l2_leaf_reg': 3, 'iterations': 700, 'depth': 6, 'border_count': 128}",0.9266973556550998,0.9253780747667418,0.9258210528491412,0.9259654944236609,0.0005481928139708774,9
4.879210710525513,0.013237258095155443,0.11058314641316731,0.00048088321455758013,0.5,0.03,7,700,6,64,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 7, 'iterations': 700, 'depth': 6, 'border_count': 64}",0.9254910068224106,0.9245302562615235,0.9248210517605197,0.9249474382814845,0.0004022773293574301,10
3.5510827700297036,0.03113023384421523,0.09686843554178874,0.007631716936842508,0.5,0.03,3,300,8,64,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 300, 'depth': 8, 'border_count': 64}",0.9257811692205885,0.9241073279973459,0.9246389424172727,0.9248424798784024,0.0006983345586555387,11
3.7757694721221924,0.030972274973234598,0.09546995162963867,0.005472948273462942,0.5,0.03,7,300,8,128,"{'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 7, 'iterations': 300, 'depth': 8, 'border_count': 128}",0.9256088988132158,0.9241745478679276,0.9245591861260178,0.924780877602387,0.0006061908344096398,12
3.705646594365438,0.015221489169691458,0.1000059445699056,0.0073922980067836295,2.0,0.03,7,300,8,128,"{'random_strength': 2.0, 'learning_rate': 0.03, 'l2_leaf_reg': 7, 'iterations': 300, 'depth': 8, 'border_count': 128}",0.9251303700024832,0.9242254572601717,0.9242760307622148,0.9245439526749566,0.00041517336242013195,13
4.494301637013753,0.6937117198404175,0.10463142395019531,0.004547362590579606,2.0,0.03,3,500,6,254,"{'random_strength': 2.0, 'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 6, 'border_count': 254}",0.924732963484309,0.9238041923244387,0.9241510763047216,0.9242294107044898,0.0003831937503770119,14
2.4655497868855796,0.04331439328722995,0.09323835372924805,0.0033134801917249356,2.0,0.05,7,300,6,128,"{'random_strength': 2.0, 'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 300, 'depth': 6, 'border_count': 128}",0.9239240689755108,0.9236066457862313,0.9237275837047787,0.9237527661555069,0.00013080516590615687,15
