Objective,Seed,Metric,Difference Convention,Difference
Security,82,Test FNR,XGBoost minus LightGBM,0.0005788472670139738
Security,42,Test ROC-AUC,XGBoost minus LightGBM,5.437374238548287e-05
Security,52,Test ROC-AUC,XGBoost minus LightGBM,-8.012325771566964e-05
Security,62,Test ROC-AUC,XGBoost minus LightGBM,0.00039396701029992265
Security,72,Test ROC-AUC,XGBoost minus LightGBM,0.00019338092744203284
Security,82,Test ROC-AUC,XGBoost minus LightGBM,3.902280474477049e-05
Security,42,Test PR-AUC,XGBoost minus LightGBM,2.6036433128595604e-05
Security,52,Test PR-AUC,XGBoost minus LightGBM,-0.00011515557868146953
Security,62,Test PR-AUC,XGBoost minus LightGBM,0.0003629953045508616
Security,72,Test PR-AUC,XGBoost minus LightGBM,0.00012770732088451808
Security,82,Test PR-AUC,XGBoost minus LightGBM,4.308736637281818e-05
Security,42,Test FP,XGBoost minus LightGBM,-3.0
Security,52,Test FP,XGBoost minus LightGBM,3.0
Security,62,Test FP,XGBoost minus LightGBM,-31.0
Security,72,Test FP,XGBoost minus LightGBM,151.0
Security,82,Test FP,XGBoost minus LightGBM,-74.0
Security,42,Test FN,XGBoost minus LightGBM,22.0
Security,52,Test FN,XGBoost minus LightGBM,12.0
Security,62,Test FN,XGBoost minus LightGBM,-12.0
Security,72,Test FN,XGBoost minus LightGBM,-20.0
Security,82,Test FN,XGBoost minus LightGBM,14.0
