Model,Objective,Validation-Selected Threshold mean,Validation-Selected Threshold std,Validation-Selected Threshold min,Validation-Selected Threshold max,Validation-Selected Threshold median,Validation Precision mean,Validation Precision std,Validation Precision min,Validation Precision max,Validation Precision median,Validation Recall mean,Validation Recall std,Validation Recall min,Validation Recall max,Validation Recall median,Validation F1 mean,Validation F1 std,Validation F1 min,Validation F1 max,Validation F1 median,Validation F2 mean,Validation F2 std,Validation F2 min,Validation F2 max,Validation F2 median,Validation FPR mean,Validation FPR std,Validation FPR min,Validation FPR max,Validation FPR median,Test Precision mean,Test Precision std,Test Precision min,Test Precision max,Test Precision median,Test Recall mean,Test Recall std,Test Recall min,Test Recall max,Test Recall median,Test F1 mean,Test F1 std,Test F1 min,Test F1 max,Test F1 median,Test F2 mean,Test F2 std,Test F2 min,Test F2 max,Test F2 median,Test FPR mean,Test FPR std,Test FPR min,Test FPR max,Test FPR median,Test FNR mean,Test FNR std,Test FNR min,Test FNR max,Test FNR median,Test ROC-AUC mean,Test ROC-AUC std,Test ROC-AUC min,Test ROC-AUC max,Test ROC-AUC median,Test PR-AUC mean,Test PR-AUC std,Test PR-AUC min,Test PR-AUC max,Test PR-AUC median,Test FP mean,Test FP std,Test FP min,Test FP max,Test FP median,Test FN mean,Test FN std,Test FN min,Test FN max,Test FN median,Training Time Seconds mean,Training Time Seconds std,Training Time Seconds min,Training Time Seconds max,Training Time Seconds median
LightGBM Tuned,Balanced,0.43599999999999994,0.0260768096208106,0.41,0.47,0.44,0.9828025004272088,0.0022255068100034917,0.9799102003223579,0.9857800571128854,0.9831450912250217,0.8780195358933278,0.0027538448489839436,0.8742053852912295,0.8814409013385704,0.8774096852550519,0.9274566970059237,0.001318480385256019,0.9265404136877149,0.9297571346798593,0.9271533999618746,0.8971473242810066,0.0021292494688402823,0.8944529638834541,0.9001520045601368,0.8965677522950316,0.010326388888888888,0.0013750613762957083,0.008472222222222223,0.012118055555555556,0.010104166666666666,0.9820624489722048,0.0031797614469144275,0.9795449321994943,0.9864701506416217,0.9800193361263294,0.879872653601257,0.002132559998601101,0.8772430331596791,0.8825766972628794,0.880137269494749,0.9281575897215399,0.0005763460146876993,0.927396693314745,0.9286724239194274,0.9283513602097673,0.8985697932697695,0.001309759696110281,0.897109562628962,0.9004547410338397,0.8984510192883974,0.010805555555555556,0.001967815891468521,0.008083333333333333,0.012361111111111111,0.012055555555555555,0.12012734639874308,0.0021325599986010842,0.11742330273712065,0.12275696684032085,0.11986273050525097,0.9803098794527596,0.0005816413212339419,0.9793973809458181,0.9808519035346436,0.9803058088012349,0.9777413266194825,0.0005084088592839098,0.9769256863135504,0.9781787024588429,0.9777256679472851,389.0,70.84137209286675,291,445,434.0,2905.4,51.57809612616579,2840,2969,2899.0,5.783002087000568,0.143831326032688,5.584976840998934,5.952988115001062,5.776881367000897
LightGBM Tuned,Security,0.266,0.0054772255750516665,0.26,0.27,0.27,0.9286443154045168,0.001629237686059133,0.9266401062416999,0.9302933333333333,0.9291861453463663,0.9026099540027909,0.0010881539453602269,0.9014936172412011,0.9039743656002894,0.9027339914207453,0.9154412655794723,0.000982014949812865,0.9139204694294545,0.9164068844471223,0.9156670778760598,0.9076988849234496,0.0009420157508177994,0.9064549318755782,0.9089066722095199,0.907985786422293,0.04659722222222222,0.0011453071182271277,0.04538194444444445,0.04795138888888889,0.04628472222222222,0.9297770486331048,0.0015065225502398024,0.927823247529791,0.9312486704956392,0.9303499469777307,0.9057719341767966,0.0009282206367586075,0.9046142396427685,0.9068469362441082,0.9060200115769453,0.9176170812773533,0.001015772572207274,0.916071765026064,0.9184648259102527,0.9179509760751505,0.9104730033642067,0.0009011059595163951,0.9091626843964263,0.9114520566161621,0.9104393275886425,0.045961111111111105,0.001043350490925068,0.04488888888888889,0.04727777777777778,0.04561111111111111,0.0942280658232035,0.0009282206367586045,0.09315306375589184,0.09538576035723145,0.09397998842305466,0.9803098794527596,0.0005816413212339419,0.9793973809458181,0.9808519035346436,0.9803058088012349,0.9777413266194825,0.0005084088592839098,0.9769256863135504,0.9781787024588429,0.9777256679472851,1654.6,37.560617673302474,1616,1702,1642.0,2279.0,22.449944320643663,2253,2307,2273.0,5.783002087000568,0.143831326032688,5.584976840998934,5.952988115001062,5.776881367000897
XGBoost Tuned,Balanced,0.476,0.027018512172212596,0.44,0.51,0.48,0.986089671385983,0.002152891023350163,0.9834557760166599,0.9887002341920375,0.9860673895301387,0.8757248436611711,0.0034987017931845115,0.8727582820817613,0.8802522094165073,0.8742053852912295,0.9276294318208453,0.001185795269881706,0.9266606305045684,0.929491377428509,0.9271185044881826,0.8957723295614087,0.002614057533725913,0.893548796749,0.8993083056127568,0.8945002644103649,0.008305555555555556,0.0013327183188070733,0.006701388888888889,0.009930555555555555,0.00829861111111111,0.9850986078327149,0.0032139005670962545,0.9810382916053019,0.9878759617626487,0.9866318878382785,0.8775489952865294,0.0025515349871105633,0.8756305300587116,0.8813363102621351,0.8759199536922186,0.9282118916969013,0.0003398725628556477,0.9277999607252733,0.9285354254782933,0.9282896467081617,0.8971342624997358,0.0016179251768776944,0.8959251520560345,0.8996218515767439,0.8962339980878085,0.008927777777777778,0.0019825239556100958,0.007222222222222222,0.011444444444444445,0.007972222222222223,0.12245100471347062,0.002551534987110578,0.11866368973786488,0.12436946994128835,0.12408004630778136,0.9804300036981909,0.0004193899115126897,0.979791347956118,0.9808160178753549,0.9804991897286769,0.9778302607887337,0.000352207013343515,0.9772886816181012,0.9782044435108413,0.9778533752681696,321.4,71.37086240196345,260,412,287.0,2961.6,61.711425198256435,2870,3008,3001.0,14.212992749200202,0.265758688793916,14.00487148999855,14.591606206000506,14.065668569999616
XGBoost Tuned,Security,0.274,0.008944271909999165,0.26,0.28,0.28,0.9272080576635636,0.002324379612484617,0.9241999471039407,0.930716796250932,0.9269081843738397,0.9024962530363327,0.0012374636377632674,0.900304925319138,0.9032508139955553,0.9029924027081503,0.9146839819461998,0.001381916023787624,0.9133808724832215,0.9167781362289191,0.9148735668289618,0.9073318611493519,0.0011573108745138868,0.9054901186181659,0.908613554598956,0.9075983040984288,0.04760416666666666,0.0016302813629956233,0.04517361111111111,0.049756944444444444,0.04774305555555555,0.9294108243699416,0.0026050462614617288,0.925038998271428,0.9314363489430479,0.9304033970276009,0.9056396262300505,0.001000202901791673,0.9045315471760522,0.9071777061109733,0.9054411643099314,0.917368663487566,0.0009023477155508104,0.9160212921406952,0.9182548168647924,0.9176209051633741,0.9102944625219056,0.0004916044808044748,0.9097222222222223,0.9107270520557967,0.9105234709575486,0.04621666666666667,0.001883919115718058,0.04477777777777778,0.04938888888888889,0.04552777777777778,0.09436037376994956,0.0010002029017916832,0.09282229388902671,0.09546845282394774,0.09455883569006863,0.9804300036981909,0.0004193899115126897,0.979791347956118,0.9808160178753549,0.9804991897286769,0.9778302607887337,0.000352207013343515,0.9772886816181012,0.9782044435108413,0.9778533752681696,1663.8,67.82108816585,1612,1778,1639.0,2282.2,24.19090738273371,2245,2309,2287.0,14.212992749200202,0.265758688793916,14.00487148999855,14.591606206000506,14.065668569999616
