target_id,component,n,mean_ms,std_ms,p50_ms,p95_ms,min_ms,max_ms,p50_bootstrap_ci95_low_ms,p50_bootstrap_ci95_high_ms,p95_bootstrap_ci95_low_ms,p95_bootstrap_ci95_high_ms
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,spawn_to_first_output_ns,20,1495.45179495,55.11791379973745,1486.5266875,1618.268252,1422.869336,1638.057246,1466.8412475,1502.82691,1515.607908,1638.057246
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,parent_process_total_ns,20,1902.7297751500003,106.04122697613347,1881.4310675000002,2109.7495669,1757.767205,2162.651056,1845.920439,1901.6494750000002,1911.8567021500003,2162.651056
STAGE20_MASKED_CNN_V1,process_spawn_to_worker_ready_ns,20,76.46470025,9.674178610305132,73.29808700000001,82.71490345000002,71.28605,115.690096,72.49933200000001,76.1291175,78.06686855,115.690096
STAGE20_MASKED_CNN_V1,framework_import_ns,20,1316.36431495,86.48211919651602,1295.4094455,1361.68491515,1245.401532,1662.929044,1284.6704519999998,1316.071331,1333.4142166500003,1662.929044
STAGE20_MASKED_CNN_V1,input_preparation_ns,20,5.9644402,0.5066108278750798,5.973855,6.835443550000001,5.24442,7.0831,5.7333045,6.153034,6.26638,7.0831
STAGE20_MASKED_CNN_V1,model_deserialization_load_ns,20,5.8913324000000005,0.4180433478372661,5.870185,6.545250000000001,5.20394,6.92202,5.677020499999999,6.0232845,6.1892,6.92202
STAGE20_MASKED_CNN_V1,first_prediction_ns,20,13.271262100000001,0.7538451174695109,12.985265,14.80022945,12.305869,14.817319,12.7223145,13.36842,13.482987950000002,14.817319
STAGE20_MASKED_CNN_V1,spawn_to_first_output_ns,20,1417.95713285,96.42055241799531,1391.926847,1466.9777760500003,1345.517808,1806.490259,1382.9739025,1410.2146995,1432.3454519500003,1806.490259
STAGE20_MASKED_CNN_V1,parent_process_total_ns,20,1826.88015715,133.63906193002234,1799.4421860000002,1920.2629844500004,1704.947083,2347.654788,1767.394996,1832.624112,1842.7866381000001,2347.654788
STAGE21_MASKED_VIT_V1,process_spawn_to_worker_ready_ns,20,76.68431289999998,5.041426419761396,75.6033125,89.1103555,70.781067,90.023277,74.248372,77.560827,78.28019695,90.023277
STAGE21_MASKED_VIT_V1,framework_import_ns,20,1320.5021242999999,64.49545604190632,1303.8997055,1437.5987189,1243.435662,1483.776792,1283.235801,1328.956179,1335.5385532999999,1483.776792
STAGE21_MASKED_VIT_V1,input_preparation_ns,20,6.182726749999999,0.6646477348005978,6.1049690000000005,7.1184335,5.410511,7.92068,5.670674999999999,6.587059125,6.65368115,7.92068
STAGE21_MASKED_VIT_V1,model_deserialization_load_ns,20,8.480459250000001,0.538288286985786,8.392285000000001,9.2241655,7.526379,9.596499,8.0941195,8.797345,8.868400000000001,9.596499
STAGE21_MASKED_VIT_V1,first_prediction_ns,20,4.49707895,0.2879120727787117,4.486299499999999,4.9251819999999995,4.07416,4.98659,4.2872595,4.6863605,4.715499,4.98659
STAGE21_MASKED_VIT_V1,spawn_to_first_output_ns,20,1416.34777895,69.33114431812334,1399.252552,1548.58006385,1336.896307,1593.620017,1377.3093589999999,1427.9467255,1433.4938573499999,1593.620017
STAGE21_MASKED_VIT_V1,parent_process_total_ns,20,1858.0934314500003,161.85344269165105,1799.9466445,2198.6213818,1720.897373,2250.672562,1760.366638,1852.7463061625,1873.4044656000003,2250.672562
ENS_LGBM_XGB_EQUAL,process_spawn_to_worker_ready_ns,20,75.90921619999999,3.3318035131440458,75.415762,82.127584,71.340108,84.419839,74.063997,76.48957200000001,77.49108340000001,84.419839
ENS_LGBM_XGB_EQUAL,framework_import_ns,20,1938.95541955,40.546130865558204,1930.729798,2011.5429784500002,1883.576219,2024.34722,1905.8398975,1958.69318,1972.299837,2024.34722
ENS_LGBM_XGB_EQUAL,input_preparation_ns,20,0.6311869499999999,0.03487428938113972,0.6294095,0.6796235,0.5841,0.7289,0.61069,0.64213,0.643875,0.7289
ENS_LGBM_XGB_EQUAL,model_deserialization_load_ns,20,82.97391089999999,1.9140401962573657,82.830363,85.98839244999999,79.881939,86.814046,81.85571350000001,84.0318155375,84.3698845,86.814046
