execution_order,target_id,repetition,hardware_mode,thread_count,affinity,batch_size,environment_cpu_percent,environment_available_ram_gib,environment_attempt_count,process_spawn_to_worker_ready_ns,framework_import_ns,input_preparation_ns,model_deserialization_load_ns,first_prediction_ns,spawn_to_first_output_ns,parent_process_total_ns,output_sha256,status,holdout_accessed,memory_profiled,gpu_used
25,STAGE21_MASKED_VIT_V1,12,CPU_1_PHYSICAL_CORE,1,0,1,1.0,29.558273315429688,1,74391997,1421926186,6980330,8847420,4697361,1516844173,2195881846,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
26,STAGE20_MASKED_CNN_V1,10,CPU_1_PHYSICAL_CORE,1,0,1,1.3,29.518409729003906,1,115690096,1662929044,6657870,6395070,14817319,1806490259,2347654788,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
27,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,8,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.520675659179688,1,81186357,1405681029,5736170,24239019,3141050,1519984435,2024115406,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
28,STAGE21_MASKED_VIT_V1,11,CPU_1_PHYSICAL_CORE,1,0,1,5.0,29.519203186035156,1,89062307,1483776792,7076210,9110099,4593760,1593620017,2250672562,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
29,STAGE21_MASKED_VIT_V1,10,CPU_1_PHYSICAL_CORE,1,0,1,0.7,29.532909393310547,1,90023277,1435168294,7920680,8747270,4349090,1546209540,2169340755,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
30,STAGE16_CATBOOST_TUNED,1,CPU_1_PHYSICAL_CORE,1,0,1,4.3,29.527019500732422,1,78185218,1469931157,699810,10072149,4497100,1563386343,1975188547,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
31,STAGE16_LIGHTGBM_TUNED,7,CPU_1_PHYSICAL_CORE,1,0,1,0.7,29.529983520507812,1,91316557,2054465981,713120,67265847,3113450,2216876165,2845381250,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
32,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,17,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.516098022460938,1,80710057,1417885338,6501740,23439099,3289590,1531826874,2090934634,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
33,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,4,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.53105926513672,1,81401077,1405850575,6528500,26561918,3290209,1523633140,2150931436,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
34,STAGE16_LIGHTGBM_TUNED,5,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.532482147216797,1,77986847,2032022820,699550,65764407,2544970,2179019594,2779753601,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
35,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,6,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.520126342773438,1,83883067,1413672794,5493870,103791736,10384409,1617226726,2092366148,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
36,STAGE16_XGBOOST_TUNED,4,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.51474380493164,1,75236117,1088914237,734670,25065248,3013800,1192964903,1446645673,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
37,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,18,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.547470092773438,1,77678628,1442099693,6071430,99108366,13098199,1638057246,2162651056,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
38,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,16,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.50843048095703,1,84244976,1331244107,5373960,102635856,9621000,1533120810,1977541242,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
39,ENS_LGBM_XGB_EQUAL,5,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.508777618408203,1,75435837,1903280408,618170,83056657,4790070,2067182031,2525288433,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
40,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,11,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.51199722290039,1,72675027,1275351703,5762010,23581409,3197190,1380568489,1869594610,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
41,STAGE16_XGBOOST_TUNED,20,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.519760131835938,1,73606267,1080042787,776589,25934590,3749719,1184111043,1395437815,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
42,STAGE16_LIGHTGBM_TUNED,4,CPU_1_PHYSICAL_CORE,1,0,1,0.7,29.549346923828125,1,73358507,1788163480,639990,61114447,2385950,1925663345,2347118909,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
43,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,1,CPU_1_PHYSICAL_CORE,1,0,1,0.2,29.530166625976562,1,72108547,1284639469,5061060,94045206,9563880,1465418992,1827691208,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
44,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,19,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.501712799072266,1,77082487,1320193698,5706890,24106919,3347070,1430437964,1835024198,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
45,STAGE16_LIGHTGBM_TUNED,18,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.510028839111328,1,77672217,1831103038,638390,63435697,2441540,1975291702,2419614925,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
46,STAGE20_MASKED_CNN_V1,5,CPU_1_PHYSICAL_CORE,1,0,1,1.0,29.506629943847656,1,71764988,1271299333,5358320,5361280,12521110,1366306011,1780542494,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
47,STAGE20_MASKED_CNN_V1,20,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.511756896972656,1,80979367,1341005457,6027750,5752860,14038109,1447804793,1889365666,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
48,STAGE20_MASKED_CNN_V1,4,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.51668930053711,1,76651537,1342616641,6119460,6203850,14308660,1445901307,1880869290,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
49,STAGE16_CATBOOST_TUNED,5,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.520366668701172,1,70475068,1305567459,633660,9977370,4101740,1390756396,1713632123,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
50,STAGE16_LIGHTGBM_TUNED,15,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.526039123535156,1,75317998,1807648620,629430,64410827,2487070,1950495754,2402679586,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
51,STAGE16_LIGHTGBM_TUNED,1,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.512649536132812,1,77130148,1785986829,616651,63853288,2289450,1929883915,2337692299,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
52,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,15,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.505168914794922,1,75076797,1257330924,4970770,23709530,3031270,1364120570,1764292084,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
53,STAGE16_XGBOOST_TUNED,15,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.525917053222656,1,75488207,1037667469,635440,23654979,2580290,1140027245,1389612845,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
54,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,18,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.520862579345703,1,77607917,1263704181,5069810,23165939,2999250,1372548156,1777383030,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
55,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,12,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.518115997314453,1,72725247,1276335811,5131560,22377449,2921120,1379492077,1754459832,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
56,STAGE16_LIGHTGBM_TUNED,12,CPU_1_PHYSICAL_CORE,1,0,1,0.7,29.504230499267578,1,73071257,1773930325,671761,62299568,2309810,1912283549,2323326033,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
57,STAGE16_CATBOOST_TUNED,15,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.48837661743164,1,73109988,1325187569,645830,10175580,3933730,1413053567,1739680494,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
58,STAGE16_LIGHTGBM_TUNED,2,CPU_1_PHYSICAL_CORE,1,0,1,0.2,29.524898529052734,1,75423897,1793856549,599380,60979197,2343529,1933203493,2337779087,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
59,ENS_LGBM_XGB_EQUAL,18,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.505722045898438,1,74346897,1903473115,642130,83504167,4760400,2066727630,2480023284,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
60,STAGE16_XGBOOST_TUNED,8,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.489032745361328,1,73393307,1026646100,625830,22059289,2413780,1125139216,1350722387,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
61,STAGE16_XGBOOST_TUNED,9,CPU_1_PHYSICAL_CORE,1,0,1,0.2,29.53760528564453,1,72933048,1060033608,644360,24576939,2946930,1161135865,1403692105,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
62,STAGE21_MASKED_VIT_V1,18,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.505596160888672,1,72910338,1256481833,5746479,8042230,4086790,1347268660,1762504454,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
63,STAGE20_MASKED_CNN_V1,7,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.51211166381836,1,73309807,1262741884,5758320,6922020,13301510,1362034980,1719089866,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
64,STAGE16_XGBOOST_TUNED,3,CPU_1_PHYSICAL_CORE,1,0,1,3.5,29.49991226196289,1,72646587,1084089347,621950,22825739,2529640,1182714273,1361725976,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
65,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,16,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.533618927001953,1,73699417,1318631501,5142140,22799919,2824720,1423098517,1842517320,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
66,STAGE16_CATBOOST_TUNED,9,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.51089859008789,1,84588597,1374691185,634170,9779040,4204620,1473898442,1869451686,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
67,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,9,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.51552963256836,1,72964808,1294063281,5774979,92595196,10829209,1476228574,1881158289,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
68,STAGE16_XGBOOST_TUNED,7,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.516590118408203,1,73769318,1095001948,702250,24072159,2740600,1196287165,1389048847,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
69,STAGE16_XGBOOST_TUNED,10,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.52187728881836,1,74279897,1074709848,669080,24891259,3209090,1177760144,1408278965,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
70,STAGE16_LIGHTGBM_TUNED,19,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.528995513916016,1,76780897,1817332840,614130,61548157,2342161,1958619175,2376539518,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
71,STAGE20_MASKED_CNN_V1,14,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.5089111328125,1,72798967,1306989048,6150569,5793920,14113339,1405846774,1840782288,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
72,ENS_LGBM_XGB_EQUAL,11,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.528453826904297,1,77022467,2010869071,656710,85635076,4956129,2179140504,2633934896,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
73,STAGE21_MASKED_VIT_V1,6,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.50452423095703,1,77560827,1332766510,6636620,9202810,4532439,1430700586,1877399938,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
74,STAGE21_MASKED_VIT_V1,15,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.539718627929688,1,75355908,1322307408,5719440,8151040,4440160,1415975416,1834985359,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
75,STAGE16_LIGHTGBM_TUNED,13,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.528301239013672,1,70179697,1798553909,644110,62089868,2449660,1933918094,2382966216,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
76,STAGE16_XGBOOST_TUNED,1,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.50534439086914,1,73502177,1082283251,718130,24854439,3151330,1184510487,1438581588,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
77,STAGE21_MASKED_VIT_V1,5,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.56476593017578,1,74224197,1308107031,6146679,8376500,4891820,1401747098,1853548250,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
78,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,3,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.532878875732422,1,79477948,1294160388,5249940,93998726,9666780,1482554662,1881703846,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
79,ENS_LGBM_XGB_EQUAL,20,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.514816284179688,1,72449018,1930041969,640610,85944937,4387520,2093464904,2530107287,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
80,ENS_LGBM_XGB_EQUAL,2,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.526641845703125,1,79301107,1991402484,643711,83305386,4445200,2159098768,2601464171,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
81,STAGE16_CATBOOST_TUNED,8,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.523609161376953,1,74473507,1309262589,613480,9755719,3957610,1398063975,1737744802,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
82,STAGE21_MASKED_VIT_V1,3,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.538806915283203,1,73284397,1311049470,5621910,8139579,4237229,1402333566,1772524072,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
83,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,2,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.522605895996094,1,77882927,1307147019,5335630,97068546,9904799,1497339731,1902356205,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
84,STAGE20_MASKED_CNN_V1,12,CPU_1_PHYSICAL_CORE,1,0,1,0.7,29.514286041259766,1,78323968,1345829961,6155499,5900680,12897640,1449108698,1824476034,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
85,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,8,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.52755355834961,1,70648557,1288551820,5532530,94041446,9488339,1468263503,1845920439,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
86,STAGE16_CATBOOST_TUNED,7,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.517375946044922,1,74187027,1380397320,654570,10621970,4281700,1470143916,1813824774,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
87,STAGE16_CATBOOST_TUNED,18,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.540393829345703,1,72245827,1323216168,602039,9764640,4052350,1409882255,1734566042,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
88,STAGE16_LIGHTGBM_TUNED,11,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.522682189941406,1,74692967,1784312010,619580,61902328,2540040,1924068425,2287711180,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
89,STAGE16_XGBOOST_TUNED,17,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.50705337524414,1,72575017,1041072642,653990,23233359,2879200,1140415239,1330505432,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
90,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,5,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.548023223876953,1,74222588,1249773351,5099250,95595596,9672990,1434364925,1803439820,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
91,STAGE20_MASKED_CNN_V1,19,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.51987075805664,1,75606698,1269307319,5244420,5203940,12305869,1367669526,1704947083,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
92,STAGE16_CATBOOST_TUNED,2,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.51465606689453,1,76214267,1331032738,619730,9741970,4128530,1421738455,1752800802,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
93,ENS_LGBM_XGB_EQUAL,3,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.531326293945312,1,75395687,1894907276,597270,80254407,4494290,2055650250,2492255802,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
94,STAGE16_XGBOOST_TUNED,16,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.51551055908203,1,78589767,1074716498,703210,24399038,3370130,1181779614,1429870044,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
95,STAGE16_CATBOOST_TUNED,13,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.55086898803711,1,75896597,1310854070,647079,9848870,4046160,1401293837,1732864494,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
