execution_order,target_id,repetition,hardware_mode,thread_count,affinity,batch_size,environment_cpu_percent,environment_available_ram_gib,environment_attempt_count,process_spawn_to_worker_ready_ns,framework_import_ns,input_preparation_ns,model_deserialization_load_ns,first_prediction_ns,spawn_to_first_output_ns,parent_process_total_ns,output_sha256,status,holdout_accessed,memory_profiled,gpu_used
116,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,7,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.512847900390625,1,73849028,1254856473,5004569,23055529,2936949,1359703799,1741995374,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
117,ENS_LGBM_XGB_EQUAL,9,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.523818969726562,1,71340108,1906683768,672250,80357546,4179210,2063234331,2482202115,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
118,ENS_LGBM_XGB_EQUAL,17,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.526199340820312,1,73881047,1883576219,637120,82018307,5440020,2045553652,2463951665,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
119,STAGE16_CATBOOST_TUNED,4,CPU_1_PHYSICAL_CORE,1,0,1,3.3,29.502708435058594,1,76974267,1310915308,609930,10116860,4144999,1402762224,1736712291,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
120,STAGE16_CATBOOST_TUNED,6,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.55071258544922,1,77576077,1389455996,825460,10967649,5441249,1484267432,1949648984,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
121,STAGE16_CATBOOST_TUNED,11,CPU_1_PHYSICAL_CORE,1,0,1,1.2,29.544071197509766,1,90819147,1424629264,835530,11033020,4376460,1531694411,1906302066,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
122,STAGE16_LIGHTGBM_TUNED,16,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.5345458984375,1,77583817,2017796011,730310,65528847,2383701,2164023596,2658503426,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
123,STAGE21_MASKED_VIT_V1,20,CPU_1_PHYSICAL_CORE,1,0,1,4.0,29.517261505126953,1,78237438,1388207376,6647390,8656910,4816040,1486566013,1975532924,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
124,STAGE21_MASKED_VIT_V1,13,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.533283233642578,1,80277437,1325780228,6268069,9596499,4986590,1426909964,1824723408,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
125,STAGE21_MASKED_VIT_V1,4,CPU_1_PHYSICAL_CORE,1,0,1,4.0,29.522445678710938,1,76765208,1332132130,6537229,8626070,4921950,1428983487,1829719091,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
126,ENS_LGBM_XGB_EQUAL,13,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.52777862548828,1,75112217,1969836397,677030,84555426,4931610,2135113470,2630724771,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
127,STAGE20_MASKED_CNN_V1,16,CPU_1_PHYSICAL_CORE,1,0,1,3.5,29.51995086669922,1,78053337,1342270840,7083100,6189200,12893169,1446490646,1897768679,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
128,STAGE16_XGBOOST_TUNED,14,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.526287078857422,1,75546498,1062912590,688130,24569339,2811780,1166529177,1383267938,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
129,STAGE16_LIGHTGBM_TUNED,6,CPU_1_PHYSICAL_CORE,1,0,1,1.5,29.528064727783203,1,88219917,1807828413,612760,63223487,2346149,1962231557,2371061941,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
130,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,13,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.507965087890625,1,76138217,1300234082,5370830,97990816,9484290,1489219096,1889906731,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
131,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,1,CPU_1_PHYSICAL_CORE,1,0,1,3.8,29.515010833740234,1,74944718,1317956288,6104050,23621458,3210100,1425837644,1856160757,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
132,STAGE16_CATBOOST_TUNED,17,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.511402130126953,1,76298520,1342428501,630990,9935850,4096960,1433391621,1744668389,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
133,STAGE16_XGBOOST_TUNED,13,CPU_1_PHYSICAL_CORE,1,0,1,1.0,29.532779693603516,1,82958418,1139504422,648350,25068710,2701530,1250882350,1521841838,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
134,STAGE20_MASKED_CNN_V1,11,CPU_1_PHYSICAL_CORE,1,0,1,0.2,29.534923553466797,1,72199697,1271091981,5767270,5763750,14799330,1369622928,1799612395,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
135,ENS_LGBM_XGB_EQUAL,16,CPU_1_PHYSICAL_CORE,1,0,1,0.2,29.511497497558594,1,82006939,1972299837,584100,82572999,4460600,2141925505,2580714092,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
136,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,5,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.526538848876953,1,76880527,1262579021,5521220,23192860,2824200,1370998617,1742479745,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
137,ENS_LGBM_XGB_EQUAL,7,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.53870391845703,1,73207480,1926894947,626460,81972490,4407200,2087110026,2506800993,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
138,ENS_LGBM_XGB_EQUAL,1,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.502769470214844,1,75496080,1904996027,632359,79881939,4359800,2065367056,2521254833,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
139,ENS_LGBM_XGB_EQUAL,4,CPU_1_PHYSICAL_CORE,1,0,1,3.0,29.51885986328125,1,84419839,1947465377,606750,81500269,4298061,2118291236,2548321212,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
140,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,15,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.508342742919922,1,76979639,1291840531,6651350,98075950,10285869,1483834279,1863232857,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
141,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,12,CPU_1_PHYSICAL_CORE,1,0,1,2.0,29.53923797607422,1,75317738,1303194921,5413410,96887059,9872010,1490685999,1867410456,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
142,STAGE20_MASKED_CNN_V1,9,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.519561767578125,1,71286050,1316071331,5980900,5901660,13412760,1412653620,1799271977,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
143,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,19,CPU_1_PHYSICAL_CORE,1,0,1,3.5,29.531742095947266,1,82203579,1315671681,5020830,91591219,9929560,1504417969,1906702436,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
144,STAGE16_CATBOOST_TUNED,20,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.543949127197266,1,71432951,1307040641,602350,10184550,3967929,1393229441,1729230849,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
145,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,13,CPU_1_PHYSICAL_CORE,1,0,1,3.5,29.53115463256836,1,80275411,1308372641,5855220,23220229,2996980,1420721552,1788588169,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
146,STAGE21_MASKED_VIT_V1,16,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.52019500732422,1,76132109,1285180281,5767870,7988510,4337290,1379407300,1758513267,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
147,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,11,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.522750854492188,1,90555797,1312121980,5399640,97443540,10085970,1515607908,1900942745,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
148,STAGE21_MASKED_VIT_V1,14,CPU_1_PHYSICAL_CORE,1,0,1,0.2,29.517353057861328,1,79092617,1281500771,5410511,8147571,4387331,1378539718,1762184175,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
149,STAGE21_MASKED_VIT_V1,9,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.525577545166016,1,72765749,1284970831,5617330,8048660,4675360,1376079000,1744224568,567a517207263233a7d97b87cd630deb50d34be4ceb764265ebcf7272669a85d,PASS,False,False,False
150,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,3,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.524051666259766,1,71063818,1251510960,5781190,22307880,2908500,1353573438,1732934845,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
151,ENS_LGBM_XGB_EQUAL,12,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.514789581298828,1,79935238,1980202867,641100,82665909,4316850,2147763164,2609136591,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
152,STAGE16_CATBOOST_TUNED,3,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.527015686035156,1,70920967,1295672311,610240,9752240,4102980,1381059708,1711543796,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
153,STAGE16_LIGHTGBM_TUNED,20,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.53936004638672,1,70302067,1771678475,622580,61926469,2682510,1907213241,2323654388,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
154,STAGE16_LIGHTGBM_TUNED,14,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.521163940429688,1,70738417,1739188258,585510,61667419,2244551,1874425085,2264906842,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
155,STAGE16_XGBOOST_TUNED,5,CPU_1_PHYSICAL_CORE,1,0,1,2.0,29.514713287353516,1,78264509,1040402243,672790,24441369,3051171,1146832922,1371689080,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
156,STAGE16_XGBOOST_TUNED,6,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.537811279296875,1,74815788,1048532813,771790,22745600,2387820,1149254751,1355614069,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
157,STAGE16_LIGHTGBM_TUNED,10,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.543193817138672,1,72451909,1833421597,690990,63241440,2245839,1972052845,2351389013,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
158,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,14,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.51641845703125,1,74727369,1280764481,5363170,93396210,9530280,1463782399,1817722617,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
159,ENS_LGBM_XGB_EQUAL,19,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.539386749267578,1,77395819,1931417627,598860,84716949,4978020,2099108135,2483492412,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
160,STAGE16_LIGHTGBM_TUNED,8,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.51900863647461,1,79919672,1817342227,681450,63674239,2528279,1964146868,2387822695,fd7a0fbb059966d38d5118b68966e1f81ce8b7bdcf02ce0eba3b89ba078acdde,PASS,False,False,False
