comparison_group,target_id,pr_auc,p95_cpu1_batch1_inference_latency_ms,frontier_member,dominator_count,dominators,claim_boundary
GROUP_A_DUPSAFE70,STAGE16_XGBOOST_TUNED,0.9453847557659393,0.5937109499999996,True,0,,PRIMARY_WITHIN_GROUP_POINT_ESTIMATE
GROUP_A_DUPSAFE70,STAGE16_LIGHTGBM_TUNED,0.9466063189077636,0.6487604499999996,True,0,,PRIMARY_WITHIN_GROUP_POINT_ESTIMATE
GROUP_A_DUPSAFE70,STAGE16_CATBOOST_TUNED,0.9430447292850749,0.23919549999999995,True,0,,PRIMARY_WITHIN_GROUP_POINT_ESTIMATE
GROUP_A_DUPSAFE70,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,0.9295715928199866,11.302716,False,3,STAGE16_XGBOOST_TUNED;STAGE16_LIGHTGBM_TUNED;STAGE16_CATBOOST_TUNED,PRIMARY_WITHIN_GROUP_POINT_ESTIMATE
GROUP_B_PACKET_IMAGE,STAGE20_MASKED_CNN_V1,0.48945269459245255,9.532039499999998,False,1,STAGE21_MASKED_VIT_V1,DESCRIPTIVE_NON_CONFIRMATORY
GROUP_B_PACKET_IMAGE,STAGE21_MASKED_VIT_V1,0.606536911289453,2.1051984999999998,True,0,,DESCRIPTIVE_NON_CONFIRMATORY
